target=hydra case=p256-c1-p1 operation=set repeat=1
WARNING: Could not fetch server CONFIG
 
SET: rps=0.0 (overall: inf) avg_msec=0.050 (overall: 0.050)
                                                            
SET: rps=20235.1 (overall: 20255.0) avg_msec=0.043 (overall: 0.043)
                                                                    
SET: rps=20616.0 (overall: 20435.1) avg_msec=0.042 (overall: 0.042)
                                                                    
SET: rps=20768.0 (overall: 20545.9) avg_msec=0.041 (overall: 0.042)
                                                                    
SET: rps=20784.0 (overall: 20605.4) avg_msec=0.041 (overall: 0.042)
                                                                    
SET: rps=20665.3 (overall: 20617.4) avg_msec=0.041 (overall: 0.042)
                                                                    
SET: rps=20840.0 (overall: 20654.5) avg_msec=0.041 (overall: 0.042)
                                                                    
SET: rps=20824.0 (overall: 20678.7) avg_msec=0.041 (overall: 0.042)
                                                                    
SET: rps=20880.0 (overall: 20703.8) avg_msec=0.041 (overall: 0.042)
                                                                    
SET: rps=20697.2 (overall: 20703.1) avg_msec=0.041 (overall: 0.042)
                                                                    
SET: rps=20884.0 (overall: 20721.1) avg_msec=0.041 (overall: 0.042)
                                                                    
SET: rps=20836.0 (overall: 20731.6) avg_msec=0.041 (overall: 0.042)
                                                                    
SET: rps=20912.0 (overall: 20746.6) avg_msec=0.041 (overall: 0.042)
                                                                    
SET: rps=20605.6 (overall: 20735.7) avg_msec=0.042 (overall: 0.042)
                                                                    
SET: rps=20748.0 (overall: 20736.6) avg_msec=0.041 (overall: 0.042)
                                                                    
SET: rps=20808.0 (overall: 20741.3) avg_msec=0.041 (overall: 0.042)
                                                                    
SET: rps=20856.0 (overall: 20748.5) avg_msec=0.041 (overall: 0.041)
                                                                    
SET: rps=20621.5 (overall: 20741.0) avg_msec=0.042 (overall: 0.041)
                                                                    
SET: rps=20772.0 (overall: 20742.7) avg_msec=0.041 (overall: 0.041)
                                                                    
SET: rps=20780.0 (overall: 20744.7) avg_msec=0.041 (overall: 0.041)
                                                                    
SET: 20742.58 requests per second, p50=0.047 msec

