target=hydra case=p256-c1-p1 operation=get repeat=3
WARNING: Could not fetch server CONFIG
 
GET: rps=0.0 (overall: inf) avg_msec=0.070 (overall: 0.070)
                                                            
GET: rps=20352.0 (overall: 20372.0) avg_msec=0.043 (overall: 0.043)
                                                                    
GET: rps=20557.8 (overall: 20465.1) avg_msec=0.042 (overall: 0.043)
                                                                    
GET: rps=20836.0 (overall: 20588.5) avg_msec=0.041 (overall: 0.042)
                                                                    
GET: rps=20832.0 (overall: 20649.3) avg_msec=0.041 (overall: 0.042)
                                                                    
GET: rps=20784.0 (overall: 20676.3) avg_msec=0.042 (overall: 0.042)
                                                                    
GET: rps=20852.0 (overall: 20705.5) avg_msec=0.041 (overall: 0.042)
                                                                    
GET: rps=20753.0 (overall: 20712.3) avg_msec=0.041 (overall: 0.042)
                                                                    
GET: rps=20832.0 (overall: 20727.3) avg_msec=0.041 (overall: 0.042)
                                                                    
GET: rps=20748.0 (overall: 20729.6) avg_msec=0.042 (overall: 0.042)
                                                                    
GET: rps=20840.0 (overall: 20740.6) avg_msec=0.041 (overall: 0.042)
                                                                    
GET: rps=20848.0 (overall: 20750.4) avg_msec=0.041 (overall: 0.042)
                                                                    
GET: rps=20848.0 (overall: 20758.5) avg_msec=0.041 (overall: 0.042)
                                                                    
GET: rps=20713.1 (overall: 20755.0) avg_msec=0.042 (overall: 0.042)
                                                                    
GET: rps=20804.0 (overall: 20758.5) avg_msec=0.042 (overall: 0.042)
                                                                    
GET: rps=20788.0 (overall: 20760.5) avg_msec=0.042 (overall: 0.042)
                                                                    
GET: rps=20828.0 (overall: 20764.7) avg_msec=0.041 (overall: 0.042)
                                                                    
GET: rps=20760.0 (overall: 20764.4) avg_msec=0.042 (overall: 0.042)
                                                                    
GET: rps=20808.0 (overall: 20766.8) avg_msec=0.041 (overall: 0.042)
                                                                    
GET: rps=20757.0 (overall: 20766.3) avg_msec=0.041 (overall: 0.042)
                                                                    
GET: 20768.43 requests per second, p50=0.047 msec

