target=redis case=p256-c1-p1 operation=set repeat=3
 
SET: rps=0.0 (overall: inf) avg_msec=0.048 (overall: 0.048)
                                                            
SET: rps=19792.0 (overall: 19828.0) avg_msec=0.045 (overall: 0.045)
                                                                    
SET: rps=19721.1 (overall: 19774.5) avg_msec=0.045 (overall: 0.045)
                                                                    
SET: rps=19984.0 (overall: 19844.2) avg_msec=0.045 (overall: 0.045)
                                                                    
SET: rps=19988.0 (overall: 19880.1) avg_msec=0.045 (overall: 0.045)
                                                                    
SET: rps=20000.0 (overall: 19904.1) avg_msec=0.045 (overall: 0.045)
                                                                    
SET: rps=20032.0 (overall: 19925.4) avg_msec=0.045 (overall: 0.045)
                                                                    
SET: rps=20072.0 (overall: 19946.3) avg_msec=0.044 (overall: 0.045)
                                                                    
SET: rps=19920.3 (overall: 19943.1) avg_msec=0.045 (overall: 0.045)
                                                                    
SET: rps=20280.0 (overall: 19980.5) avg_msec=0.044 (overall: 0.045)
                                                                    
SET: rps=20260.0 (overall: 20008.4) avg_msec=0.044 (overall: 0.045)
                                                                    
SET: rps=20300.0 (overall: 20034.9) avg_msec=0.044 (overall: 0.045)
                                                                    
SET: rps=20288.0 (overall: 20056.0) avg_msec=0.044 (overall: 0.044)
                                                                    
SET: rps=20300.0 (overall: 20074.7) avg_msec=0.044 (overall: 0.044)
                                                                    
SET: rps=20219.1 (overall: 20085.1) avg_msec=0.044 (overall: 0.044)
                                                                    
SET: rps=20320.0 (overall: 20100.7) avg_msec=0.044 (overall: 0.044)
                                                                    
SET: rps=20356.0 (overall: 20116.7) avg_msec=0.044 (overall: 0.044)
                                                                    
SET: rps=20332.0 (overall: 20129.3) avg_msec=0.044 (overall: 0.044)
                                                                    
SET: rps=20340.0 (overall: 20141.0) avg_msec=0.044 (overall: 0.044)
                                                                    
SET: rps=20243.0 (overall: 20146.4) avg_msec=0.044 (overall: 0.044)
                                                                    
SET: 20157.23 requests per second, p50=0.047 msec

