target=hydra case=p256-c1-p1 operation=set repeat=1
WARNING: Could not fetch server CONFIG
 
SET: rps=0.0 (overall: inf) avg_msec=0.055 (overall: 0.055)
                                                            
SET: rps=19852.6 (overall: 19876.5) avg_msec=0.044 (overall: 0.044)
                                                                    
SET: rps=20248.0 (overall: 20061.9) avg_msec=0.043 (overall: 0.044)
                                                                    
SET: rps=20340.0 (overall: 20154.5) avg_msec=0.043 (overall: 0.043)
                                                                    
SET: rps=20370.5 (overall: 20208.6) avg_msec=0.042 (overall: 0.043)
                                                                    
SET: rps=20408.0 (overall: 20248.4) avg_msec=0.043 (overall: 0.043)
                                                                    
SET: rps=20512.0 (overall: 20292.3) avg_msec=0.042 (overall: 0.043)
                                                                    
SET: rps=20488.0 (overall: 20320.2) avg_msec=0.042 (overall: 0.043)
                                                                    
SET: rps=20414.3 (overall: 20332.0) avg_msec=0.042 (overall: 0.043)
                                                                    
SET: rps=20460.0 (overall: 20346.2) avg_msec=0.042 (overall: 0.043)
                                                                    
SET: rps=20204.0 (overall: 20332.0) avg_msec=0.043 (overall: 0.043)
                                                                    
SET: rps=20592.0 (overall: 20355.6) avg_msec=0.042 (overall: 0.043)
                                                                    
SET: rps=19912.4 (overall: 20318.6) avg_msec=0.043 (overall: 0.043)
                                                                    
SET: rps=20428.0 (overall: 20327.0) avg_msec=0.042 (overall: 0.043)
                                                                    
SET: rps=20384.0 (overall: 20331.1) avg_msec=0.042 (overall: 0.043)
                                                                    
SET: rps=19408.0 (overall: 20269.6) avg_msec=0.045 (overall: 0.043)
                                                                    
SET: rps=20354.6 (overall: 20274.9) avg_msec=0.042 (overall: 0.043)
                                                                    
SET: rps=20268.0 (overall: 20274.5) avg_msec=0.043 (overall: 0.043)
                                                                    
SET: rps=20344.0 (overall: 20278.4) avg_msec=0.042 (overall: 0.043)
                                                                    
SET: rps=19448.0 (overall: 20234.7) avg_msec=0.045 (overall: 0.043)
                                                                    
SET: 20234.72 requests per second, p50=0.047 msec

