target=redis case=p256-c1-p1 operation=get repeat=1
 
GET: rps=0.0 (overall: inf) avg_msec=0.053 (overall: 0.053)
                                                            
GET: rps=21270.9 (overall: 21298.8) avg_msec=0.040 (overall: 0.040)
                                                                    
GET: rps=21692.0 (overall: 21495.0) avg_msec=0.039 (overall: 0.039)
                                                                    
GET: rps=21752.0 (overall: 21580.6) avg_msec=0.039 (overall: 0.039)
                                                                    
GET: rps=21780.0 (overall: 21630.4) avg_msec=0.039 (overall: 0.039)
                                                                    
GET: rps=21628.0 (overall: 21629.9) avg_msec=0.039 (overall: 0.039)
                                                                    
GET: rps=21660.0 (overall: 21634.9) avg_msec=0.039 (overall: 0.039)
                                                                    
GET: rps=21685.3 (overall: 21642.1) avg_msec=0.039 (overall: 0.039)
                                                                    
GET: rps=21792.0 (overall: 21660.8) avg_msec=0.039 (overall: 0.039)
                                                                    
GET: rps=20944.0 (overall: 21581.3) avg_msec=0.040 (overall: 0.039)
                                                                    
GET: rps=21788.0 (overall: 21601.9) avg_msec=0.038 (overall: 0.039)
                                                                    
GET: rps=21748.0 (overall: 21615.2) avg_msec=0.039 (overall: 0.039)
                                                                    
GET: rps=21796.0 (overall: 21630.2) avg_msec=0.038 (overall: 0.039)
                                                                    
GET: rps=21613.5 (overall: 21629.0) avg_msec=0.039 (overall: 0.039)
                                                                    
GET: rps=21776.0 (overall: 21639.5) avg_msec=0.039 (overall: 0.039)
                                                                    
GET: rps=21820.0 (overall: 21651.5) avg_msec=0.038 (overall: 0.039)
                                                                    
GET: rps=21892.0 (overall: 21666.5) avg_msec=0.038 (overall: 0.039)
                                                                    
GET: rps=21824.0 (overall: 21675.8) avg_msec=0.038 (overall: 0.039)
                                                                    
GET: rps=21677.3 (overall: 21675.8) avg_msec=0.039 (overall: 0.039)
                                                                    
GET: 21677.87 requests per second, p50=0.039 msec

