target=redis case=p256-c1-p1 operation=set repeat=1
 
SET: rps=0.0 (overall: inf) avg_msec=0.050 (overall: 0.050)
                                                            
SET: rps=21180.0 (overall: 21208.0) avg_msec=0.040 (overall: 0.040)
                                                                    
SET: rps=21402.4 (overall: 21305.4) avg_msec=0.039 (overall: 0.040)
                                                                    
SET: rps=21628.0 (overall: 21412.8) avg_msec=0.039 (overall: 0.039)
                                                                    
SET: rps=21680.0 (overall: 21479.5) avg_msec=0.039 (overall: 0.039)
                                                                    
SET: rps=21604.0 (overall: 21504.4) avg_msec=0.039 (overall: 0.039)
                                                                    
SET: rps=21521.9 (overall: 21507.3) avg_msec=0.039 (overall: 0.039)
                                                                    
SET: rps=21696.0 (overall: 21534.2) avg_msec=0.039 (overall: 0.039)
                                                                    
SET: rps=21708.0 (overall: 21555.9) avg_msec=0.039 (overall: 0.039)
                                                                    
SET: rps=21664.0 (overall: 21567.9) avg_msec=0.039 (overall: 0.039)
                                                                    
SET: rps=21199.2 (overall: 21531.0) avg_msec=0.040 (overall: 0.039)
                                                                    
SET: rps=21716.0 (overall: 21547.8) avg_msec=0.039 (overall: 0.039)
                                                                    
SET: rps=21668.0 (overall: 21557.8) avg_msec=0.039 (overall: 0.039)
                                                                    
SET: rps=21652.0 (overall: 21565.0) avg_msec=0.039 (overall: 0.039)
                                                                    
SET: rps=21653.4 (overall: 21571.3) avg_msec=0.039 (overall: 0.039)
                                                                    
SET: rps=21804.0 (overall: 21586.8) avg_msec=0.039 (overall: 0.039)
                                                                    
SET: rps=21748.0 (overall: 21596.9) avg_msec=0.039 (overall: 0.039)
                                                                    
SET: rps=21736.0 (overall: 21605.1) avg_msec=0.039 (overall: 0.039)
                                                                    
SET: rps=21649.4 (overall: 21607.5) avg_msec=0.039 (overall: 0.039)
                                                                    
SET: 21612.28 requests per second, p50=0.039 msec

