target=redis case=p64-c10-p1 operation=set repeat=1
 
SET: rps=0.0 (overall: -nan) avg_msec=-nan (overall: -nan)
                                                           
SET: rps=28792.8 (overall: 28792.8) avg_msec=0.222 (overall: 0.222)
                                                                    
SET: rps=30656.0 (overall: 29722.6) avg_msec=0.218 (overall: 0.220)
                                                                    
SET: rps=30697.2 (overall: 30047.9) avg_msec=0.218 (overall: 0.220)
                                                                    
SET: rps=30720.0 (overall: 30215.6) avg_msec=0.219 (overall: 0.219)
                                                                    
SET: rps=30657.4 (overall: 30304.1) avg_msec=0.218 (overall: 0.219)
                                                                    
SET: rps=30820.0 (overall: 30389.9) avg_msec=0.219 (overall: 0.219)
                                                                    
SET: rps=19314.7 (overall: 28805.0) avg_msec=0.406 (overall: 0.237)
                                                                    
SET: rps=14276.7 (overall: 26973.6) avg_msec=0.612 (overall: 0.262)
                                                                    
SET: rps=14332.0 (overall: 25573.3) avg_msec=0.600 (overall: 0.283)
                                                                    
SET: rps=14244.0 (overall: 24443.6) avg_msec=0.600 (overall: 0.301)
                                                                    
SET: rps=14008.0 (overall: 23493.8) avg_msec=0.612 (overall: 0.318)
                                                                    
SET: rps=21188.0 (overall: 23302.2) avg_msec=0.353 (overall: 0.321)
                                                                    
SET: rps=31124.0 (overall: 23902.4) avg_msec=0.215 (overall: 0.310)
                                                                    
SET: rps=30617.5 (overall: 24382.7) avg_msec=0.219 (overall: 0.302)
                                                                    
SET: rps=31076.0 (overall: 24827.9) avg_msec=0.216 (overall: 0.295)
                                                                    
SET: 24987.51 requests per second, p50=0.231 msec

