target=hydra case=p256-c1-p1 operation=get repeat=2
WARNING: Could not fetch server CONFIG
 
GET: rps=0.0 (overall: inf) avg_msec=0.096 (overall: 0.096)
                                                            
GET: rps=20048.0 (overall: 20064.0) avg_msec=0.044 (overall: 0.044)
                                                                    
GET: rps=20191.2 (overall: 20127.7) avg_msec=0.043 (overall: 0.044)
                                                                    
GET: rps=20424.0 (overall: 20226.4) avg_msec=0.043 (overall: 0.043)
                                                                    
GET: rps=20408.0 (overall: 20271.7) avg_msec=0.043 (overall: 0.043)
                                                                    
GET: rps=20372.0 (overall: 20291.8) avg_msec=0.043 (overall: 0.043)
                                                                    
GET: rps=20354.6 (overall: 20302.3) avg_msec=0.043 (overall: 0.043)
                                                                    
GET: rps=20492.0 (overall: 20329.3) avg_msec=0.043 (overall: 0.043)
                                                                    
GET: rps=20100.0 (overall: 20300.7) avg_msec=0.044 (overall: 0.043)
                                                                    
GET: rps=20464.0 (overall: 20318.8) avg_msec=0.043 (overall: 0.043)
                                                                    
GET: rps=20326.7 (overall: 20319.6) avg_msec=0.043 (overall: 0.043)
                                                                    
GET: rps=20492.0 (overall: 20335.3) avg_msec=0.043 (overall: 0.043)
                                                                    
GET: rps=20500.0 (overall: 20349.0) avg_msec=0.042 (overall: 0.043)
                                                                    
GET: rps=20436.0 (overall: 20355.7) avg_msec=0.043 (overall: 0.043)
                                                                    
GET: rps=20378.5 (overall: 20357.3) avg_msec=0.043 (overall: 0.043)
                                                                    
GET: rps=20496.0 (overall: 20366.5) avg_msec=0.043 (overall: 0.043)
                                                                    
GET: rps=20520.0 (overall: 20376.1) avg_msec=0.042 (overall: 0.043)
                                                                    
GET: rps=20464.0 (overall: 20381.3) avg_msec=0.043 (overall: 0.043)
                                                                    
GET: rps=20418.3 (overall: 20383.4) avg_msec=0.043 (overall: 0.043)
                                                                    
GET: rps=20524.0 (overall: 20390.7) avg_msec=0.042 (overall: 0.043)
                                                                    
GET: 20391.52 requests per second, p50=0.047 msec

