target=hydra case=p256-c1-p1 operation=get repeat=2
WARNING: Could not fetch server CONFIG
 
GET: rps=0.0 (overall: inf) avg_msec=0.084 (overall: 0.084)
                                                            
GET: rps=20027.9 (overall: 20043.8) avg_msec=0.044 (overall: 0.044)
                                                                    
GET: rps=20400.0 (overall: 20221.6) avg_msec=0.043 (overall: 0.043)
                                                                    
GET: rps=20516.0 (overall: 20319.6) avg_msec=0.042 (overall: 0.043)
                                                                    
GET: rps=20502.0 (overall: 20365.3) avg_msec=0.042 (overall: 0.043)
                                                                    
GET: rps=20512.0 (overall: 20394.6) avg_msec=0.043 (overall: 0.043)
                                                                    
GET: rps=20600.0 (overall: 20428.8) avg_msec=0.042 (overall: 0.043)
                                                                    
GET: rps=20628.0 (overall: 20457.2) avg_msec=0.042 (overall: 0.043)
                                                                    
GET: rps=20506.0 (overall: 20463.3) avg_msec=0.042 (overall: 0.043)
                                                                    
GET: rps=20532.0 (overall: 20470.9) avg_msec=0.042 (overall: 0.043)
                                                                    
GET: rps=20616.0 (overall: 20485.4) avg_msec=0.042 (overall: 0.042)
                                                                    
GET: rps=20632.0 (overall: 20498.7) avg_msec=0.042 (overall: 0.042)
                                                                    
GET: rps=20549.8 (overall: 20503.0) avg_msec=0.042 (overall: 0.042)
                                                                    
GET: rps=20568.0 (overall: 20508.0) avg_msec=0.042 (overall: 0.042)
                                                                    
GET: rps=20624.0 (overall: 20516.3) avg_msec=0.042 (overall: 0.042)
                                                                    
GET: rps=20636.0 (overall: 20524.2) avg_msec=0.042 (overall: 0.042)
                                                                    
GET: rps=20513.9 (overall: 20523.6) avg_msec=0.042 (overall: 0.042)
                                                                    
GET: rps=20520.0 (overall: 20523.4) avg_msec=0.042 (overall: 0.042)
                                                                    
GET: rps=20600.0 (overall: 20527.6) avg_msec=0.042 (overall: 0.042)
                                                                    
GET: rps=20600.0 (overall: 20531.4) avg_msec=0.042 (overall: 0.042)
                                                                    
GET: 20525.45 requests per second, p50=0.047 msec

