target=hydra case=p256-c1-p1 operation=set repeat=2
WARNING: Could not fetch server CONFIG
 
SET: rps=0.0 (overall: inf) avg_msec=0.076 (overall: 0.076)
                                                            
SET: rps=20008.0 (overall: 20028.0) avg_msec=0.044 (overall: 0.044)
                                                                    
SET: rps=20286.9 (overall: 20157.7) avg_msec=0.043 (overall: 0.044)
                                                                    
SET: rps=20492.0 (overall: 20269.0) avg_msec=0.042 (overall: 0.043)
                                                                    
SET: rps=20584.0 (overall: 20347.7) avg_msec=0.042 (overall: 0.043)
                                                                    
SET: rps=20370.5 (overall: 20352.2) avg_msec=0.043 (overall: 0.043)
                                                                    
SET: rps=20564.0 (overall: 20387.5) avg_msec=0.042 (overall: 0.043)
                                                                    
SET: rps=20552.0 (overall: 20411.0) avg_msec=0.042 (overall: 0.043)
                                                                    
SET: rps=20592.0 (overall: 20433.6) avg_msec=0.042 (overall: 0.043)
                                                                    
SET: rps=20454.2 (overall: 20435.9) avg_msec=0.042 (overall: 0.043)
                                                                    
SET: rps=20580.0 (overall: 20450.3) avg_msec=0.042 (overall: 0.042)
                                                                    
SET: rps=20592.0 (overall: 20463.1) avg_msec=0.042 (overall: 0.042)
                                                                    
SET: rps=20600.0 (overall: 20474.5) avg_msec=0.042 (overall: 0.042)
                                                                    
SET: rps=20474.1 (overall: 20474.5) avg_msec=0.042 (overall: 0.042)
                                                                    
SET: rps=20476.0 (overall: 20474.6) avg_msec=0.042 (overall: 0.042)
                                                                    
SET: rps=20472.0 (overall: 20474.4) avg_msec=0.042 (overall: 0.042)
                                                                    
SET: rps=20504.0 (overall: 20476.3) avg_msec=0.042 (overall: 0.042)
                                                                    
SET: rps=20370.5 (overall: 20470.0) avg_msec=0.042 (overall: 0.042)
                                                                    
SET: rps=20468.0 (overall: 20469.9) avg_msec=0.042 (overall: 0.042)
                                                                    
SET: rps=20440.0 (overall: 20468.3) avg_msec=0.042 (overall: 0.042)
                                                                    
SET: 20466.64 requests per second, p50=0.047 msec

