target=redis case=p256-c1-p1 operation=set repeat=2
 
SET: rps=0.0 (overall: inf) avg_msec=0.053 (overall: 0.053)
                                                            
SET: rps=20745.0 (overall: 20776.9) avg_msec=0.041 (overall: 0.041)
                                                                    
SET: rps=21268.0 (overall: 21022.0) avg_msec=0.040 (overall: 0.040)
                                                                    
SET: rps=21424.0 (overall: 21155.8) avg_msec=0.039 (overall: 0.040)
                                                                    
SET: rps=21408.0 (overall: 21218.8) avg_msec=0.039 (overall: 0.040)
                                                                    
SET: rps=21302.8 (overall: 21235.6) avg_msec=0.039 (overall: 0.040)
                                                                    
SET: rps=21408.0 (overall: 21264.3) avg_msec=0.039 (overall: 0.040)
                                                                    
SET: rps=21396.0 (overall: 21283.1) avg_msec=0.039 (overall: 0.040)
                                                                    
SET: rps=21424.0 (overall: 21300.7) avg_msec=0.039 (overall: 0.039)
                                                                    
SET: rps=21286.9 (overall: 21299.2) avg_msec=0.039 (overall: 0.039)
                                                                    
SET: rps=21428.0 (overall: 21312.0) avg_msec=0.039 (overall: 0.039)
                                                                    
SET: rps=21464.0 (overall: 21325.8) avg_msec=0.039 (overall: 0.039)
                                                                    
SET: rps=21464.0 (overall: 21337.3) avg_msec=0.039 (overall: 0.039)
                                                                    
SET: rps=21338.6 (overall: 21337.4) avg_msec=0.039 (overall: 0.039)
                                                                    
SET: rps=21416.0 (overall: 21343.0) avg_msec=0.039 (overall: 0.039)
                                                                    
SET: rps=21452.0 (overall: 21350.3) avg_msec=0.039 (overall: 0.039)
                                                                    
SET: rps=21468.0 (overall: 21357.6) avg_msec=0.039 (overall: 0.039)
                                                                    
SET: rps=21358.6 (overall: 21357.7) avg_msec=0.039 (overall: 0.039)
                                                                    
SET: rps=21452.0 (overall: 21362.9) avg_msec=0.039 (overall: 0.039)
                                                                    
SET: 21367.52 requests per second, p50=0.039 msec

