target=redis case=p256-c1-p1 operation=get repeat=3
 
GET: rps=0.0 (overall: inf) avg_msec=0.060 (overall: 0.060)
                                                            
GET: rps=21332.0 (overall: 21356.0) avg_msec=0.040 (overall: 0.040)
                                                                    
GET: rps=21502.0 (overall: 21429.1) avg_msec=0.039 (overall: 0.039)
                                                                    
GET: rps=21676.0 (overall: 21511.3) avg_msec=0.039 (overall: 0.039)
                                                                    
GET: rps=21708.0 (overall: 21560.4) avg_msec=0.039 (overall: 0.039)
                                                                    
GET: rps=21640.0 (overall: 21576.3) avg_msec=0.039 (overall: 0.039)
                                                                    
GET: rps=21398.4 (overall: 21546.6) avg_msec=0.039 (overall: 0.039)
                                                                    
GET: rps=21632.0 (overall: 21558.8) avg_msec=0.039 (overall: 0.039)
                                                                    
GET: rps=21668.0 (overall: 21572.4) avg_msec=0.039 (overall: 0.039)
                                                                    
GET: rps=21644.0 (overall: 21580.4) avg_msec=0.039 (overall: 0.039)
                                                                    
GET: rps=21625.5 (overall: 21584.9) avg_msec=0.039 (overall: 0.039)
                                                                    
GET: rps=21660.0 (overall: 21591.7) avg_msec=0.039 (overall: 0.039)
                                                                    
GET: rps=21640.0 (overall: 21595.7) avg_msec=0.039 (overall: 0.039)
                                                                    
GET: rps=21652.0 (overall: 21600.1) avg_msec=0.039 (overall: 0.039)
                                                                    
GET: rps=21613.5 (overall: 21601.0) avg_msec=0.039 (overall: 0.039)
                                                                    
GET: rps=21704.0 (overall: 21607.9) avg_msec=0.039 (overall: 0.039)
                                                                    
GET: rps=21688.0 (overall: 21612.9) avg_msec=0.039 (overall: 0.039)
                                                                    
GET: rps=21680.0 (overall: 21616.8) avg_msec=0.039 (overall: 0.039)
                                                                    
GET: rps=21573.7 (overall: 21614.4) avg_msec=0.039 (overall: 0.039)
                                                                    
GET: 21616.95 requests per second, p50=0.039 msec

