timestamp_unix,target,pid,container_cpu_percent,process_cpu_percent,process_cpu_ticks,vmrss_bytes,vmhwm_bytes,effective_cpu_affinity,cgroup_memory_current_bytes,cgroup_memory_peak_bytes,cgroup_memory_limit_bytes,jvm_heap_available,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_heap_max_bytes
1785705972.6850636,hydra,41706,,0.0,1,9748480,9748480,4,26894336,37498880,,False,,,
1785705973.6859777,hydra,41706,,61.9672,63,21327872,21327872,4,38694912,38969344,,False,,,
1785705974.6866355,hydra,41706,,62.9777,126,28442624,28442624,4,45948928,46227456,,False,,,
1785705975.6872058,hydra,41706,,61.9796,188,34795520,34795520,4,51953664,52269056,,False,,,
1785705976.6877885,hydra,41706,,61.9774,250,39768064,39768064,4,57462784,58003456,,False,,,
1785705977.688335,hydra,41706,,62.9794,313,44830720,44830720,4,62500864,63115264,,False,,,
1785705978.689213,hydra,41706,,60.9706,374,50745344,50745344,4,68378624,68648960,,False,,,
1785705979.6897762,hydra,41706,,61.981,436,57483264,57483264,4,75132928,75403264,,False,,,
1785705980.690636,hydra,41706,,61.9679,498,64282624,64282624,4,82137088,82178048,,False,,,
1785705981.6915276,hydra,41706,,62.9666,561,69627904,69627904,4,87252992,87838720,,False,,,
1785705982.6921232,hydra,41706,,61.9795,623,74637312,74637312,4,92962816,93097984,,False,,,
1785705983.6927447,hydra,41706,,61.9772,685,79691776,79691776,4,97177600,97828864,,False,,,
1785705984.6936593,hydra,41706,,60.9672,746,86364160,86364160,4,104165376,104439808,,False,,,
1785705985.694534,hydra,41706,,63.9675,810,93171712,93171712,4,110743552,111017984,,False,,,
1785705986.6951356,hydra,41706,,60.9804,871,99463168,99463168,4,117473280,117788672,,False,,,
1785705987.6957078,hydra,41706,,62.9789,934,104423424,104423424,4,122662912,122986496,,False,,,
1785705988.6962526,hydra,41706,,61.9801,996,109379584,109379584,4,127778816,128061440,,False,,,
1785705989.6968453,hydra,41706,,60.9786,1057,115134464,115134464,4,133099520,133373952,,False,,,
1785705990.6974068,hydra,41706,,62.9793,1120,121921536,121921536,4,140042240,140312576,,False,,,
1785705991.6980026,hydra,41706,,61.9767,1182,128626688,128626688,4,146935808,147226624,,False,,,
1785705992.6985784,hydra,41706,,61.9794,1244,134221824,134221824,4,152555520,152825856,,False,,,
1785705993.699118,hydra,41706,,62.9807,1307,139186176,139186176,4,157593600,157798400,,False,,,
1785705994.6996877,hydra,41706,,61.9784,1369,144154624,144154624,4,159916032,162983936,,False,,,
1785705995.7003868,hydra,41706,,61.972,1431,150585344,150585344,4,160731136,163844096,,False,,,
1785705996.7011669,hydra,41706,,62.9692,1494,157360128,157360128,4,168046592,168046592,,False,,,
1785705997.7019725,hydra,41706,,61.9686,1556,164020224,164020224,4,174395392,174673920,,False,,,
1785705998.702574,hydra,41706,,61.9803,1618,168984576,168984576,4,179675136,180256768,,False,,,
1785705999.7031357,hydra,41706,,62.9792,1681,173948928,173948928,4,184852480,185135104,,False,,,
1785706000.7036855,hydra,41706,,60.9797,1742,179314688,179314688,4,189681664,190042112,,False,,,
1785706001.7042382,hydra,41706,,61.9801,1804,186032128,186032128,4,196816896,197091328,,False,,,
1785706002.7050447,hydra,41706,,61.9671,1866,192835584,192835584,4,203878400,203898880,,False,,,
1785706003.705583,hydra,41706,,62.981,1929,198746112,198746112,4,209203200,209985536,,False,,,
1785706004.7061126,hydra,41706,,61.9813,1991,203694080,203694080,4,214605824,215281664,,False,,,
1785706005.706638,hydra,41706,,61.9806,2053,208678912,208678912,4,219627520,220172288,,False,,,
1785706006.7072103,hydra,41706,,61.9791,2115,214650880,214650880,4,225386496,225406976,,False,,,
1785706007.707757,hydra,41706,,62.9801,2178,221450240,221450240,4,232468480,233000960,,False,,,
1785706008.7083728,hydra,41706,,61.9752,2240,228171776,228171776,4,238997504,239534080,,False,,,
1785706009.708876,hydra,41706,,61.9823,2302,233517056,233517056,4,244441088,245104640,,False,,,
1785706010.7093925,hydra,41706,,62.9809,2365,238505984,238505984,4,249794560,250089472,,False,,,
1785706011.7099183,hydra,41706,,61.9805,2427,243470336,243470336,4,254173184,255279104,,False,,,
1785706012.7108383,hydra,41706,,60.9667,2488,250028032,250028032,4,261054464,261079040,,False,,,
1785706013.711404,hydra,41706,,61.9808,2550,256851968,256851968,4,268128256,268398592,,False,,,
1785706014.7118943,hydra,41706,,62.9823,2613,263323648,263323648,4,274493440,274780160,,False,,,
1785706015.7127438,hydra,41706,,61.9696,2675,268292096,268292096,4,279760896,280035328,,False,,,
1785706016.7133048,hydra,41706,,61.9806,2737,273256448,273256448,4,284520448,285073408,,False,,,
1785706017.713859,hydra,41706,,61.9788,2799,278863872,278863872,4,290271232,290295808,,False,,,
1785706018.7143948,hydra,41706,,61.9801,2861,285601792,285601792,4,297082880,297107456,,False,,,
1785706019.71491,hydra,41706,,62.9806,2924,292347904,292347904,4,303648768,303935488,,False,,,
1785706020.715497,hydra,41706,,61.977,2986,298090496,298090496,4,309633024,309985280,,False,,,
1785706021.716015,hydra,41706,,61.9812,3048,303058944,303058944,4,314642432,315113472,,False,,,
1785706022.7165883,hydra,41706,,60.9791,3109,308015104,308015104,4,317386752,320212992,,False,,,
1785706023.717157,hydra,41706,,61.9796,3171,314449920,314449920,4,326537216,326537216,,False,,,
1785706024.7176998,hydra,41706,,61.9808,3233,321183744,321183744,4,332869632,333148160,,False,,,
1785706025.7182777,hydra,41706,,61.9792,3295,327868416,327868416,4,339787776,339824640,,False,,,
1785706026.7188501,hydra,41706,,62.9783,3358,332853248,332853248,4,344657920,344989696,,False,,,
1785706027.7194023,hydra,41706,,61.9795,3420,337797120,337797120,4,349409280,349892608,,False,,,
1785706028.719929,hydra,41706,,60.981,3481,343302144,343302144,4,354963456,355241984,,False,,,
1785706029.7205024,hydra,41706,,61.9785,3543,350081024,350081024,4,362123264,362139648,,False,,,
1785706030.7210329,hydra,41706,,61.9801,3605,356847616,356847616,4,369176576,369176576,,False,,,
1785706031.721625,hydra,41706,,61.9778,3667,362643456,362643456,4,374743040,375074816,,False,,,
