timestamp_unix,target,pid,container_cpu_percent,process_cpu_percent,process_cpu_ticks,vmrss_bytes,vmhwm_bytes,effective_cpu_affinity,cgroup_memory_current_bytes,cgroup_memory_peak_bytes,cgroup_memory_limit_bytes,jvm_heap_available,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_heap_max_bytes
1785706223.1966891,hydra,45009,,0.0,2,9633792,9633792,4,27119616,37220352,,False,,,
1785706224.1973474,hydra,45009,,60.9757,63,21143552,21143552,4,38346752,38621184,,False,,,
1785706225.197934,hydra,45009,,62.9781,126,28344320,28344320,4,46034944,46305280,,False,,,
1785706226.1986015,hydra,45009,,61.9795,188,34693120,34693120,4,52559872,52654080,,False,,,
1785706227.1991608,hydra,45009,,61.9814,250,39661568,39661568,4,57479168,58212352,,False,,,
1785706228.1997366,hydra,45009,,61.9774,312,44630016,44630016,4,62500864,63131648,,False,,,
1785706229.2003267,hydra,45009,,60.9772,373,50597888,50597888,4,68431872,68714496,,False,,,
1785706230.2009208,hydra,45009,,62.9766,436,57393152,57393152,4,75251712,75251712,,False,,,
1785706231.2014537,hydra,45009,,61.9803,498,64167936,64167936,4,82120704,82391040,,False,,,
1785706232.201976,hydra,45009,,61.9811,560,69472256,69472256,4,87584768,87924736,,False,,,
1785706233.2026656,hydra,45009,,61.9719,622,74469376,74469376,4,92045312,92831744,,False,,,
1785706234.203461,hydra,45009,,61.9679,684,79519744,79519744,4,96862208,97456128,,False,,,
1785706235.2045577,hydra,45009,,61.958,746,86175744,86175744,4,103952384,104235008,,False,,,
1785706236.205139,hydra,45009,,62.9801,809,92954624,92954624,4,111058944,111079424,,False,,,
1785706237.205719,hydra,45009,,61.9784,871,99336192,99336192,4,117325824,117608448,,False,,,
1785706238.206312,hydra,45009,,61.9767,933,104292352,104292352,4,122585088,122888192,,False,,,
1785706239.206923,hydra,45009,,61.9758,995,109273088,109273088,4,127475712,127950848,,False,,,
1785706240.2074847,hydra,45009,,61.9786,1057,114892800,114892800,4,132603904,133136384,,False,,,
1785706241.2080448,hydra,45009,,62.9795,1120,121622528,121622528,4,140021760,140034048,,False,,,
1785706242.2086086,hydra,45009,,61.9804,1182,128413696,128413696,4,146423808,146980864,,False,,,
1785706243.209162,hydra,45009,,61.9807,1244,134107136,134107136,4,152903680,152989696,,False,,,
1785706244.2096853,hydra,45009,,61.9811,1306,139079680,139079680,4,157474816,157954048,,False,,,
1785706245.210258,hydra,45009,,61.9781,1368,144031744,144031744,4,160579584,162852864,,False,,,
1785706246.210985,hydra,45009,,61.97,1430,150380544,150380544,4,160784384,164114432,,False,,,
1785706247.2115605,hydra,45009,,61.9806,1492,157175808,157175808,4,167809024,168083456,,False,,,
1785706248.212105,hydra,45009,,61.9802,1554,163909632,163909632,4,174989312,174989312,,False,,,
1785706249.2128894,hydra,45009,,62.9684,1617,168873984,168873984,4,179658752,179982336,,False,,,
1785706250.2134793,hydra,45009,,61.977,1679,173842432,173842432,4,184848384,185049088,,False,,,
