timestamp_unix,target,pid,container_cpu_percent,process_cpu_percent,process_cpu_ticks,vmrss_bytes,vmhwm_bytes,effective_cpu_affinity,cgroup_memory_current_bytes,cgroup_memory_peak_bytes,cgroup_memory_limit_bytes,jvm_heap_available,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_heap_max_bytes
1785706533.7811358,hydra,48405,,0.0,1,9666560,9666560,4,27484160,37650432,,False,,,
1785706534.7817998,hydra,48405,,61.9731,63,21168128,21168128,4,38461440,39002112,,False,,,
1785706535.7823868,hydra,48405,,61.9777,125,28315648,28315648,4,45670400,45682688,,False,,,
1785706536.7829685,hydra,48405,,61.9777,187,34779136,34779136,4,52609024,52932608,,False,,,
1785706537.7834823,hydra,48405,,61.9831,249,39751680,39751680,4,57589760,57962496,,False,,,
1785706538.7840104,hydra,48405,,62.9805,312,44711936,44711936,4,62578688,62947328,,False,,,
1785706539.7845995,hydra,48405,,60.98,373,50356224,50356224,4,67780608,68329472,,False,,,
1785706540.785161,hydra,48405,,62.9795,436,57171968,57171968,4,75190272,75198464,,False,,,
1785706541.785738,hydra,48405,,61.9783,498,63934464,63934464,4,81735680,82010112,,False,,,
1785706542.7862837,hydra,48405,,61.9801,560,69545984,69545984,4,87789568,88100864,,False,,,
1785706543.786844,hydra,48405,,61.9785,622,74493952,74493952,4,92508160,92979200,,False,,,
1785706544.7873707,hydra,48405,,61.9803,684,79458304,79458304,4,94814208,98365440,,False,,,
1785706545.7881117,hydra,48405,,62.9693,747,85876736,85876736,4,103526400,103600128,,False,,,
1785706546.78885,hydra,48405,,61.9715,809,92635136,92635136,4,110686208,110698496,,False,,,
1785706547.7894306,hydra,48405,,61.9791,871,99336192,99336192,4,117477376,117776384,,False,,,
1785706548.7899568,hydra,48405,,61.9807,933,104300544,104300544,4,122720256,123117568,,False,,,
1785706549.7904758,hydra,48405,,61.9809,995,109268992,109268992,4,127406080,127979520,,False,,,
1785706550.7913387,hydra,48405,,61.9699,1057,114495488,114495488,4,132710400,132980736,,False,,,
1785706551.791949,hydra,48405,,62.9785,1120,121249792,121249792,4,139280384,139554816,,False,,,
1785706552.7925007,hydra,48405,,61.9794,1182,128036864,128036864,4,146472960,146485248,,False,,,
1785706553.7930706,hydra,48405,,61.9791,1244,134103040,134103040,4,152276992,152612864,,False,,,
1785706554.793577,hydra,48405,,62.9813,1307,139071488,139071488,4,157507584,158040064,,False,,,
1785706555.7941222,hydra,48405,,61.9799,1369,144023552,144023552,4,162844672,162975744,,False,,,
1785706556.794831,hydra,48405,,61.9707,1431,149958656,149958656,4,160247808,163827712,,False,,,
1785706557.7953923,hydra,48405,,61.9806,1493,156712960,156712960,4,167415808,167460864,,False,,,
1785706558.7959275,hydra,48405,,61.9801,1555,163434496,163434496,4,174280704,174555136,,False,,,
1785706559.7964845,hydra,48405,,61.9795,1617,168853504,168853504,4,179998720,180285440,,False,,,
1785706560.7970731,hydra,48405,,62.9781,1680,173830144,173830144,4,184979456,185327616,,False,,,
1785706561.7976172,hydra,48405,,61.9796,1742,178806784,178806784,4,189333504,190484480,,False,,,
1785706562.7983596,hydra,48405,,61.9748,1804,185393152,185393152,4,196333568,196603904,,False,,,
1785706563.7991385,hydra,48405,,61.9681,1866,192106496,192106496,4,202895360,203173888,,False,,,
1785706564.8000102,hydra,48405,,62.9673,1929,198635520,198635520,4,209784832,210071552,,False,,,
1785706565.8007748,hydra,48405,,61.9692,1991,203591680,203591680,4,214667264,214740992,,False,,,
1785706566.8015652,hydra,48405,,61.9686,2053,208564224,208564224,4,219877376,220368896,,False,,,
1785706567.8023877,hydra,48405,,61.9761,2115,214122496,214122496,4,225001472,225325056,,False,,,
1785706568.8029456,hydra,48405,,61.982,2177,220897280,220897280,4,232398848,232407040,,False,,,
1785706569.8037987,hydra,48405,,62.9683,2240,227651584,227651584,4,238788608,239075328,,False,,,
1785706570.804457,hydra,48405,,61.9745,2302,233394176,233394176,4,244850688,245161984,,False,,,
1785706571.8049965,hydra,48405,,61.9801,2364,238370816,238370816,4,249630720,250081280,,False,,,
1785706572.8055413,hydra,48405,,61.9802,2426,243343360,243343360,4,255225856,255225856,,False,,,
1785706573.806072,hydra,48405,,61.9811,2488,249630720,249630720,4,260902912,261177344,,False,,,
1785706574.8065753,hydra,48405,,61.982,2550,256438272,256438272,4,267497472,268029952,,False,,,
1785706575.807147,hydra,48405,,61.9796,2612,263184384,263184384,4,274911232,274931712,,False,,,
1785706576.8077214,hydra,48405,,61.9794,2674,268156928,268156928,4,279642112,280006656,,False,,,
1785706577.8082454,hydra,48405,,61.9807,2736,273121280,273121280,4,284606464,285048832,,False,,,
1785706578.8087697,hydra,48405,,61.9805,2798,278994944,278994944,4,290504704,290779136,,False,,,
1785706579.809356,hydra,48405,,62.9788,2861,285990912,285990912,4,297885696,298160128,,False,,,
1785706580.8098679,hydra,48405,,61.9813,2923,292999168,292999168,4,304345088,304889856,,False,,,
1785706581.810453,hydra,48405,,61.9779,2985,297938944,297938944,4,309616640,310013952,,False,,,
1785706582.8109818,hydra,48405,,62.9802,3048,302931968,302931968,4,314679296,315359232,,False,,,
1785706583.8115208,hydra,48405,,60.9803,3109,308559872,308559872,4,320335872,320610304,,False,,,
1785706584.8120725,hydra,48405,,61.9801,3171,315527168,315527168,4,327479296,327749632,,False,,,
1785706585.8126347,hydra,48405,,62.9787,3234,322465792,322465792,4,334249984,334536704,,False,,,
1785706586.8131785,hydra,48405,,61.9801,3296,327761920,327761920,4,339623936,340160512,,False,,,
1785706587.8136816,hydra,48405,,61.9817,3358,332726272,332726272,4,344592384,345063424,,False,,,
1785706588.81424,hydra,48405,,61.9786,3420,337997824,337997824,4,349859840,350191616,,False,,,
1785706589.8147829,hydra,48405,,61.9796,3482,344911872,344911872,4,356687872,356958208,,False,,,
