timestamp_unix,target,pid,container_cpu_percent,process_cpu_percent,process_cpu_ticks,vmrss_bytes,vmhwm_bytes,effective_cpu_affinity,cgroup_memory_current_bytes,cgroup_memory_peak_bytes,cgroup_memory_limit_bytes,jvm_heap_available,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_heap_max_bytes
1785706612.2137852,hydra,49736,,0.0,231,28741632,28741632,4,54513664,379949056,,False,,,
1785706613.2143507,hydra,49736,,46.9839,278,35831808,35831808,4,61538304,379949056,,False,,,
1785706614.2148414,hydra,49736,,45.9877,324,36040704,36040704,4,61595648,379949056,,False,,,
1785706615.2154722,hydra,49736,,56.9765,381,43483136,43483136,4,77238272,379949056,,False,,,
1785706616.2163265,hydra,49736,,49.9773,431,48095232,48095232,4,90181632,379949056,,False,,,
1785706617.2171066,hydra,49736,,45.9795,477,51748864,51748864,4,93757440,379949056,,False,,,
1785706618.2177389,hydra,49736,,50.9789,528,57118720,57118720,4,107180032,379949056,,False,,,
1785706619.2186887,hydra,49736,,53.9682,582,60727296,60727296,4,119201792,379949056,,False,,,
1785706620.2192347,hydra,49736,,42.9877,625,68034560,68034560,4,126500864,379949056,,False,,,
1785706621.2198634,hydra,49736,,45.9817,671,67788800,67895296,4,125792256,379949056,,False,,,
1785706622.2205029,hydra,49736,,52.9793,724,75575296,75575296,4,143020032,379949056,,False,,,
1785706623.220843,hydra,49736,,,,,,,,,,False,,,
1785706624.2211976,hydra,49736,,,,,,,,,,False,,,
1785706625.2214115,hydra,49736,,,,,,,,,,False,,,
1785706626.2215824,hydra,49736,,,,,,,,,,False,,,
1785706627.2217453,hydra,49736,,,,,,,,,,False,,,
1785706628.2220669,hydra,49736,,,,,,,,,,False,,,
