target=redis case=p256-c1-p1 operation=get repeat=1
 
GET: rps=0.0 (overall: inf) avg_msec=0.047 (overall: 0.047)
                                                            
GET: rps=19800.0 (overall: 19836.0) avg_msec=0.045 (overall: 0.045)
                                                                    
GET: rps=20111.6 (overall: 19974.1) avg_msec=0.044 (overall: 0.045)
                                                                    
GET: rps=20280.0 (overall: 20075.9) avg_msec=0.044 (overall: 0.044)
                                                                    
GET: rps=20328.0 (overall: 20138.9) avg_msec=0.044 (overall: 0.044)
                                                                    
GET: rps=20340.0 (overall: 20179.1) avg_msec=0.044 (overall: 0.044)
                                                                    
GET: rps=20235.1 (overall: 20188.4) avg_msec=0.044 (overall: 0.044)
                                                                    
GET: rps=20400.0 (overall: 20218.6) avg_msec=0.044 (overall: 0.044)
                                                                    
GET: rps=20372.0 (overall: 20237.8) avg_msec=0.044 (overall: 0.044)
                                                                    
GET: rps=20364.0 (overall: 20251.8) avg_msec=0.044 (overall: 0.044)
                                                                    
GET: rps=20318.7 (overall: 20258.5) avg_msec=0.044 (overall: 0.044)
                                                                    
GET: rps=20380.0 (overall: 20269.5) avg_msec=0.044 (overall: 0.044)
                                                                    
GET: rps=20352.0 (overall: 20276.4) avg_msec=0.044 (overall: 0.044)
                                                                    
GET: rps=20404.0 (overall: 20286.2) avg_msec=0.044 (overall: 0.044)
                                                                    
GET: rps=20278.9 (overall: 20285.7) avg_msec=0.044 (overall: 0.044)
                                                                    
GET: rps=20340.0 (overall: 20289.3) avg_msec=0.044 (overall: 0.044)
                                                                    
GET: rps=20340.0 (overall: 20292.5) avg_msec=0.044 (overall: 0.044)
                                                                    
GET: rps=20324.0 (overall: 20294.3) avg_msec=0.044 (overall: 0.044)
                                                                    
GET: rps=20332.0 (overall: 20296.4) avg_msec=0.044 (overall: 0.044)
                                                                    
GET: rps=20294.8 (overall: 20296.3) avg_msec=0.044 (overall: 0.044)
                                                                    
GET: 20300.45 requests per second, p50=0.047 msec

