target=hydra case=p256-c1-p1 operation=get repeat=3
WARNING: Could not fetch server CONFIG
 
GET: rps=0.0 (overall: inf) avg_msec=0.076 (overall: 0.076)
                                                            
GET: rps=20095.6 (overall: 20115.5) avg_msec=0.044 (overall: 0.044)
                                                                    
GET: rps=20556.0 (overall: 20335.3) avg_msec=0.042 (overall: 0.043)
                                                                    
GET: rps=20700.0 (overall: 20456.7) avg_msec=0.042 (overall: 0.043)
                                                                    
GET: rps=20696.0 (overall: 20516.5) avg_msec=0.042 (overall: 0.042)
                                                                    
GET: rps=20581.7 (overall: 20529.6) avg_msec=0.042 (overall: 0.042)
                                                                    
GET: rps=20728.0 (overall: 20562.6) avg_msec=0.042 (overall: 0.042)
                                                                    
GET: rps=20696.0 (overall: 20581.6) avg_msec=0.042 (overall: 0.042)
                                                                    
GET: rps=20704.0 (overall: 20596.9) avg_msec=0.042 (overall: 0.042)
                                                                    
GET: rps=20533.9 (overall: 20589.9) avg_msec=0.042 (overall: 0.042)
                                                                    
GET: rps=20708.0 (overall: 20601.7) avg_msec=0.042 (overall: 0.042)
                                                                    
GET: rps=20696.0 (overall: 20610.2) avg_msec=0.042 (overall: 0.042)
                                                                    
GET: rps=20700.0 (overall: 20617.7) avg_msec=0.042 (overall: 0.042)
                                                                    
GET: rps=20517.9 (overall: 20610.0) avg_msec=0.042 (overall: 0.042)
                                                                    
GET: rps=20736.0 (overall: 20619.0) avg_msec=0.042 (overall: 0.042)
                                                                    
GET: rps=20724.0 (overall: 20626.0) avg_msec=0.042 (overall: 0.042)
                                                                    
GET: rps=20708.0 (overall: 20631.1) avg_msec=0.042 (overall: 0.042)
                                                                    
GET: rps=20549.8 (overall: 20626.3) avg_msec=0.042 (overall: 0.042)
                                                                    
GET: rps=20728.0 (overall: 20632.0) avg_msec=0.042 (overall: 0.042)
                                                                    
GET: rps=20712.0 (overall: 20636.2) avg_msec=0.042 (overall: 0.042)
                                                                    
GET: 20635.57 requests per second, p50=0.047 msec

