target=hydra case=p256-c1-p1 operation=set repeat=3
WARNING: Could not fetch server CONFIG
 
SET: rps=0.0 (overall: inf) avg_msec=0.067 (overall: 0.067)
                                                            
SET: rps=20152.0 (overall: 20176.0) avg_msec=0.044 (overall: 0.044)
                                                                    
SET: rps=20410.4 (overall: 20293.4) avg_msec=0.043 (overall: 0.043)
                                                                    
SET: rps=20640.0 (overall: 20408.8) avg_msec=0.042 (overall: 0.043)
                                                                    
SET: rps=20692.0 (overall: 20479.5) avg_msec=0.042 (overall: 0.042)
                                                                    
SET: rps=20584.0 (overall: 20500.4) avg_msec=0.042 (overall: 0.042)
                                                                    
SET: rps=20613.5 (overall: 20519.3) avg_msec=0.042 (overall: 0.042)
                                                                    
SET: rps=20676.0 (overall: 20541.7) avg_msec=0.042 (overall: 0.042)
                                                                    
SET: rps=20724.0 (overall: 20564.4) avg_msec=0.042 (overall: 0.042)
                                                                    
SET: rps=20624.0 (overall: 20571.0) avg_msec=0.042 (overall: 0.042)
                                                                    
SET: rps=20629.5 (overall: 20576.9) avg_msec=0.042 (overall: 0.042)
                                                                    
SET: rps=20672.0 (overall: 20585.5) avg_msec=0.042 (overall: 0.042)
                                                                    
SET: rps=20684.0 (overall: 20593.7) avg_msec=0.042 (overall: 0.042)
                                                                    
SET: rps=20640.0 (overall: 20597.3) avg_msec=0.042 (overall: 0.042)
                                                                    
SET: rps=20513.9 (overall: 20591.3) avg_msec=0.042 (overall: 0.042)
                                                                    
SET: rps=20612.0 (overall: 20592.7) avg_msec=0.042 (overall: 0.042)
                                                                    
SET: rps=20544.0 (overall: 20589.7) avg_msec=0.042 (overall: 0.042)
                                                                    
SET: rps=20496.0 (overall: 20584.2) avg_msec=0.042 (overall: 0.042)
                                                                    
SET: rps=20478.1 (overall: 20578.2) avg_msec=0.042 (overall: 0.042)
                                                                    
SET: rps=20588.0 (overall: 20578.8) avg_msec=0.042 (overall: 0.042)
                                                                    
SET: 20576.13 requests per second, p50=0.047 msec

