timestamp_unix,target,pid,container_cpu_percent,process_cpu_percent,process_cpu_ticks,vmrss_bytes,vmhwm_bytes,effective_cpu_affinity,cgroup_memory_current_bytes,cgroup_memory_peak_bytes,cgroup_memory_limit_bytes,cgroup_memory_anon_bytes,cgroup_memory_file_bytes,cgroup_memory_slab_bytes,smaps_rollup_rss_bytes,smaps_rollup_pss_anon_bytes,smaps_rollup_pss_file_bytes,process_threads,process_fd_count,jvm_heap_available,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_heap_max_bytes
1785716418.1299696,hydra,157432,,0.0,1,8609792,8609792,4,13381632,19881984,,11792384,45056,422472,8626176,1679360,4797440,2,21,False,,,
1785716419.13196,hydra,157432,,31.9831,33,14114816,14114816,4,17059840,19881984,,15781888,57344,263160,14114816,7168000,4820992,2,11,False,,,
1785716420.1329424,hydra,157432,,0.0,33,14114816,14114816,4,17059840,19881984,,15781888,57344,259096,14114816,7168000,4820992,2,11,False,,,
1785716421.1341286,hydra,157432,,0.0,33,14114816,14114816,4,17059840,19881984,,15794176,57344,259096,14114816,7168000,4820992,2,11,False,,,
1785716422.1351469,hydra,157432,,0.0,33,14114816,14114816,4,17059840,19881984,,15798272,57344,259096,14114816,7168000,4820992,2,11,False,,,
1785716423.1362133,hydra,157432,,0.0,33,14114816,14114816,4,16896000,19881984,,15810560,57344,255792,14114816,7168000,4820992,2,11,False,,,
1785716424.1372395,hydra,157432,,0.0,33,14114816,14114816,4,16896000,19881984,,15814656,61440,255792,14114816,7168000,4820992,2,11,False,,,
1785716425.1382427,hydra,157432,,0.0,33,14114816,14114816,4,16879616,19881984,,15818752,61440,254032,14114816,7168000,4820992,2,11,False,,,
1785716426.1392233,hydra,157432,,0.0,33,14114816,14114816,4,17072128,19881984,,15826944,61440,256168,14114816,7168000,4820992,2,11,False,,,
1785716427.1402779,hydra,157432,,0.0,33,14114816,14114816,4,17072128,19881984,,15826944,61440,252104,14114816,7168000,4820992,2,11,False,,,
1785716428.1413205,hydra,157432,,0.0,33,14114816,14114816,4,17072128,19881984,,15831040,61440,252104,14114816,7168000,4820992,2,11,False,,,
1785716429.1424344,hydra,157432,,0.0,33,14114816,14114816,4,17072128,19881984,,15831040,61440,252104,14114816,7168000,4820992,2,11,False,,,
1785716430.143887,hydra,157432,,0.0,33,14114816,14114816,4,17072128,19881984,,15839232,65536,252104,14114816,7168000,4820992,2,11,False,,,
1785716431.1451538,hydra,157432,,0.0,33,14114816,14114816,4,17072128,19881984,,15839232,65536,252104,14114816,7168000,4820992,2,11,False,,,
1785716432.1461823,hydra,157432,,0.0,33,14114816,14114816,4,17072128,19881984,,15839232,65536,252104,14114816,7168000,4820992,2,11,False,,,
1785716433.147224,hydra,157432,,0.0,33,14114816,14114816,4,17072128,19881984,,15839232,65536,252104,14114816,7168000,4820992,2,11,False,,,
1785716434.148282,hydra,157432,,0.0,33,14114816,14114816,4,17072128,19881984,,15839232,65536,252104,14114816,7168000,4820992,2,11,False,,,
1785716435.1493013,hydra,157432,,0.0,33,14114816,14114816,4,17072128,19881984,,15839232,69632,252104,14114816,7168000,4820992,2,11,False,,,
1785716436.1504335,hydra,157432,,0.0,33,14114816,14114816,4,17072128,19881984,,15839232,69632,252104,14114816,7168000,4820992,2,11,False,,,
1785716437.1514704,hydra,157432,,0.0,33,14114816,14114816,4,17072128,19881984,,15839232,69632,252104,14114816,7168000,4820992,2,11,False,,,
1785716438.1529057,hydra,157432,,0.0,33,14114816,14114816,4,17072128,19881984,,15839232,69632,252104,14114816,7168000,4820992,2,11,False,,,
1785716439.1538882,hydra,157432,,0.0,33,14114816,14114816,4,17072128,19881984,,15839232,69632,252104,14114816,7168000,4820992,2,11,False,,,
1785716440.1553018,hydra,157432,,0.0,33,14114816,14114816,4,17072128,19881984,,15839232,69632,252104,14114816,7168000,4820992,2,11,False,,,
1785716441.1563697,hydra,157432,,0.0,33,14114816,14114816,4,17072128,19881984,,15839232,73728,252104,14114816,7168000,4820992,2,11,False,,,
1785716442.1574175,hydra,157432,,0.0,33,14114816,14114816,4,17072128,19881984,,15839232,73728,252104,14114816,7168000,4820992,2,11,False,,,
1785716443.1583793,hydra,157432,,0.0,33,14114816,14114816,4,17072128,19881984,,15839232,73728,252104,14114816,7168000,4820992,2,11,False,,,
1785716444.1593778,hydra,157432,,0.0,33,14114816,14114816,4,17072128,19881984,,15839232,77824,252104,14114816,7168000,4820992,2,11,False,,,
1785716445.1607606,hydra,157432,,0.0,33,14114816,14114816,4,17100800,19881984,,15839232,77824,256760,14114816,7168000,4817920,2,11,False,,,
1785716446.1623876,hydra,157432,,0.0,33,14114816,14114816,4,16891904,19881984,,15839232,77824,255016,14114816,7168000,4820992,2,11,False,,,
1785716447.1635258,hydra,157432,,0.0,33,14114816,14114816,4,16891904,19881984,,15839232,77824,255016,14114816,7168000,4820992,2,11,False,,,
1785716448.1646678,hydra,157432,,0.0,33,14114816,14114816,4,16891904,19881984,,15843328,77824,250952,14114816,7168000,4820992,2,11,False,,,
1785716449.1660037,hydra,157432,,15.9946,49,17715200,17715200,4,22532096,22814720,,21028864,81920,392584,17719296,10772480,4797440,2,21,False,,,
1785716450.1672688,hydra,157432,,16.9945,66,17936384,17936384,4,20680704,22814720,,19656704,86016,260944,17936384,10989568,4820992,2,11,False,,,
1785716451.168418,hydra,157432,,0.0,66,17936384,17936384,4,20660224,22814720,,19656704,86016,257232,17936384,10989568,4820992,2,11,False,,,
1785716452.1697752,hydra,157432,,0.0,66,17936384,17936384,4,20660224,22814720,,19656704,90112,257232,17936384,10989568,4820992,2,11,False,,,
1785716453.1708243,hydra,157432,,0.0,66,17936384,17936384,4,20660224,22814720,,19656704,90112,257232,17936384,10989568,4820992,2,11,False,,,
1785716454.1723242,hydra,157432,,0.0,66,17936384,17936384,4,20660224,22814720,,19656704,90112,257232,17936384,10989568,4820992,2,11,False,,,
1785716455.1736689,hydra,157432,,0.0,66,17936384,17936384,4,20860928,22814720,,19656704,90112,260960,17936384,10989568,4820992,2,11,False,,,
1785716456.1749158,hydra,157432,,0.0,66,17936384,17936384,4,20860928,22814720,,19656704,90112,260960,17936384,10989568,4820992,2,11,False,,,
1785716457.1760774,hydra,157432,,0.0,66,17936384,17936384,4,20860928,22814720,,19656704,94208,256896,17936384,10989568,4820992,2,11,False,,,
1785716458.1775544,hydra,157432,,0.0,66,17936384,17936384,4,20860928,22814720,,19656704,94208,256896,17936384,10989568,4820992,2,11,False,,,
1785716459.1788418,hydra,157432,,0.0,66,17936384,17936384,4,20860928,22814720,,19656704,94208,256896,17936384,10989568,4820992,2,11,False,,,
