timestamp_unix,target,pid,container_cpu_percent,process_cpu_percent,process_cpu_ticks,vmrss_bytes,vmhwm_bytes,effective_cpu_affinity,cgroup_memory_current_bytes,cgroup_memory_peak_bytes,cgroup_memory_limit_bytes,cgroup_memory_anon_bytes,cgroup_memory_file_bytes,cgroup_memory_slab_bytes,smaps_rollup_rss_bytes,smaps_rollup_pss_anon_bytes,smaps_rollup_pss_file_bytes,process_threads,process_fd_count,jvm_heap_available,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_heap_max_bytes
1785717033.3465996,hydra,159410,,0.0,0,7872512,7872512,4,14036992,33669120,,11763712,774144,390984,7872512,880640,4840448,2,12,False,,,
1785717034.348078,hydra,159410,,1.9989,2,8011776,8011776,4,12967936,33669120,,10960896,782336,434552,8011776,1019904,4847616,2,11,False,,,
1785717035.3495266,hydra,159410,,3.998,6,8151040,8151040,4,14118912,33669120,,11378688,782336,496888,8151040,1159168,4846592,2,11,False,,,
1785717036.3509834,hydra,159410,,1.9989,8,8294400,8294400,4,14172160,33669120,,11227136,782336,543968,8294400,1302528,4848640,2,11,False,,,
1785717037.3524687,hydra,159410,,2.9985,11,8433664,8433664,4,15142912,33669120,,11374592,782336,653288,8433664,1441792,4848640,2,11,False,,,
1785717038.3539085,hydra,159410,,1.999,13,8667136,8667136,4,14831616,33669120,,12443648,782336,676776,8667136,1675264,4838400,2,12,False,,,
1785717039.3553977,hydra,159410,,2.9985,16,8691712,8691712,4,14565376,33669120,,11952128,786432,762256,8691712,1699840,4843520,2,11,False,,,
1785717040.3569026,hydra,159410,,1.9989,18,8814592,8814592,4,14798848,33669120,,12079104,786432,813296,8814592,1822720,4846592,2,11,False,,,
1785717041.3584385,hydra,159410,,2.9984,21,8941568,8941568,4,15609856,33669120,,12918784,786432,886416,8941568,1949696,4848640,2,12,False,,,
1785717042.359939,hydra,159410,,1.9989,23,9068544,9068544,4,15908864,33669120,,12972032,786432,925528,9068544,2076672,4838400,2,12,False,,,
1785717043.3614664,hydra,159410,,1.999,25,9191424,9191424,4,16273408,33669120,,13033472,786432,974592,9191424,2199552,4839424,2,12,False,,,
1785717044.3629954,hydra,159410,,2.9983,28,9318400,9318400,4,15491072,33669120,,12369920,786432,983664,9318400,2326528,4847616,2,11,False,,,
1785717045.3645077,hydra,159410,,1.999,30,9449472,9449472,4,15630336,33669120,,12566528,790528,1063312,9449472,2457600,4848640,2,11,False,,,
1785717046.3660433,hydra,159410,,3.9977,34,9576448,9576448,4,15626240,33669120,,12546048,790528,1094296,9576448,2584576,4848640,2,11,False,,,
1785717047.3675606,hydra,159410,,1.9989,36,9703424,9703424,4,15872000,33669120,,12759040,790528,1157888,9703424,2711552,4847616,2,11,False,,,
1785717048.369086,hydra,159410,,2.9984,39,9826304,9826304,4,15638528,33669120,,12800000,790528,1242520,9826304,2834432,4848640,2,11,False,,,
1785717049.3706417,hydra,159410,,1.9989,41,9953280,9953280,4,17047552,33669120,,12931072,790528,1287288,9953280,2961408,4848640,2,11,False,,,
