timestamp_unix,target,pid,container_cpu_percent,process_cpu_percent,process_cpu_ticks,vmrss_bytes,vmhwm_bytes,effective_cpu_affinity,cgroup_memory_current_bytes,cgroup_memory_peak_bytes,cgroup_memory_limit_bytes,cgroup_memory_anon_bytes,cgroup_memory_file_bytes,cgroup_memory_slab_bytes,smaps_rollup_rss_bytes,smaps_rollup_pss_anon_bytes,smaps_rollup_pss_file_bytes,process_threads,process_fd_count,jvm_heap_available,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_heap_max_bytes
1785717495.3553813,redis,220318,0.0,0.0,3,10891264,10891264,0-15,2953216,4722688,,2527232,0,208416,10891264,2527232,8359936,5,,False,,,
1785717496.3570468,redis,220318,0.1579,0.1249,5,10919936,10919936,0-15,2985984,4722688,,2555904,0,210696,10919936,2555904,8359936,5,,False,,,
1785717497.358714,redis,220318,0.1571,0.1874,8,10936320,10936320,0-15,3002368,4722688,,2572288,0,210696,10936320,2572288,8359936,5,,False,,,
1785717498.36038,redis,220318,0.1566,0.1874,11,10936320,10936320,0-15,3002368,4722688,,2572288,0,209856,10936320,2572288,8359936,5,,False,,,
1785717499.3620338,redis,220318,0.1568,0.1249,13,10936320,10936320,0-15,3002368,4722688,,2572288,0,211672,10936320,2572288,8359936,5,,False,,,
1785717500.3636775,redis,220318,0.1582,0.1874,16,10936320,10936320,0-15,2998272,4722688,,2572288,0,210736,10936320,2572288,8359936,5,,False,,,
1785717501.365328,redis,220318,0.1578,0.1249,18,10936320,10936320,0-15,3002368,4722688,,2572288,0,211536,10936320,2572288,8359936,5,,False,,,
1785717502.3669841,redis,220318,0.1604,0.1249,20,10936320,10936320,0-15,3002368,4722688,,2572288,0,209856,10936320,2572288,8359936,5,,False,,,
1785717503.3686018,redis,220318,0.1644,0.2499,24,10936320,10936320,0-15,3002368,4722688,,2572288,0,211672,10936320,2572288,8359936,5,,False,,,
1785717504.3702607,redis,220318,0.1614,0.1249,26,10936320,10936320,0-15,2998272,4722688,,2572288,0,210696,10936320,2572288,8359936,5,,False,,,
1785717505.3718846,redis,220318,0.1595,0.1874,29,10936320,10936320,0-15,3002368,4722688,,2572288,0,211672,10936320,2572288,8359936,5,,False,,,
1785717506.373558,redis,220318,0.1574,0.1249,31,10919936,10919936,0-15,2985984,4722688,,2555904,0,211672,10919936,2555904,8359936,5,,False,,,
1785717507.3751729,redis,220318,0.1586,0.1249,33,10919936,10919936,0-15,2985984,4722688,,2555904,0,210696,10919936,2555904,8359936,5,,False,,,
1785717508.376812,redis,220318,0.1601,0.1874,36,10919936,10919936,0-15,2985984,4722688,,2555904,0,210696,10919936,2555904,8359936,5,,False,,,
1785717509.378459,redis,220318,0.1602,0.1874,39,10919936,10919936,0-15,2985984,4722688,,2555904,0,211672,10919936,2555904,8359936,5,,False,,,
1785717510.3800924,redis,220318,0.1598,0.1249,41,10919936,10919936,0-15,2985984,4722688,,2555904,0,210696,10919936,2555904,8359936,5,,False,,,
1785717511.381765,redis,220318,0.1608,0.1874,44,10919936,10919936,0-15,2990080,4722688,,2555904,0,212512,10919936,2555904,8359936,5,,False,,,
1785717512.3833947,redis,220318,0.162,0.1874,47,10919936,10919936,0-15,2990080,4722688,,2555904,0,213488,10919936,2555904,8359936,5,,False,,,
1785717513.3850837,redis,220318,0.1586,0.1249,49,10919936,10919936,0-15,2985984,4722688,,2555904,0,211672,10919936,2555904,8359936,5,,False,,,
1785717514.386757,redis,220318,0.1573,0.1249,51,10919936,10919936,0-15,2985984,4722688,,2555904,0,210696,10919936,2555904,8359936,5,,False,,,
1785717515.3883932,redis,220318,0.1572,0.1874,54,10919936,10919936,0-15,2985984,4722688,,2555904,0,210696,10919936,2555904,8359936,5,,False,,,
1785717516.3900235,redis,220318,0.1588,0.1874,57,10919936,10919936,0-15,2985984,4722688,,2555904,0,210696,10919936,2555904,8359936,5,,False,,,
1785717517.3916886,redis,220318,0.1617,0.1249,59,10919936,10919936,0-15,2985984,4722688,,2555904,0,211672,10919936,2555904,8359936,5,,False,,,
1785717518.393339,redis,220318,0.1581,0.1249,61,10919936,10919936,0-15,2990080,4722688,,2555904,0,212512,10919936,2555904,8359936,5,,False,,,
1785717519.3949852,redis,220318,0.1598,0.2499,65,10919936,10919936,0-15,2985984,4722688,,2555904,0,210696,10919936,2555904,8359936,5,,False,,,
1785717520.3966398,redis,220318,0.159,0.1249,67,10919936,10919936,0-15,2985984,4722688,,2555904,0,210696,10919936,2555904,8359936,5,,False,,,
1785717521.3982782,redis,220318,0.1603,0.1249,69,10919936,10919936,0-15,2985984,4722688,,2555904,0,210696,10919936,2555904,8359936,5,,False,,,
1785717522.399915,redis,220318,0.1572,0.1249,71,10919936,10919936,0-15,2985984,4722688,,2555904,0,210696,10919936,2555904,8359936,5,,False,,,
