timestamp_unix,target,pid,container_cpu_percent,process_cpu_percent,process_cpu_ticks,vmrss_bytes,vmhwm_bytes,effective_cpu_affinity,cgroup_memory_current_bytes,cgroup_memory_peak_bytes,cgroup_memory_limit_bytes,cgroup_memory_anon_bytes,cgroup_memory_file_bytes,cgroup_memory_slab_bytes,smaps_rollup_rss_bytes,smaps_rollup_pss_anon_bytes,smaps_rollup_pss_file_bytes,process_threads,process_fd_count,jvm_heap_available,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_heap_max_bytes
1785717966.6642776,hydra,281337,,0.0,1,8716288,8716288,4,17907712,33669120,,13213696,1163264,2010096,8720384,1642496,4869120,2,21,False,,,
1785717967.6657395,hydra,281337,,14.995,16,14221312,14221312,4,21123072,33669120,,17186816,1171456,1904184,14221312,7143424,4905984,2,11,False,,,
1785717968.6672528,hydra,281337,,0.0,16,14221312,14221312,4,20856832,33669120,,17186816,1171456,1718832,14221312,7143424,4905984,2,11,False,,,
1785717969.6688294,hydra,281337,,0.9995,17,14221312,14221312,4,21078016,33669120,,17207296,1171456,1720904,14221312,7143424,4905984,2,11,False,,,
1785717970.6698697,hydra,281337,,0.0,17,14221312,14221312,4,21250048,33669120,,17211392,1171456,1720904,14221312,7143424,4905984,2,11,False,,,
1785717971.6713223,hydra,281337,,0.0,17,14221312,14221312,4,21204992,33669120,,17223680,1171456,1717752,14221312,7143424,4905984,2,11,False,,,
1785717972.6723723,hydra,281337,,0.0,17,14221312,14221312,4,20672512,33669120,,17223680,1175552,1515648,14221312,7143424,4905984,2,11,False,,,
1785717973.6733634,hydra,281337,,0.0,17,14221312,14221312,4,20672512,33669120,,17231872,1175552,1515648,14221312,7143424,4905984,2,11,False,,,
1785717974.6744277,hydra,281337,,0.0,17,14221312,14221312,4,20926464,33669120,,17231872,1175552,1517472,14221312,7143424,4905984,2,11,False,,,
1785717975.675697,hydra,281337,,0.0,17,14221312,14221312,4,20729856,33669120,,17231872,1175552,1516520,14221312,7143424,4905984,2,11,False,,,
1785717976.6769538,hydra,281337,,0.0,17,14221312,14221312,4,20463616,33669120,,17231872,1175552,1339712,14221312,7143424,4905984,2,11,False,,,
1785717977.678404,hydra,281337,,0.0,17,14221312,14221312,4,20463616,33669120,,17240064,1179648,1339712,14221312,7143424,4905984,2,11,False,,,
