timestamp_unix,target,pid,container_cpu_percent,process_cpu_percent,process_cpu_ticks,vmrss_bytes,vmhwm_bytes,effective_cpu_affinity,cgroup_memory_current_bytes,cgroup_memory_peak_bytes,cgroup_memory_limit_bytes,cgroup_memory_anon_bytes,cgroup_memory_file_bytes,cgroup_memory_slab_bytes,smaps_rollup_rss_bytes,smaps_rollup_pss_anon_bytes,smaps_rollup_pss_file_bytes,process_threads,process_fd_count,jvm_heap_available,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_heap_max_bytes
1785718161.3666706,redis,281853,6.7488,0.0,8,11894784,11894784,0-15,4243456,4755456,,3538944,0,222696,11907072,3551232,8351744,5,,False,,,
1785718162.3683267,redis,281853,0.7045,0.6871,19,13561856,13561856,0-15,5652480,5808128,,5206016,0,208656,13561856,5206016,8351744,5,,False,,,
1785718163.3694935,redis,281853,0.003,0.0,19,13561856,13561856,0-15,5652480,5808128,,5206016,0,208656,13561856,5206016,8351744,5,,False,,,
1785718164.3713374,redis,281853,0.0135,0.0,19,12689408,13238272,0-15,4771840,5914624,,4333568,0,209216,12689408,4333568,8351744,5,,False,,,
1785718165.3724058,redis,281853,0.0027,0.0625,20,12689408,13238272,0-15,4771840,5914624,,4333568,0,209216,12689408,4333568,8351744,5,,False,,,
1785718166.3734944,redis,281853,0.0033,0.0,20,12689408,13238272,0-15,4771840,5914624,,4333568,0,209216,12689408,4333568,8351744,5,,False,,,
1785718167.3750265,redis,281853,0.003,0.0,20,12689408,13238272,0-15,4771840,5914624,,4333568,0,209216,12689408,4333568,8351744,5,,False,,,
1785718168.3760397,redis,281853,0.0029,0.0,20,12689408,13238272,0-15,4771840,5914624,,4333568,0,209216,12689408,4333568,8351744,5,,False,,,
1785718169.3773544,redis,281853,0.0028,0.0,20,12689408,13238272,0-15,4771840,5914624,,4333568,0,209216,12689408,4333568,8351744,5,,False,,,
1785718170.3783731,redis,281853,0.0032,0.0,20,12689408,13238272,0-15,4771840,5914624,,4333568,0,209216,12689408,4333568,8351744,5,,False,,,
1785718171.3793623,redis,281853,0.0028,0.0,20,12689408,13238272,0-15,4771840,5914624,,4333568,0,209216,12689408,4333568,8351744,5,,False,,,
1785718172.3804405,redis,281853,0.003,0.0,20,12689408,13238272,0-15,4771840,5914624,,4333568,0,209216,12689408,4333568,8351744,5,,False,,,
1785718173.3814802,redis,281853,0.0027,0.0,20,12689408,13238272,0-15,4771840,5914624,,4333568,0,209216,12689408,4333568,8351744,5,,False,,,
1785718174.3824697,redis,281853,0.0028,0.0,20,12689408,13238272,0-15,4771840,5914624,,4333568,0,209216,12689408,4333568,8351744,5,,False,,,
1785718175.3836827,redis,281853,0.0029,0.0,20,12689408,13238272,0-15,4771840,5914624,,4333568,0,209216,12689408,4333568,8351744,5,,False,,,
1785718176.3851178,redis,281853,0.003,0.0,20,12689408,13238272,0-15,4771840,5914624,,4333568,0,209216,12689408,4333568,8351744,5,,False,,,
1785718177.3868032,redis,281853,0.003,0.0,20,12689408,13238272,0-15,5025792,5914624,,4333568,0,207336,12689408,4333568,8351744,5,,False,,,
1785718178.3888607,redis,281853,0.0033,0.0,20,12689408,13238272,0-15,5025792,5914624,,4333568,0,207336,12689408,4333568,8351744,5,,False,,,
1785718179.389885,redis,281853,0.003,0.0,20,12689408,13238272,0-15,5025792,5914624,,4333568,0,207336,12689408,4333568,8351744,5,,False,,,
1785718180.3909118,redis,281853,0.0031,0.0,20,12689408,13238272,0-15,5025792,5914624,,4333568,0,207336,12689408,4333568,8351744,5,,False,,,
1785718181.3919537,redis,281853,0.0025,0.0,20,12689408,13238272,0-15,5025792,5914624,,4333568,0,207336,12689408,4333568,8351744,5,,False,,,
1785718182.3930109,redis,281853,0.003,0.0,20,12689408,13238272,0-15,5025792,5914624,,4333568,0,207336,12689408,4333568,8351744,5,,False,,,
1785718183.393992,redis,281853,0.0029,0.0,20,12689408,13238272,0-15,5025792,5914624,,4333568,0,207336,12689408,4333568,8351744,5,,False,,,
1785718184.395001,redis,281853,0.0029,0.0,20,12689408,13238272,0-15,5025792,5914624,,4333568,0,207336,12689408,4333568,8351744,5,,False,,,
1785718185.396487,redis,281853,0.003,0.0,20,12689408,13238272,0-15,5025792,5914624,,4333568,0,207336,12689408,4333568,8351744,5,,False,,,
1785718186.3975637,redis,281853,0.0028,0.0,20,12689408,13238272,0-15,5025792,5914624,,4333568,0,207336,12689408,4333568,8351744,5,,False,,,
1785718187.398616,redis,281853,0.003,0.0,20,12689408,13238272,0-15,5025792,5914624,,4333568,0,207336,12689408,4333568,8351744,5,,False,,,
1785718188.3996534,redis,281853,0.0026,0.0,20,12689408,13238272,0-15,5025792,5914624,,4333568,0,207336,12689408,4333568,8351744,5,,False,,,
1785718189.400856,redis,281853,0.003,0.0,20,12689408,13238272,0-15,5025792,5914624,,4333568,0,207336,12689408,4333568,8351744,5,,False,,,
1785718190.4018924,redis,281853,0.0028,0.0,20,12689408,13238272,0-15,5025792,5914624,,4333568,0,207336,12689408,4333568,8351744,5,,False,,,
1785718191.4028938,redis,281853,0.003,0.0,20,12689408,13238272,0-15,5025792,5914624,,4333568,0,207336,12689408,4333568,8351744,5,,False,,,
1785718192.4041374,redis,281853,0.0028,0.0,20,12689408,13238272,0-15,5025792,5914624,,4333568,0,207336,12689408,4333568,8351744,5,,False,,,
1785718193.40514,redis,281853,0.0032,0.0,20,12689408,13238272,0-15,5025792,5914624,,4333568,0,207336,12689408,4333568,8351744,5,,False,,,
1785718194.4064882,redis,281853,0.9317,0.9996,36,14135296,14135296,0-15,6225920,6492160,,5779456,0,208696,14135296,5779456,8351744,5,,False,,,
1785718195.407588,redis,281853,0.0029,0.0,36,14135296,14135296,0-15,6225920,6492160,,5779456,0,208696,14135296,5779456,8351744,5,,False,,,
1785718196.4091966,redis,281853,0.0284,0.0,36,12939264,13787136,0-15,5292032,6750208,,4583424,0,209000,12939264,4583424,8351744,5,,False,,,
1785718197.4107792,redis,281853,0.003,0.0,36,12939264,13787136,0-15,5296128,6750208,,4583424,0,209000,12939264,4583424,8351744,5,,False,,,
1785718198.4118543,redis,281853,0.0026,0.0,36,12939264,13787136,0-15,5292032,6750208,,4583424,0,209000,12939264,4583424,8351744,5,,False,,,
1785718199.4129057,redis,281853,0.003,0.0,36,12939264,13787136,0-15,5292032,6750208,,4583424,0,209000,12939264,4583424,8351744,5,,False,,,
1785718200.4141545,redis,281853,0.0027,0.0,36,12939264,13787136,0-15,5292032,6750208,,4583424,0,209000,12939264,4583424,8351744,5,,False,,,
1785718201.4151542,redis,281853,0.0033,0.0,36,12939264,13787136,0-15,5296128,6750208,,4583424,0,209000,12939264,4583424,8351744,5,,False,,,
1785718202.4161663,redis,281853,0.0031,0.0,36,12939264,13787136,0-15,5292032,6750208,,4583424,0,209000,12939264,4583424,8351744,5,,False,,,
1785718203.41768,redis,281853,0.0032,0.0,36,12939264,13787136,0-15,5292032,6750208,,4583424,0,209000,12939264,4583424,8351744,5,,False,,,
1785718204.4187715,redis,281853,0.0031,0.0,36,12939264,13787136,0-15,5292032,6750208,,4583424,0,209000,12939264,4583424,8351744,5,,False,,,
1785718205.420597,redis,281853,0.0043,0.0,36,12939264,13787136,0-15,5292032,6750208,,4583424,0,209000,12939264,4583424,8351744,5,,False,,,
1785718206.4220216,redis,281853,0.003,0.0,36,12939264,13787136,0-15,5292032,6750208,,4583424,0,209000,12939264,4583424,8351744,5,,False,,,
1785718207.4229937,redis,281853,0.0033,0.0,36,12939264,13787136,0-15,5283840,6750208,,4583424,0,209000,12939264,4583424,8351744,5,,False,,,
1785718208.4242496,redis,281853,0.0026,0.0,36,12939264,13787136,0-15,5283840,6750208,,4583424,0,209000,12939264,4583424,8351744,5,,False,,,
1785718209.4257083,redis,281853,0.0028,0.0,36,12939264,13787136,0-15,5283840,6750208,,4583424,0,209000,12939264,4583424,8351744,5,,False,,,
1785718210.426817,redis,281853,0.003,0.0,36,12939264,13787136,0-15,5279744,6750208,,4583424,0,209000,12939264,4583424,8351744,5,,False,,,
1785718211.4278073,redis,281853,0.0027,0.0625,37,12939264,13787136,0-15,5279744,6750208,,4583424,0,209000,12939264,4583424,8351744,5,,False,,,
1785718212.429161,redis,281853,0.0029,0.0,37,12939264,13787136,0-15,5279744,6750208,,4583424,0,209000,12939264,4583424,8351744,5,,False,,,
1785718213.4303784,redis,281853,0.0027,0.0,37,12939264,13787136,0-15,5279744,6750208,,4583424,0,209000,12939264,4583424,8351744,5,,False,,,
1785718214.4314046,redis,281853,0.0032,0.0,37,12939264,13787136,0-15,5279744,6750208,,4583424,0,209000,12939264,4583424,8351744,5,,False,,,
1785718215.432539,redis,281853,0.0028,0.0,37,12939264,13787136,0-15,5279744,6750208,,4583424,0,209000,12939264,4583424,8351744,5,,False,,,
1785718216.4335945,redis,281853,0.003,0.0,37,12939264,13787136,0-15,5279744,6750208,,4583424,0,209000,12939264,4583424,8351744,5,,False,,,
1785718217.4346197,redis,281853,0.0028,0.0,37,12939264,13787136,0-15,5283840,6750208,,4583424,0,209000,12939264,4583424,8351744,5,,False,,,
1785718218.4361262,redis,281853,0.0027,0.0,37,12939264,13787136,0-15,5279744,6750208,,4583424,0,209000,12939264,4583424,8351744,5,,False,,,
1785718219.4379113,redis,281853,0.0035,0.0,37,12939264,13787136,0-15,5279744,6750208,,4583424,0,209000,12939264,4583424,8351744,5,,False,,,
1785718220.4393387,redis,281853,0.0027,0.0,37,12939264,13787136,0-15,5279744,6750208,,4583424,0,209000,12939264,4583424,8351744,5,,False,,,
1785718221.440328,redis,281853,0.0029,0.0,37,12939264,13787136,0-15,5279744,6750208,,4583424,0,207336,12939264,4583424,8351744,5,,False,,,
1785718222.4413733,redis,281853,0.0028,0.0,37,12939264,13787136,0-15,5279744,6750208,,4583424,0,207336,12939264,4583424,8351744,5,,False,,,
1785718223.4424467,redis,281853,0.0026,0.0,37,12939264,13787136,0-15,5279744,6750208,,4583424,0,207336,12939264,4583424,8351744,5,,False,,,
1785718224.443709,redis,281853,0.0031,0.0,37,12939264,13787136,0-15,5279744,6750208,,4583424,0,207336,12939264,4583424,8351744,5,,False,,,
1785718225.4451807,redis,281853,0.0026,0.0,37,12939264,13787136,0-15,5279744,6750208,,4583424,0,207336,12939264,4583424,8351744,5,,False,,,
1785718226.4470148,redis,281853,1.2958,1.3117,58,14589952,14589952,0-15,6930432,6946816,,6234112,0,207336,14589952,6234112,8351744,5,,False,,,
1785718227.4481418,redis,281853,0.0027,0.0,58,14589952,14589952,0-15,6930432,6946816,,6234112,0,207336,14589952,6234112,8351744,5,,False,,,
1785718228.449732,redis,281853,0.0282,0.0625,59,13131776,14307328,0-15,5472256,7192576,,4775936,0,207336,13131776,4775936,8351744,5,,False,,,
1785718229.4508739,redis,281853,0.0027,0.0,59,13131776,14307328,0-15,5472256,7192576,,4775936,0,207336,13131776,4775936,8351744,5,,False,,,
1785718230.451937,redis,281853,0.0032,0.0,59,13131776,14307328,0-15,5472256,7192576,,4775936,0,207336,13131776,4775936,8351744,5,,False,,,
1785718231.452952,redis,281853,0.0027,0.0,59,13131776,14307328,0-15,5472256,7192576,,4775936,0,207336,13131776,4775936,8351744,5,,False,,,
1785718232.4539273,redis,281853,0.0032,0.0,59,13131776,14307328,0-15,5472256,7192576,,4775936,0,207336,13131776,4775936,8351744,5,,False,,,
1785718233.4558058,redis,281853,0.003,0.0,59,13131776,14307328,0-15,5210112,7192576,,4775936,0,207336,13131776,4775936,8351744,5,,False,,,
1785718234.4574955,redis,281853,0.0047,0.0,59,13131776,14307328,0-15,5472256,7192576,,4775936,0,207336,13131776,4775936,8351744,5,,False,,,
1785718235.4588618,redis,281853,0.0027,0.0,59,13131776,14307328,0-15,5472256,7192576,,4775936,0,207336,13131776,4775936,8351744,5,,False,,,
1785718236.4599848,redis,281853,0.003,0.0,59,13131776,14307328,0-15,5472256,7192576,,4775936,0,207336,13131776,4775936,8351744,5,,False,,,
1785718237.4609435,redis,281853,0.0032,0.0,59,13131776,14307328,0-15,5472256,7192576,,4775936,0,207336,13131776,4775936,8351744,5,,False,,,
1785718238.4619899,redis,281853,0.0028,0.0,59,13131776,14307328,0-15,5472256,7192576,,4775936,0,207336,13131776,4775936,8351744,5,,False,,,
1785718239.4630802,redis,281853,0.0031,0.0,59,13131776,14307328,0-15,5472256,7192576,,4775936,0,207336,13131776,4775936,8351744,5,,False,,,
1785718240.464081,redis,281853,0.0028,0.0,59,13131776,14307328,0-15,5472256,7192576,,4775936,0,207336,13131776,4775936,8351744,5,,False,,,
1785718241.4651697,redis,281853,0.0028,0.0,59,13131776,14307328,0-15,5472256,7192576,,4775936,0,207336,13131776,4775936,8351744,5,,False,,,
1785718242.4666522,redis,281853,0.0026,0.0,59,13131776,14307328,0-15,5472256,7192576,,4775936,0,207336,13131776,4775936,8351744,5,,False,,,
1785718243.4677145,redis,281853,0.0028,0.0,59,13131776,14307328,0-15,5472256,7192576,,4775936,0,207336,13131776,4775936,8351744,5,,False,,,
1785718244.4687145,redis,281853,0.0029,0.0,59,13131776,14307328,0-15,5472256,7192576,,4775936,0,207336,13131776,4775936,8351744,5,,False,,,
1785718245.4697442,redis,281853,0.003,0.0,59,13131776,14307328,0-15,5472256,7192576,,4775936,0,207336,13131776,4775936,8351744,5,,False,,,
1785718246.4708085,redis,281853,0.003,0.0,59,13131776,14307328,0-15,5472256,7192576,,4775936,0,207336,13131776,4775936,8351744,5,,False,,,
1785718247.4721003,redis,281853,0.0028,0.0,59,13131776,14307328,0-15,5472256,7192576,,4775936,0,207336,13131776,4775936,8351744,5,,False,,,
1785718248.4735801,redis,281853,0.0027,0.0,59,13131776,14307328,0-15,5472256,7192576,,4775936,0,207336,13131776,4775936,8351744,5,,False,,,
1785718249.4748762,redis,281853,0.0028,0.0,59,13131776,14307328,0-15,5472256,7192576,,4775936,0,207336,13131776,4775936,8351744,5,,False,,,
1785718250.4760325,redis,281853,0.0025,0.0,59,13131776,14307328,0-15,5472256,7192576,,4775936,0,207336,13131776,4775936,8351744,5,,False,,,
1785718251.4772022,redis,281853,0.003,0.0,59,13131776,14307328,0-15,5472256,7192576,,4775936,0,207336,13131776,4775936,8351744,5,,False,,,
1785718252.4782636,redis,281853,0.0029,0.0,59,13131776,14307328,0-15,5472256,7192576,,4775936,0,207336,13131776,4775936,8351744,5,,False,,,
1785718253.4793873,redis,281853,0.0028,0.0,59,13131776,14307328,0-15,5472256,7192576,,4775936,0,207336,13131776,4775936,8351744,5,,False,,,
1785718254.4803548,redis,281853,0.0029,0.0,59,13131776,14307328,0-15,5472256,7192576,,4775936,0,207336,13131776,4775936,8351744,5,,False,,,
1785718255.481357,redis,281853,0.0029,0.0625,60,13131776,14307328,0-15,5472256,7192576,,4775936,0,207336,13131776,4775936,8351744,5,,False,,,
