timestamp_unix,target,pid,container_cpu_percent,process_cpu_percent,process_cpu_ticks,vmrss_bytes,vmhwm_bytes,effective_cpu_affinity,cgroup_memory_current_bytes,cgroup_memory_peak_bytes,cgroup_memory_limit_bytes,cgroup_memory_anon_bytes,cgroup_memory_file_bytes,cgroup_memory_slab_bytes,smaps_rollup_rss_bytes,smaps_rollup_pss_anon_bytes,smaps_rollup_pss_file_bytes,process_threads,process_fd_count,jvm_heap_available,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_heap_max_bytes
1785718791.7766118,redis,284535,6.4235,0.0,8,11907072,11907072,0-15,4296704,4685824,,3559424,0,222696,11919360,3567616,8347648,5,,False,,,
1785718792.778265,redis,284535,1.008,0.9995,24,14168064,14168064,0-15,6250496,6524928,,5816320,0,207032,14168064,5816320,8347648,5,,False,,,
1785718793.7793407,redis,284535,0.0033,0.0,24,14168064,14168064,0-15,6250496,6524928,,5816320,0,207032,14168064,5816320,8347648,5,,False,,,
1785718794.7803988,redis,284535,0.003,0.0,24,14168064,14168064,0-15,6250496,6524928,,5816320,0,207032,14168064,5816320,8347648,5,,False,,,
1785718795.7815285,redis,284535,0.0028,0.0,24,14168064,14168064,0-15,6250496,6524928,,5816320,0,207032,14168064,5816320,8347648,5,,False,,,
1785718796.7825942,redis,284535,0.0028,0.0,24,14168064,14168064,0-15,6250496,6524928,,5816320,0,207032,14168064,5816320,8347648,5,,False,,,
1785718797.783644,redis,284535,0.003,0.0,24,14168064,14168064,0-15,6250496,6524928,,5816320,0,207032,14168064,5816320,8347648,5,,False,,,
1785718798.7850747,redis,284535,0.0029,0.0,24,14168064,14168064,0-15,6250496,6524928,,5816320,0,207032,14168064,5816320,8347648,5,,False,,,
1785718799.7863917,redis,284535,0.003,0.0,24,14168064,14168064,0-15,6250496,6524928,,5816320,0,207032,14168064,5816320,8347648,5,,False,,,
1785718800.788066,redis,284535,0.0033,0.0,24,14168064,14168064,0-15,6250496,6524928,,5816320,0,207032,14168064,5816320,8347648,5,,False,,,
1785718801.78915,redis,284535,0.0028,0.0,24,14168064,14168064,0-15,6250496,6524928,,5816320,0,207032,14168064,5816320,8347648,5,,False,,,
1785718802.79014,redis,284535,0.0026,0.0,24,14168064,14168064,0-15,6250496,6524928,,5816320,0,207032,14168064,5816320,8347648,5,,False,,,
1785718803.7911384,redis,284535,0.0031,0.0,24,14168064,14168064,0-15,6250496,6524928,,5816320,0,207032,14168064,5816320,8347648,5,,False,,,
1785718804.7921817,redis,284535,0.003,0.0,24,14168064,14168064,0-15,6250496,6524928,,5816320,0,207032,14168064,5816320,8347648,5,,False,,,
1785718805.7939382,redis,284535,0.004,0.0,24,14168064,14168064,0-15,6250496,6524928,,5816320,0,207032,14168064,5816320,8347648,5,,False,,,
1785718806.795312,redis,284535,0.0032,0.0,24,14168064,14168064,0-15,6250496,6524928,,5816320,0,207032,14168064,5816320,8347648,5,,False,,,
1785718807.7963362,redis,284535,0.0034,0.0625,25,14168064,14168064,0-15,6250496,6524928,,5816320,0,207032,14168064,5816320,8347648,5,,False,,,
1785718808.7973385,redis,284535,0.0032,0.0,25,14168064,14168064,0-15,6250496,6524928,,5816320,0,207032,14168064,5816320,8347648,5,,False,,,
1785718809.7985358,redis,284535,0.0025,0.0,25,14168064,14168064,0-15,6250496,6524928,,5816320,0,207032,14168064,5816320,8347648,5,,False,,,
1785718810.7997553,redis,284535,0.0032,0.0,25,14168064,14168064,0-15,6250496,6524928,,5816320,0,207032,14168064,5816320,8347648,5,,False,,,
1785718811.800856,redis,284535,0.003,0.0,25,14168064,14168064,0-15,6250496,6524928,,5816320,0,207032,14168064,5816320,8347648,5,,False,,,
1785718812.8018754,redis,284535,0.0042,0.0,25,14159872,14159872,0-15,6242304,6524928,,5808128,0,207032,14159872,5808128,8347648,5,,False,,,
1785718813.8028688,redis,284535,0.0027,0.0,25,14159872,14159872,0-15,6242304,6524928,,5808128,0,207032,14159872,5808128,8347648,5,,False,,,
1785718814.8039014,redis,284535,0.0028,0.0,25,14159872,14159872,0-15,6242304,6524928,,5808128,0,207032,14159872,5808128,8347648,5,,False,,,
1785718815.80539,redis,284535,0.0024,0.0,25,14159872,14159872,0-15,6242304,6524928,,5808128,0,207032,14159872,5808128,8347648,5,,False,,,
1785718816.8065357,redis,284535,0.0031,0.0,25,14159872,14159872,0-15,6242304,6524928,,5808128,0,207032,14159872,5808128,8347648,5,,False,,,
1785718817.8079133,redis,284535,0.0029,0.0,25,14159872,14159872,0-15,6242304,6524928,,5808128,0,207032,14159872,5808128,8347648,5,,False,,,
1785718818.809396,redis,284535,0.0028,0.0,25,14159872,14159872,0-15,6242304,6524928,,5808128,0,207032,14159872,5808128,8347648,5,,False,,,
1785718819.8105085,redis,284535,0.0029,0.0,25,14159872,14159872,0-15,6242304,6524928,,5808128,0,207032,14159872,5808128,8347648,5,,False,,,
1785718820.8117926,redis,284535,0.0035,0.0,25,14159872,14159872,0-15,6242304,6524928,,5808128,0,207032,14159872,5808128,8347648,5,,False,,,
