timestamp_unix,target,pid,container_cpu_percent,process_cpu_percent,process_cpu_ticks,vmrss_bytes,vmhwm_bytes,effective_cpu_affinity,cgroup_memory_current_bytes,cgroup_memory_peak_bytes,cgroup_memory_limit_bytes,cgroup_memory_anon_bytes,cgroup_memory_file_bytes,cgroup_memory_slab_bytes,smaps_rollup_rss_bytes,smaps_rollup_pss_anon_bytes,smaps_rollup_pss_file_bytes,process_threads,process_fd_count,jvm_heap_available,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_heap_max_bytes
1785719125.865061,redis,286210,9.1286,0.0,7,11890688,11890688,0-15,3915776,4321280,,3432448,0,222392,11898880,3440640,8454144,5,,False,,,
1785719126.8671153,redis,286210,1.0064,0.9994,23,13656064,13656064,0-15,5885952,6033408,,5197824,0,207336,13656064,5197824,8454144,5,,False,,,
1785719127.8682249,redis,286210,0.0029,0.0,23,13656064,13656064,0-15,5885952,6033408,,5197824,0,207336,13656064,5197824,8454144,5,,False,,,
1785719128.869211,redis,286210,0.0026,0.0,23,13656064,13656064,0-15,5885952,6033408,,5197824,0,207336,13656064,5197824,8454144,5,,False,,,
1785719129.8701968,redis,286210,0.003,0.0,23,13656064,13656064,0-15,5885952,6033408,,5197824,0,207336,13656064,5197824,8454144,5,,False,,,
1785719130.8712232,redis,286210,0.0029,0.0,23,13656064,13656064,0-15,5885952,6033408,,5197824,0,207336,13656064,5197824,8454144,5,,False,,,
1785719131.872315,redis,286210,0.0029,0.0,23,13656064,13656064,0-15,5885952,6033408,,5197824,0,207336,13656064,5197824,8454144,5,,False,,,
1785719132.8733094,redis,286210,0.0028,0.0,23,13656064,13656064,0-15,5885952,6033408,,5197824,0,207336,13656064,5197824,8454144,5,,False,,,
1785719133.8747375,redis,286210,0.0029,0.0625,24,13656064,13656064,0-15,5885952,6033408,,5197824,0,207336,13656064,5197824,8454144,5,,False,,,
1785719134.875787,redis,286210,0.0026,0.0,24,13656064,13656064,0-15,5885952,6033408,,5197824,0,207336,13656064,5197824,8454144,5,,False,,,
1785719135.8767807,redis,286210,0.0031,0.0,24,13656064,13656064,0-15,5885952,6033408,,5197824,0,207336,13656064,5197824,8454144,5,,False,,,
1785719136.8778505,redis,286210,0.0026,0.0,24,13656064,13656064,0-15,5885952,6033408,,5197824,0,207336,13656064,5197824,8454144,5,,False,,,
1785719137.8788793,redis,286210,0.0028,0.0,24,13656064,13656064,0-15,5885952,6033408,,5197824,0,207336,13656064,5197824,8454144,5,,False,,,
1785719138.879856,redis,286210,0.0033,0.0625,25,13656064,13656064,0-15,5885952,6033408,,5197824,0,207336,13656064,5197824,8454144,5,,False,,,
1785719139.8808,redis,286210,0.003,0.0,25,13656064,13656064,0-15,5885952,6033408,,5197824,0,207336,13656064,5197824,8454144,5,,False,,,
1785719140.8817961,redis,286210,0.0027,0.0,25,13656064,13656064,0-15,5885952,6033408,,5197824,0,207336,13656064,5197824,8454144,5,,False,,,
1785719141.882795,redis,286210,0.0029,0.0,25,13656064,13656064,0-15,5885952,6033408,,5197824,0,207336,13656064,5197824,8454144,5,,False,,,
1785719142.884227,redis,286210,0.003,0.0,25,13656064,13656064,0-15,5885952,6033408,,5197824,0,207336,13656064,5197824,8454144,5,,False,,,
1785719143.8851976,redis,286210,0.0026,0.0,25,13656064,13656064,0-15,5885952,6033408,,5197824,0,207336,13656064,5197824,8454144,5,,False,,,
1785719144.8861773,redis,286210,0.0028,0.0,25,13656064,13656064,0-15,5885952,6033408,,5197824,0,207336,13656064,5197824,8454144,5,,False,,,
1785719145.8875256,redis,286210,0.0029,0.0,25,13656064,13656064,0-15,5885952,6033408,,5197824,0,207336,13656064,5197824,8454144,5,,False,,,
1785719146.8885972,redis,286210,0.0035,0.0,25,13647872,13647872,0-15,5877760,6033408,,5189632,0,207336,13647872,5189632,8454144,5,,False,,,
1785719147.8896217,redis,286210,0.003,0.0,25,13647872,13647872,0-15,5877760,6033408,,5189632,0,207336,13647872,5189632,8454144,5,,False,,,
1785719148.8905947,redis,286210,0.0031,0.0,25,13647872,13647872,0-15,5877760,6033408,,5189632,0,207336,13647872,5189632,8454144,5,,False,,,
1785719149.89157,redis,286210,0.0031,0.0,25,13647872,13647872,0-15,5877760,6033408,,5189632,0,207336,13647872,5189632,8454144,5,,False,,,
1785719150.89258,redis,286210,0.0025,0.0,25,13647872,13647872,0-15,5877760,6033408,,5189632,0,207336,13647872,5189632,8454144,5,,False,,,
1785719151.8938007,redis,286210,0.0026,0.0,25,13647872,13647872,0-15,5877760,6033408,,5189632,0,207336,13647872,5189632,8454144,5,,False,,,
1785719152.8948603,redis,286210,0.0029,0.0,25,13647872,13647872,0-15,5877760,6033408,,5189632,0,207336,13647872,5189632,8454144,5,,False,,,
