experiment	target	pattern	status
01-fixed-keyspace	hydra	fixed-keyspace	complete
01-fixed-keyspace	redis	fixed-keyspace	complete
01-fixed-keyspace	hazelcast	fixed-keyspace	complete
02-expiry-reclamation	hazelcast	expiry-reclamation	not_applicable
02-expiry-reclamation	hydra	expiry-reclamation	complete
02-expiry-reclamation	redis	expiry-reclamation	complete
03-cycle-reset	hydra	cycle-reset	complete
03-cycle-reset	redis	cycle-reset	complete
03-cycle-reset	hazelcast	cycle-reset	complete
04-restart-soak	hydra	restart-soak	complete
04-restart-soak	redis	restart-soak	complete
05-idle-fragmentation	hydra	idle-fragmentation	complete
05-idle-fragmentation	redis	idle-fragmentation	complete
05-idle-fragmentation	hazelcast	idle-fragmentation	complete
