experiment	target	case	status	detail
01-long-soak	hydra	baseline	complete	long
01-long-soak	redis	baseline	complete	long
01-long-soak	hazelcast	baseline	complete	long
02-ttl	hazelcast	native-expiry	not_applicable	Hazelcast case has no Redis-compatible TTL control
02-ttl	hydra	ttl-100ms	complete	ttl
02-ttl	hydra	ttl-1000ms	complete	ttl
02-ttl	hydra	ttl-10000ms	complete	ttl
02-ttl	hydra	ttl-60000ms	complete	ttl
02-ttl	redis	ttl-100ms	complete	ttl
02-ttl	redis	ttl-1000ms	complete	ttl
02-ttl	redis	ttl-10000ms	complete	ttl
02-ttl	redis	ttl-60000ms	complete	ttl
03-payload-key	hydra	payload-64-key-8	complete	one
03-payload-key	hydra	payload-64-key-32	complete	one
03-payload-key	hydra	payload-1024-key-8	complete	one
03-payload-key	hydra	payload-1024-key-32	complete	one
03-payload-key	hydra	payload-4096-key-8	complete	one
03-payload-key	hydra	payload-4096-key-32	complete	one
03-payload-key	redis	payload-64-key-8	complete	one
03-payload-key	redis	payload-64-key-32	complete	one
03-payload-key	redis	payload-1024-key-8	complete	one
03-payload-key	redis	payload-1024-key-32	complete	one
03-payload-key	redis	payload-4096-key-8	complete	one
03-payload-key	redis	payload-4096-key-32	complete	one
03-payload-key	hazelcast	payload-64-key-8	complete	one
03-payload-key	hazelcast	payload-64-key-32	complete	one
03-payload-key	hazelcast	payload-1024-key-8	complete	one
03-payload-key	hazelcast	payload-1024-key-32	complete	one
03-payload-key	hazelcast	payload-4096-key-8	complete	one
03-payload-key	hazelcast	payload-4096-key-32	complete	one
04-clients-pipeline	hydra	clients-1-pipeline-1	complete	one
04-clients-pipeline	hydra	clients-10-pipeline-1	complete	one
04-clients-pipeline	hydra	clients-10-pipeline-10	complete	one
04-clients-pipeline	hydra	clients-50-pipeline-10	complete	one
04-clients-pipeline	hydra	clients-100-pipeline-10	complete	one
04-clients-pipeline	redis	clients-1-pipeline-1	complete	one
04-clients-pipeline	redis	clients-10-pipeline-1	complete	one
04-clients-pipeline	redis	clients-10-pipeline-10	complete	one
04-clients-pipeline	redis	clients-50-pipeline-10	complete	one
04-clients-pipeline	redis	clients-100-pipeline-10	complete	one
04-clients-pipeline	hazelcast	clients-1-pipeline-1	complete	one
04-clients-pipeline	hazelcast	clients-10-pipeline-1	complete	one
04-clients-pipeline	hazelcast	clients-10-pipeline-10	complete	one
04-clients-pipeline	hazelcast	clients-50-pipeline-10	complete	one
04-clients-pipeline	hazelcast	clients-100-pipeline-10	complete	one
05-workload-mix	hydra	set-100	complete	mix
05-workload-mix	hydra	set-90	complete	mix
05-workload-mix	hydra	set-50	complete	mix
05-workload-mix	hydra	set-10	complete	mix
05-workload-mix	redis	set-100	complete	mix
05-workload-mix	redis	set-90	complete	mix
05-workload-mix	redis	set-50	complete	mix
05-workload-mix	redis	set-10	complete	mix
05-workload-mix	hazelcast	set-100	complete	mix
05-workload-mix	hazelcast	set-90	complete	mix
05-workload-mix	hazelcast	set-50	complete	mix
05-workload-mix	hazelcast	set-10	complete	mix
06-key-distribution	hydra	uniform	complete	one
06-key-distribution	hydra	hot	complete	one
06-key-distribution	hydra	zipf	complete	one
06-key-distribution	redis	uniform	complete	one
06-key-distribution	redis	hot	complete	one
06-key-distribution	redis	zipf	complete	one
06-key-distribution	hazelcast	uniform	complete	one
06-key-distribution	hazelcast	hot	complete	one
06-key-distribution	hazelcast	zipf	complete	one
07-persistence	hydra	storage	complete	one
07-persistence	redis	ephemeral	complete	one
07-persistence	redis	rdb	complete	one
07-persistence	redis	aof	complete	one
07-persistence	hazelcast	baseline	complete	one
08-allocator	hydra	default	complete	allocator
08-allocator	hydra	allocator-trim	complete	allocator
09-memory-pressure	redis	limit-256m	complete	pressure
09-memory-pressure	redis	limit-512m	complete	pressure
09-memory-pressure	hazelcast	limit-256m	failed	workload
09-memory-pressure	hazelcast	limit-512m	complete	pressure
10-hazelcast-jvm	hazelcast	jvm-probe	complete	jvm
