timestamp_unix,target,pid,container_cpu_percent,process_cpu_percent,process_cpu_ticks,vmrss_bytes,vmhwm_bytes,effective_cpu_affinity,cgroup_memory_current_bytes,cgroup_memory_peak_bytes,cgroup_memory_limit_bytes,cgroup_memory_anon_bytes,cgroup_memory_file_bytes,cgroup_memory_slab_bytes,smaps_rollup_rss_bytes,smaps_rollup_pss_anon_bytes,smaps_rollup_pss_file_bytes,process_threads,process_fd_count,jvm_heap_available,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_heap_max_bytes,process_minor_faults,process_major_faults,process_read_bytes,process_write_bytes,process_read_syscalls,process_write_syscalls,voluntary_context_switches,nonvoluntary_context_switches,host_net_rx_bytes,host_net_tx_bytes,cgroup_io_read_bytes,cgroup_io_write_bytes,cgroup_memory_reclaim_events,cgroup_memory_oom_events,cgroup_memory_oom_kill_events,psi_memory_some_avg10,psi_memory_some_avg60,psi_memory_some_avg300,psi_memory_some_total,psi_cpu_some_avg10,psi_cpu_some_avg60,psi_cpu_some_avg300,psi_cpu_some_total,psi_io_some_avg10,psi_io_some_avg60,psi_io_some_avg300,psi_io_some_total
1785744726.8741431,hazelcast,4877,0.0,0.0,578,247660544,247660544,4,318902272,318902272,,226340864,89452544,1378856,247660544,226340864,21315584,49,,False,,,,142422,69,,,,,87,14,1100406517,1100404848,,,,0,0,0.0,0.0,0.0,268.0,48.51,36.39,25.26,140581894.0,1.09,0.24,0.1,1391240.0
1785744727.8832257,hazelcast,4877,101.5888,101.9552,680,256847872,260538368,4,329003008,333012992,,235528192,90189824,1386248,256872448,235552768,21315584,50,,False,,,,155568,69,,,,,87,14,1102372376,1102370781,,,,0,0,0.0,0.0,0.0,268.0,44.98,36.14,25.28,141262356.0,0.89,0.24,0.09,1399372.0
1785744728.8916502,hazelcast,4877,100.4271,99.9566,780,277028864,282599424,4,349069312,355127296,,255709184,90189824,1404656,277041152,255721472,21315584,50,,False,,,,176512,69,,,,,87,14,1109208577,1109207056,,,,0,0,0.0,0.0,0.0,268.0,44.98,36.14,25.28,141606002.0,0.89,0.24,0.09,1399372.0
1785744729.901998,hazelcast,4877,91.8731,91.932,872,302952448,303624192,4,375205888,376389632,,281632768,90198016,1410000,303194112,281874432,21315584,51,,False,,,,201219,69,,,,,87,14,1115301226,1115299779,,,,0,0,0.0,0.0,0.0,268.0,43.17,36.11,25.35,141910967.0,0.73,0.23,0.09,1406640.0
1785744730.9114413,hazelcast,4877,81.7912,81.9628,954,329441280,331210752,4,402079744,404135936,,308121600,90198016,1430768,329678848,308359168,21315584,52,,False,,,,230134,69,,,,,87,14,1121722257,1121720921,,,,0,0,0.0,0.0,0.0,268.0,43.17,36.11,25.35,142072079.0,0.73,0.23,0.09,1406640.0
1785744731.9213629,hazelcast,4877,33.7803,33.9854,988,358572032,358572032,4,430788608,431538176,,337252352,90198016,1433408,358887424,337567744,21315584,53,,False,,,,243332,69,,,,,87,14,1127957874,1127955992,,,,0,0,0.0,0.0,0.0,268.0,38.07,35.42,25.28,142126134.0,0.59,0.22,0.09,1406640.0
1785744732.9339316,hazelcast,4877,31.0122,29.9861,1018,393404416,393404416,4,469069824,469204992,,371847168,93704192,1469432,393412608,371855360,21553152,53,,False,,,,253909,71,,,,,87,14,1135198080,1135196288,,,,0,0,0.0,0.0,0.0,268.0,38.07,35.42,25.28,142190853.0,0.59,0.22,0.09,1412303.0
1785744733.9455645,hazelcast,4877,80.69,81.9633,1100,453713920,453713920,4,533471232,533745664,,430870528,98709504,1510176,453713920,430870528,22839296,55,,False,,,,278260,80,,,,,87,14,1141786290,1141782083,,,,0,0,0.0,0.0,0.0,268.0,34.97,34.94,25.25,142558552.0,0.48,0.21,0.09,1426176.0
1785744734.9577272,hazelcast,4877,21.2759,19.9912,1120,454668288,455307264,4,534458368,535613440,,431824896,98709504,1514768,454668288,431824896,22839296,56,,False,,,,280670,80,,,,,87,14,1148569884,1148565739,,,,0,0,0.0,0.0,0.0,268.0,34.97,34.94,25.25,142597811.0,0.48,0.21,0.09,1427441.0
1785744735.969886,hazelcast,4877,4.6285,4.9972,1125,454717440,455307264,4,534282240,535613440,,431874048,98709504,1514024,454717440,431874048,22839296,56,,False,,,,280682,80,,,,,87,14,1152097008,1152092863,,,,0,0,0.0,0.0,0.0,268.0,29.18,33.9,25.1,142607326.0,0.4,0.2,0.09,1427441.0
