timestamp_unix,target,pid,container_cpu_percent,process_cpu_percent,process_cpu_ticks,vmrss_bytes,vmhwm_bytes,effective_cpu_affinity,cgroup_memory_current_bytes,cgroup_memory_peak_bytes,cgroup_memory_limit_bytes,cgroup_memory_anon_bytes,cgroup_memory_file_bytes,cgroup_memory_slab_bytes,smaps_rollup_rss_bytes,smaps_rollup_pss_anon_bytes,smaps_rollup_pss_file_bytes,process_threads,process_fd_count,jvm_heap_available,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_heap_max_bytes,process_minor_faults,process_major_faults,process_read_bytes,process_write_bytes,process_read_syscalls,process_write_syscalls,voluntary_context_switches,nonvoluntary_context_switches,host_net_rx_bytes,host_net_tx_bytes,cgroup_io_read_bytes,cgroup_io_write_bytes,cgroup_memory_reclaim_events,cgroup_memory_oom_events,cgroup_memory_oom_kill_events,psi_memory_some_avg10,psi_memory_some_avg60,psi_memory_some_avg300,psi_memory_some_total,psi_cpu_some_avg10,psi_cpu_some_avg60,psi_cpu_some_avg300,psi_cpu_some_total,psi_io_some_avg10,psi_io_some_avg60,psi_io_some_avg300,psi_io_some_total
1785744354.967155,hydra,2491,,0.0,0,7516160,7516160,4,62308352,62439424,,17117184,32600064,11409752,7516160,872448,4554752,2,11,False,,,,622,47,6455296,0,52,3,50,3,48009,30456,,,,0,0,0.0,0.0,0.0,268.0,0.08,3.69,3.34,15489472.0,0.67,0.62,0.21,1091824.0
1785744355.9689085,hydra,2491,,15.993,16,13733888,13733888,4,70680576,70684672,,24813568,32608256,11599296,13733888,7090176,4554752,2,21,False,,,,2140,47,6455296,0,52,5,50,3,4088425,4070806,,,,0,0,0.0,0.0,0.0,268.0,1.88,3.89,3.38,15823468.0,0.73,0.63,0.21,1091824.0
1785744356.9708586,hydra,2491,,13.9935,30,18636800,18636800,4,74944512,75620352,,29544448,32612352,11613680,18636800,11993088,4548608,2,21,False,,,,3337,47,6455296,0,52,6,50,3,7745551,7727916,,,,0,0,0.0,0.0,0.0,268.0,1.88,3.89,3.38,16134330.0,0.73,0.63,0.21,1091824.0
1785744357.9724789,hydra,2491,,9.9965,40,18636800,18636800,4,75169792,75759616,,29650944,32616448,11613840,18636800,11993088,4548608,2,21,False,,,,3337,47,6455296,0,52,6,50,3,10631805,10614104,,,,0,0,0.0,0.0,0.0,268.0,7.33,4.81,3.58,16473608.0,0.59,0.61,0.21,1091824.0
1785744358.9750004,hydra,2491,,10.9963,51,18636800,18636800,4,75403264,75816960,,29728768,32616448,11613840,18636800,11993088,4548608,2,21,False,,,,3337,47,6455296,0,52,6,50,3,13558351,13540584,,,,0,0,0.0,0.0,0.0,268.0,7.33,4.81,3.58,16812057.0,0.59,0.61,0.21,1091824.0
1785744359.97686,hydra,2491,,12.9944,64,20144128,20144128,4,77119488,77135872,,31211520,32616448,11615240,20144128,13500416,4548608,2,21,False,,,,3705,47,6455296,0,52,7,50,3,16951810,16934043,,,,0,0,0.0,0.0,0.0,268.0,11.8,5.7,3.77,17123043.0,0.49,0.59,0.21,1092716.0
1785744360.9785795,hydra,2491,,14.9951,79,22872064,22872064,4,79831040,80109568,,34066432,32620544,11615240,22876160,16232448,4548608,2,21,False,,,,4372,47,6455296,0,52,7,50,3,20993362,20975521,,,,0,0,0.0,0.0,0.0,268.0,11.8,5.7,3.77,17456773.0,0.49,0.59,0.21,1092716.0
1785744361.9804614,hydra,2491,,10.9954,90,23617536,23617536,4,80318464,80801792,,34607104,32620544,11623368,23617536,16973824,4548608,2,21,False,,,,4553,47,6455296,0,52,10,50,3,24112312,24094533,,,,0,0,0.0,0.0,0.0,268.0,15.46,6.56,3.97,17774613.0,0.4,0.57,0.21,1092716.0
1785744362.9824705,hydra,2491,,11.9919,102,23617536,23617536,4,80560128,80904192,,34701312,32624640,11623368,23617536,16973824,4548608,2,21,False,,,,4553,47,6455296,0,52,10,50,3,27023396,27005617,,,,0,0,0.0,0.0,0.0,268.0,15.46,6.56,3.97,18107577.0,0.4,0.57,0.21,1092716.0
1785744363.9846387,hydra,2491,,10.9951,113,24002560,24002560,4,80891904,81068032,,35024896,32620544,11623592,24002560,17358848,4543488,2,21,False,,,,4647,47,6455296,0,52,11,50,3,29969359,29951842,,,,0,0,0.0,0.0,0.0,268.0,18.64,7.43,4.17,18450054.0,0.32,0.55,0.21,1092717.0
