timestamp_unix,target,pid,container_cpu_percent,process_cpu_percent,process_cpu_ticks,vmrss_bytes,vmhwm_bytes,effective_cpu_affinity,cgroup_memory_current_bytes,cgroup_memory_peak_bytes,cgroup_memory_limit_bytes,cgroup_memory_anon_bytes,cgroup_memory_file_bytes,cgroup_memory_slab_bytes,smaps_rollup_rss_bytes,smaps_rollup_pss_anon_bytes,smaps_rollup_pss_file_bytes,process_threads,process_fd_count,jvm_heap_available,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_heap_max_bytes,process_minor_faults,process_major_faults,process_read_bytes,process_write_bytes,process_read_syscalls,process_write_syscalls,voluntary_context_switches,nonvoluntary_context_switches,host_net_rx_bytes,host_net_tx_bytes,cgroup_io_read_bytes,cgroup_io_write_bytes,cgroup_memory_reclaim_events,cgroup_memory_oom_events,cgroup_memory_oom_kill_events,psi_memory_some_avg10,psi_memory_some_avg60,psi_memory_some_avg300,psi_memory_some_total,psi_cpu_some_avg10,psi_cpu_some_avg60,psi_cpu_some_avg300,psi_cpu_some_total,psi_io_some_avg10,psi_io_some_avg60,psi_io_some_avg300,psi_io_some_total
1785744535.3183458,redis,3636,18.0787,0.0,4,10645504,10645504,4,18337792,18591744,,2674688,14741504,406560,10645504,2674688,7966720,5,,False,,,,2244,84,,,,,186,45,586930565,586914018,,,,0,0,0.0,0.0,0.0,268.0,32.29,30.7,16.54,74074858.0,0.0,0.02,0.1,1145278.0
1785744536.3199685,redis,3636,4.3662,3.9984,8,12972032,12972032,4,20410368,20668416,,4997120,14741504,407352,12972032,4997120,7970816,5,,False,,,,2845,84,,,,,1304,45,590453685,590437228,,,,0,0,0.0,0.0,0.0,268.0,28.97,30.16,16.52,74415373.0,0.18,0.05,0.11,1145278.0
1785744537.3222368,redis,3636,3.9203,4.9952,13,14635008,14635008,4,22077440,23109632,,6660096,14741504,404832,14635008,6660096,7970816,5,,False,,,,3285,84,,,,,2306,45,593574085,593557550,,,,0,0,0.0,0.0,0.0,268.0,28.97,30.16,16.52,74740328.0,0.18,0.05,0.11,1145278.0
1785744538.3237414,redis,3636,2.7745,1.9993,15,14667776,14667776,4,22110208,23109632,,6692864,14741504,404832,14667776,6692864,7970816,5,,False,,,,3293,84,,,,,3104,45,596038661,596022126,,,,0,0,0.0,0.0,0.0,268.0,29.7,30.25,16.64,75085092.0,0.14,0.05,0.11,1145278.0
1785744539.3254583,redis,3636,2.7918,2.9983,18,14667776,14667776,4,22110208,23109632,,6692864,14741504,404832,14667776,6692864,7970816,5,,False,,,,3293,84,,,,,3904,45,598512549,598496014,,,,0,0,0.0,0.0,0.0,268.0,29.7,30.25,16.64,75428826.0,0.14,0.05,0.11,1145278.0
1785744540.3283565,redis,3636,3.4335,3.9972,22,14667776,14667776,4,22106112,23109632,,6692864,14741504,404832,14667776,6692864,7970816,5,,False,,,,3293,84,,,,,4853,45,601430469,601413906,,,,0,0,0.0,0.0,0.0,268.0,30.3,30.34,16.75,75757674.0,0.12,0.05,0.1,1145357.0
1785744541.3308735,redis,3636,3.9373,2.9978,25,14667776,14667776,4,22106112,23109632,,6692864,14741504,404832,14667776,6692864,7970816,5,,False,,,,3293,84,,,,,5943,45,604880945,604864472,,,,0,0,0.0,0.0,0.0,268.0,30.3,30.34,16.75,76111959.0,0.12,0.05,0.1,1145973.0
1785744542.3345122,redis,3636,2.9891,3.9967,29,14667776,14667776,4,22110208,23146496,,6692864,14741504,403592,14667776,6692864,7970816,5,,False,,,,3293,84,,,,,6792,45,607468227,607451754,,,,0,0,0.0,0.0,0.0,268.0,30.97,30.46,16.87,76437330.0,0.09,0.05,0.1,1145973.0
1785744543.3360417,redis,3636,2.7356,2.999,32,14667776,14667776,4,22110208,23146496,,6692864,14741504,403592,14667776,6692864,7970816,5,,False,,,,3293,84,,,,,7587,45,609926595,609910122,,,,0,0,0.0,0.0,0.0,268.0,30.97,30.46,16.87,76784488.0,0.09,0.05,0.1,1145973.0
1785744544.3378947,redis,3636,2.9033,2.9982,35,14667776,14667776,4,22110208,23146496,,6692864,14741504,402752,14667776,6692864,7970816,5,,False,,,,3293,84,,,,,8401,45,612422963,612406402,,,,0,0,0.0,0.0,0.0,268.0,31.34,30.54,16.98,77108651.0,0.08,0.05,0.1,1145973.0
