timestamp_unix,target,pid,container_cpu_percent,process_cpu_percent,process_cpu_ticks,vmrss_bytes,vmhwm_bytes,effective_cpu_affinity,cgroup_memory_current_bytes,cgroup_memory_peak_bytes,cgroup_memory_limit_bytes,cgroup_memory_anon_bytes,cgroup_memory_file_bytes,cgroup_memory_slab_bytes,smaps_rollup_rss_bytes,smaps_rollup_pss_anon_bytes,smaps_rollup_pss_file_bytes,process_threads,process_fd_count,jvm_heap_available,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_heap_max_bytes,process_minor_faults,process_major_faults,process_read_bytes,process_write_bytes,process_read_syscalls,process_write_syscalls,voluntary_context_switches,nonvoluntary_context_switches,host_net_rx_bytes,host_net_tx_bytes,cgroup_io_read_bytes,cgroup_io_write_bytes,cgroup_memory_reclaim_events,cgroup_memory_oom_events,cgroup_memory_oom_kill_events,psi_memory_some_avg10,psi_memory_some_avg60,psi_memory_some_avg300,psi_memory_some_total,psi_cpu_some_avg10,psi_cpu_some_avg60,psi_cpu_some_avg300,psi_cpu_some_total,psi_io_some_avg10,psi_io_some_avg60,psi_io_some_avg300,psi_io_some_total
1785744955.6665552,hydra,7214,,0.0,0,7733248,7733248,4,65912832,270565376,,17645568,35950592,11589832,7733248,876544,4674560,2,11,False,,,,669,0,0,0,52,2,1,1,2428849340,2428846616,,,,0,0,0.0,0.0,0.0,268.0,0.51,2.22,12.85,147952414.0,0.0,0.0,0.03,1507042.0
1785744956.6685514,hydra,7214,,1.9987,2,8781824,8781824,4,60239872,270565376,,11538432,35966976,11604256,8781824,1859584,4759552,2,11,False,,,,910,0,0,0,52,4,1,1,2429282245,2429279521,,,,0,0,0.0,0.0,0.0,268.0,0.6,2.18,12.77,147996623.0,0.0,0.0,0.02,1507042.0
1785744957.6703007,hydra,7214,,0.0,2,8781824,8781824,4,59822080,270565376,,11546624,35966976,11603688,8781824,1859584,4759552,2,11,False,,,,910,0,0,0,52,4,1,1,2429282363,2429279611,,,,0,0,0.0,0.0,0.0,268.0,0.6,2.18,12.77,147996881.0,0.0,0.0,0.02,1508884.0
1785744958.6716835,hydra,7214,,0.0,2,8781824,8781824,4,59822080,270565376,,11558912,35971072,11603688,8781824,1859584,4759552,2,11,False,,,,910,0,0,0,52,4,1,1,2429282423,2429279701,,,,0,0,0.0,0.0,0.0,268.0,0.49,2.11,12.68,147996969.0,0.0,0.0,0.02,1508884.0
1785744959.6730287,hydra,7214,,0.0,2,8781824,8781824,4,59822080,270565376,,11571200,35971072,11603688,8781824,1859584,4759552,2,11,False,,,,910,0,0,0,52,4,1,1,2429282423,2429279701,,,,0,0,0.0,0.0,0.0,268.0,0.49,2.11,12.68,147997127.0,0.0,0.0,0.02,1508884.0
1785744960.6743324,hydra,7214,,0.0,2,8781824,8781824,4,59822080,270565376,,11575296,35971072,11603688,8781824,1859584,4759552,2,11,False,,,,910,0,0,0,52,4,1,1,2429282423,2429279701,,,,0,0,0.0,0.0,0.0,268.0,0.4,2.04,12.6,147997257.0,0.0,0.0,0.02,1508884.0
1785744961.676377,hydra,7214,,3.9976,6,9084928,9084928,4,60284928,270565376,,11882496,35983360,11611072,9084928,2162688,4759552,2,11,False,,,,984,0,0,0,52,8,1,1,2429716031,2429713371,,,,0,0,0.0,0.0,0.0,268.0,0.4,2.04,12.6,148045022.0,0.0,0.0,0.02,1508884.0
1785744962.6777725,hydra,7214,,0.0,6,9084928,9084928,4,60284928,270565376,,11890688,35983360,11609584,9084928,2162688,4759552,2,11,False,,,,984,0,0,0,52,8,1,1,2429716031,2429713371,,,,0,0,0.0,0.0,0.0,268.0,0.69,2.04,12.52,148045193.0,0.0,0.0,0.02,1508884.0
1785744963.6790607,hydra,7214,,0.0,6,9084928,9084928,4,60284928,270565376,,11894784,35987456,11609584,9084928,2162688,4759552,2,11,False,,,,984,0,0,0,52,8,1,1,2429716031,2429713371,,,,0,0,0.0,0.0,0.0,268.0,0.69,2.04,12.52,148045293.0,0.0,0.0,0.02,1508884.0
1785744964.680375,hydra,7214,,0.0,6,9084928,9084928,4,60284928,270565376,,11898880,35987456,11609584,9084928,2162688,4759552,2,11,False,,,,984,0,0,0,52,8,1,1,2429716209,2429713551,,,,0,0,0.0,0.0,0.0,268.0,0.56,1.97,12.44,148045397.0,0.0,0.0,0.02,1508884.0
1785744965.6817102,hydra,7214,,0.0,6,9084928,9084928,4,60284928,270565376,,11898880,35987456,11609584,9084928,2162688,4759552,2,11,False,,,,984,0,0,0,52,8,1,1,2429716209,2429713551,,,,0,0,0.0,0.0,0.0,268.0,0.56,1.97,12.44,148045537.0,0.0,0.0,0.02,1508884.0
1785744966.6833482,hydra,7214,,2.9986,9,9322496,9322496,4,60575744,270565376,,12148736,35999744,11607808,9322496,2400256,4759552,2,11,False,,,,1042,0,0,0,52,11,1,1,2430149699,2430147041,,,,0,0,0.0,0.0,0.0,268.0,0.46,1.91,12.35,148085583.0,0.0,0.0,0.02,1508884.0
1785744967.6852024,hydra,7214,,0.0,9,9322496,9322496,4,60575744,270565376,,12148736,36003840,11607808,9322496,2400256,4759552,2,11,False,,,,1042,0,0,0,52,11,1,1,2430149699,2430147041,,,,0,0,0.0,0.0,0.0,268.0,0.46,1.91,12.35,148085681.0,0.0,0.0,0.02,1508884.0
1785744968.686507,hydra,7214,,0.0,9,9322496,9322496,4,60575744,270565376,,12152832,36003840,11607808,9322496,2400256,4759552,2,11,False,,,,1042,0,0,0,52,11,1,1,2430149699,2430147041,,,,0,0,0.0,0.0,0.0,268.0,0.74,1.91,12.28,148085765.0,0.0,0.0,0.02,1508884.0
1785744969.6879432,hydra,7214,,0.0,9,9322496,9322496,4,60575744,270565376,,12156928,36007936,11606768,9322496,2400256,4759552,2,11,False,,,,1042,0,0,0,52,11,1,1,2430149817,2430147131,,,,0,0,0.0,0.0,0.0,268.0,0.74,1.91,12.28,148086151.0,0.0,0.0,0.02,1508884.0
1785744970.6896234,hydra,7214,,0.0,9,9322496,9322496,4,60575744,270565376,,12161024,36007936,11606768,9322496,2400256,4759552,2,11,False,,,,1042,0,0,0,52,11,1,1,2430149817,2430147221,,,,0,0,0.0,0.0,0.0,268.0,0.6,1.85,12.2,148086228.0,0.0,0.0,0.02,1508884.0
