timestamp_unix,target,pid,container_cpu_percent,process_cpu_percent,process_cpu_ticks,vmrss_bytes,vmhwm_bytes,effective_cpu_affinity,cgroup_memory_current_bytes,cgroup_memory_peak_bytes,cgroup_memory_limit_bytes,cgroup_memory_anon_bytes,cgroup_memory_file_bytes,cgroup_memory_slab_bytes,smaps_rollup_rss_bytes,smaps_rollup_pss_anon_bytes,smaps_rollup_pss_file_bytes,process_threads,process_fd_count,jvm_heap_available,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_heap_max_bytes,process_minor_faults,process_major_faults,process_read_bytes,process_write_bytes,process_read_syscalls,process_write_syscalls,voluntary_context_switches,nonvoluntary_context_switches,host_net_rx_bytes,host_net_tx_bytes,cgroup_io_read_bytes,cgroup_io_write_bytes,cgroup_memory_reclaim_events,cgroup_memory_oom_events,cgroup_memory_oom_kill_events,psi_memory_some_avg10,psi_memory_some_avg60,psi_memory_some_avg300,psi_memory_some_total,psi_cpu_some_avg10,psi_cpu_some_avg60,psi_cpu_some_avg300,psi_cpu_some_total,psi_io_some_avg10,psi_io_some_avg60,psi_io_some_avg300,psi_io_some_total
1785745022.2722297,redis,8052,37.7702,0.0,3,10444800,10444800,4,3158016,4104192,,2650112,0,239488,10473472,2678784,7790592,5,,False,,,,2225,0,,,,,164,27,2434110038,2434108314,,,,0,0,0.0,0.0,0.0,268.0,0.43,1.18,10.32,148666457.0,0.04,0.05,0.03,1650689.0
1785745023.2742565,redis,8052,2.422,2.9979,6,10866688,10866688,4,3514368,4104192,,3072000,0,218064,10866688,3072000,7790592,5,,False,,,,2322,0,,,,,952,27,2434483839,2434482117,,,,0,0,0.0,0.0,0.0,268.0,0.43,1.18,10.32,148702582.0,0.04,0.05,0.03,1650689.0
1785745024.2756436,redis,8052,0.0512,0.0,6,10866688,10866688,4,3514368,4104192,,3072000,0,217864,10866688,3072000,7790592,5,,False,,,,2322,0,,,,,962,27,2434483905,2434482117,,,,0,0,0.0,0.0,0.0,268.0,1.07,1.28,10.28,148702635.0,0.21,0.08,0.04,1650689.0
1785745025.2770963,redis,8052,0.0445,0.0,6,10866688,10866688,4,3514368,4104192,,3072000,0,217864,10866688,3072000,7790592,5,,False,,,,2322,0,,,,,972,27,2434483965,2434482117,,,,0,0,0.0,0.0,0.0,268.0,1.07,1.28,10.28,148702762.0,0.21,0.08,0.04,1650689.0
1785745026.278487,redis,8052,0.041,0.0,6,10866688,10866688,4,3514368,4104192,,3072000,0,217864,10866688,3072000,7790592,5,,False,,,,2322,0,,,,,982,27,2434484083,2434482297,,,,0,0,0.0,0.0,0.0,268.0,0.88,1.23,10.21,148702791.0,0.17,0.08,0.04,1650689.0
1785745027.279882,redis,8052,0.0434,0.0,6,10866688,10866688,4,3514368,4104192,,3072000,0,217864,10866688,3072000,7790592,5,,False,,,,2322,0,,,,,992,27,2434484143,2434482297,,,,0,0,0.0,0.0,0.0,268.0,0.88,1.23,10.21,148702838.0,0.17,0.08,0.04,1650689.0
1785745028.2816384,redis,8052,2.836,2.9986,9,10878976,10878976,4,3526656,4104192,,3084288,0,218064,10878976,3084288,7790592,5,,False,,,,2325,0,,,,,1914,27,2434917581,2434915735,,,,0,0,0.0,0.0,0.0,268.0,1.08,1.26,10.15,148750076.0,0.14,0.08,0.04,1651022.0
1785745029.2830489,redis,8052,0.0418,0.0,9,10878976,10878976,4,3526656,4104192,,3084288,0,218064,10878976,3084288,7790592,5,,False,,,,2325,0,,,,,1924,27,2434917581,2434915735,,,,0,0,0.0,0.0,0.0,268.0,1.08,1.26,10.15,148750771.0,0.14,0.08,0.04,1651022.0
1785745030.2844512,redis,8052,0.0466,0.0,9,10878976,10878976,4,3526656,4104192,,3084288,0,218064,10878976,3084288,7790592,5,,False,,,,2325,0,,,,,1934,27,2434917699,2434915915,,,,0,0,0.0,0.0,0.0,268.0,0.88,1.22,10.08,148750936.0,0.11,0.07,0.04,1651022.0
1785745031.2858708,redis,8052,0.0397,0.0,9,10878976,10878976,4,3526656,4104192,,3084288,0,218064,10878976,3084288,7790592,5,,False,,,,2325,0,,,,,1944,27,2434917699,2434915915,,,,0,0,0.0,0.0,0.0,268.0,0.88,1.22,10.08,148751076.0,0.11,0.07,0.04,1651022.0
