timestamp_unix,target,pid,container_cpu_percent,process_cpu_percent,process_cpu_ticks,vmrss_bytes,vmhwm_bytes,effective_cpu_affinity,cgroup_memory_current_bytes,cgroup_memory_peak_bytes,cgroup_memory_limit_bytes,cgroup_memory_anon_bytes,cgroup_memory_file_bytes,cgroup_memory_slab_bytes,smaps_rollup_rss_bytes,smaps_rollup_pss_anon_bytes,smaps_rollup_pss_file_bytes,process_threads,process_fd_count,jvm_heap_available,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_heap_max_bytes,process_minor_faults,process_major_faults,process_read_bytes,process_write_bytes,process_read_syscalls,process_write_syscalls,voluntary_context_switches,nonvoluntary_context_switches,host_net_rx_bytes,host_net_tx_bytes,cgroup_io_read_bytes,cgroup_io_write_bytes,cgroup_memory_reclaim_events,cgroup_memory_oom_events,cgroup_memory_oom_kill_events,psi_memory_some_avg10,psi_memory_some_avg60,psi_memory_some_avg300,psi_memory_some_total,psi_cpu_some_avg10,psi_cpu_some_avg60,psi_cpu_some_avg300,psi_cpu_some_total,psi_io_some_avg10,psi_io_some_avg60,psi_io_some_avg300,psi_io_some_total
1785745777.3799958,hazelcast,10732,267.6879,0.0,703,246493184,256303104,4,228143104,238985216,,224534528,32768,1247976,246665216,224706560,21954560,79,,False,,,,203630,0,,,,,37,22,3361350713,3361390609,,,,0,0,0.0,0.0,0.0,1300.0,2.17,1.97,3.37,173530972.0,0.12,0.05,0.0,2301969.0
1785745778.3954182,hazelcast,10732,159.9857,159.9051,863,264851456,268853248,4,246874112,251813888,,242892800,32768,1291424,264867840,242909184,21954560,83,,False,,,,232368,0,,,,,37,22,3367960204,3368000174,,,,0,0,0.0,0.0,0.0,1300.0,3.41,2.2,3.41,173747992.0,0.09,0.04,0.0,2301969.0
1785745779.407504,hazelcast,10732,179.9746,179.9025,1043,278945792,286588928,4,261148672,269533184,,256991232,32768,1311112,278953984,256995328,21954560,84,,False,,,,284576,0,,,,,37,22,3378575835,3378615941,,,,0,0,0.0,0.0,0.0,1300.0,3.41,2.2,3.41,173942824.0,0.09,0.04,0.0,2301969.0
1785745780.425166,hazelcast,10732,103.2607,102.9416,1146,300408832,303312896,4,282423296,286404608,,278454272,32768,1362656,300523520,278564864,21954560,87,,False,,,,312683,0,,,,,37,22,3386980214,3387020244,,,,0,0,0.0,0.0,0.0,1300.0,5.69,2.65,3.49,174111974.0,0.08,0.04,0.0,2301969.0
1785745781.438626,hazelcast,10732,213.5055,213.8812,1360,313384960,316506112,4,295739392,299229184,,291430400,32768,1346288,313495552,291536896,21954560,87,,False,,,,378421,0,,,,,37,22,3395085741,3395125845,,,,0,0,0.0,0.0,0.0,1300.0,5.69,2.65,3.49,174319771.0,0.08,0.04,0.0,2301969.0
1785745782.4551408,hazelcast,10732,80.3072,80.9323,1441,358449152,358449152,4,339800064,340267008,,335540224,32768,1348000,358715392,335843328,22867968,87,,False,,,,402223,0,,,,,37,22,3406333196,3406373443,,,,0,0,0.0,0.0,0.0,1300.0,7.56,3.08,3.58,174421361.0,0.06,0.04,0.0,2302272.0
1785745783.469939,hazelcast,10732,86.1244,84.9553,1526,363896832,370651136,4,344809472,352190464,,340582400,32768,1334048,363896832,340582400,23310336,86,,False,,,,424234,0,,,,,37,22,3410399982,3410437586,,,,0,0,0.0,0.0,0.0,1300.0,7.56,3.08,3.58,174540042.0,0.06,0.04,0.0,2302272.0
1785745784.484316,hazelcast,10732,0.8983,0.9996,1527,363978752,370651136,4,344838144,352190464,,340664320,32768,1334728,363978752,340664320,23310336,86,,False,,,,424250,0,,,,,37,22,3410400100,3410437766,,,,0,0,0.0,0.0,0.0,1300.0,7.64,3.25,3.61,174540330.0,0.05,0.04,0.0,2302272.0
1785745785.4994256,hazelcast,10732,4.378,4.9965,1532,364154880,370651136,4,345067520,352190464,,340840448,32768,1334208,364154880,340840448,23310336,86,,False,,,,424738,0,,,,,37,22,3410400100,3410437766,,,,0,0,0.0,0.0,0.0,1300.0,7.64,3.25,3.61,174541454.0,0.05,0.04,0.0,2302272.0
1785745786.5126414,hazelcast,10732,0.2017,0.0,1532,364154880,370651136,4,345067520,352190464,,340840448,32768,1334208,364154880,340840448,23310336,86,,False,,,,424738,0,,,,,37,22,3410400100,3410437766,,,,0,0,0.0,0.0,0.0,1300.0,6.25,3.14,3.58,174542812.0,0.04,0.04,0.0,2302272.0
