timestamp_unix,target,pid,container_cpu_percent,process_cpu_percent,process_cpu_ticks,vmrss_bytes,vmhwm_bytes,effective_cpu_affinity,cgroup_memory_current_bytes,cgroup_memory_peak_bytes,cgroup_memory_limit_bytes,cgroup_memory_anon_bytes,cgroup_memory_file_bytes,cgroup_memory_slab_bytes,smaps_rollup_rss_bytes,smaps_rollup_pss_anon_bytes,smaps_rollup_pss_file_bytes,process_threads,process_fd_count,jvm_heap_available,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_heap_max_bytes,process_minor_faults,process_major_faults,process_read_bytes,process_write_bytes,process_read_syscalls,process_write_syscalls,voluntary_context_switches,nonvoluntary_context_switches,host_net_rx_bytes,host_net_tx_bytes,cgroup_io_read_bytes,cgroup_io_write_bytes,cgroup_memory_reclaim_events,cgroup_memory_oom_events,cgroup_memory_oom_kill_events,psi_memory_some_avg10,psi_memory_some_avg60,psi_memory_some_avg300,psi_memory_some_total,psi_cpu_some_avg10,psi_cpu_some_avg60,psi_cpu_some_avg300,psi_cpu_some_total,psi_io_some_avg10,psi_io_some_avg60,psi_io_some_avg300,psi_io_some_total
1785745347.4289162,redis,8647,62.5968,0.0,3,10608640,10608640,4,3108864,4419584,,2617344,0,230312,10608640,2617344,7987200,5,,False,,,,2267,0,,,,,131,26,2887213324,2887212712,,,,0,0,0.0,0.0,0.0,268.0,0.16,2.36,5.45,159482472.0,0.0,0.0,0.0,1776528.0
1785745348.4304338,redis,8647,21.3753,21.9925,25,10616832,10616832,4,3362816,4419584,,2625536,0,232792,10616832,2625536,7987200,5,,False,,,,2269,0,,,,,7916,26,2888985569,2888985019,,,,0,0,0.0,0.0,0.0,268.0,1.94,2.61,5.48,159802005.0,0.18,0.03,0.0,1776528.0
1785745349.4318807,redis,8647,21.1088,21.9928,47,10620928,10620928,4,3366912,4419584,,2629632,0,232792,10620928,2629632,7987200,5,,False,,,,2270,0,,,,,15767,26,2890752167,2890751557,,,,0,0,0.0,0.0,0.0,268.0,1.94,2.61,5.48,160117687.0,0.18,0.03,0.0,1776528.0
1785745350.4341886,redis,8647,18.14,16.9823,64,10633216,10633216,4,3133440,4419584,,2641920,0,231552,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,22563,26,2892247850,2892247240,,,,0,0,0.0,0.0,0.0,268.0,7.02,3.5,5.65,160411965.0,0.14,0.03,0.0,1776528.0
1785745351.4359055,redis,8647,18.3476,18.9894,83,10633216,10633216,4,3383296,4419584,,2641920,0,229032,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,29481,26,2893750932,2893750322,,,,0,0,0.0,0.0,0.0,268.0,7.02,3.5,5.65,160730661.0,0.14,0.03,0.0,1776528.0
1785745352.4382823,redis,8647,18.3017,17.9829,101,10633216,10633216,4,3379200,4419584,,2641920,0,229032,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,36335,26,2895249368,2895248758,,,,0,0,0.0,0.0,0.0,268.0,11.37,4.4,5.83,161050738.0,0.12,0.02,0.0,1776528.0
1785745353.4397478,redis,8647,1.6459,0.9997,102,10633216,10633216,4,3338240,4419584,,2641920,0,217632,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,36922,26,2895375074,2895374526,,,,0,0,0.0,0.0,0.0,268.0,11.37,4.4,5.83,161077929.0,0.12,0.02,0.0,1777509.0
1785745354.4411778,redis,8647,0.0427,0.0,102,10633216,10633216,4,3338240,4419584,,2641920,0,217632,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,36932,26,2895375074,2895374526,,,,0,0,0.0,0.0,0.0,268.0,10.57,4.49,5.83,161078051.0,0.09,0.02,0.0,1777509.0
1785745355.4424782,redis,8647,0.0385,0.0,102,10633216,10633216,4,3338240,4419584,,2641920,0,217632,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,36942,26,2895375074,2895374526,,,,0,0,0.0,0.0,0.0,268.0,10.57,4.49,5.83,161078144.0,0.09,0.02,0.0,1777509.0
1785745356.4440167,redis,8647,0.0411,0.0,102,10633216,10633216,4,3338240,4419584,,2641920,0,217632,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,36952,26,2895375192,2895374706,,,,0,0,0.0,0.0,0.0,268.0,8.66,4.34,5.79,161078240.0,0.08,0.02,0.0,1777509.0
1785745357.4453797,redis,8647,0.0458,0.0,102,10633216,10633216,4,3338240,4419584,,2641920,0,217632,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,36962,26,2895375192,2895374706,,,,0,0,0.0,0.0,0.0,268.0,8.66,4.34,5.79,161078315.0,0.08,0.02,0.0,1777509.0
1785745358.4469683,redis,8647,0.0507,0.0,102,10633216,10633216,4,3338240,4419584,,2641920,0,217632,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,36972,26,2895375192,2895374706,,,,0,0,0.0,0.0,0.0,268.0,7.09,4.2,5.75,161078375.0,0.06,0.02,0.0,1777509.0
1785745359.4483361,redis,8647,0.0409,0.9997,103,10633216,10633216,4,3334144,4419584,,2641920,0,217432,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,36982,26,2895375258,2895374706,,,,0,0,0.0,0.0,0.0,268.0,7.09,4.2,5.75,161078547.0,0.06,0.02,0.0,1777509.0
1785745360.4499354,redis,8647,0.0459,0.0,103,10633216,10633216,4,3334144,4419584,,2641920,0,217432,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,36992,26,2895375258,2895374706,,,,0,0,0.0,0.0,0.0,268.0,5.8,4.06,5.71,161078578.0,0.05,0.02,0.0,1777509.0
1785745361.4516935,redis,8647,0.0389,0.0,103,10633216,10633216,4,3334144,4419584,,2641920,0,217432,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,37002,26,2895375376,2895374886,,,,0,0,0.0,0.0,0.0,268.0,5.8,4.06,5.71,161078678.0,0.05,0.02,0.0,1777509.0
1785745362.4532728,redis,8647,0.0394,0.0,103,10633216,10633216,4,3334144,4419584,,2641920,0,217432,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,37012,26,2895375376,2895374886,,,,0,0,0.0,0.0,0.0,268.0,4.75,3.93,5.67,161078792.0,0.04,0.02,0.0,1783786.0
1785745363.454591,redis,8647,0.0408,0.0,103,10633216,10633216,4,3334144,4419584,,2641920,0,217432,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,37022,26,2895375376,2895374886,,,,0,0,0.0,0.0,0.0,268.0,4.75,3.93,5.67,161078845.0,0.04,0.02,0.0,1783786.0
1785745364.4561517,redis,8647,0.0448,0.0,103,10633216,10633216,4,3334144,4419584,,2641920,0,217432,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,37032,26,2895375494,2895375066,,,,0,0,0.0,0.0,0.0,268.0,3.89,3.8,5.64,161078888.0,0.03,0.02,0.0,1783786.0
1785745365.4575071,redis,8647,0.0453,0.0,103,10633216,10633216,4,3334144,4419584,,2641920,0,217432,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,37042,26,2895375494,2895375066,,,,0,0,0.0,0.0,0.0,268.0,3.89,3.8,5.64,161078970.0,0.03,0.02,0.0,1783786.0
1785745366.4591238,redis,8647,0.0396,0.0,103,10633216,10633216,4,3334144,4419584,,2641920,0,217432,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,37052,26,2895375494,2895375066,,,,0,0,0.0,0.0,0.0,268.0,3.18,3.67,5.6,161079049.0,0.02,0.02,0.0,1783786.0
1785745367.460459,redis,8647,0.0395,0.0,103,10633216,10633216,4,3334144,4419584,,2641920,0,217432,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,37062,26,2895375494,2895375066,,,,0,0,0.0,0.0,0.0,268.0,3.18,3.67,5.6,161079951.0,0.02,0.02,0.0,1783786.0
1785745368.4618647,redis,8647,0.0433,0.0,103,10633216,10633216,4,3334144,4419584,,2641920,0,217432,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,37072,26,2895375494,2895375066,,,,0,0,0.0,0.0,0.0,268.0,2.6,3.55,5.56,161080218.0,0.02,0.02,0.0,1783786.0
1785745369.4632359,redis,8647,0.0374,0.9997,104,10633216,10633216,4,3334144,4419584,,2641920,0,217432,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,37082,26,2895375612,2895375246,,,,0,0,0.0,0.0,0.0,268.0,2.6,3.55,5.56,161081059.0,0.02,0.02,0.0,1783786.0
1785745370.464589,redis,8647,0.0416,0.0,104,10633216,10633216,4,3334144,4419584,,2641920,0,217432,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,37092,26,2895375612,2895375246,,,,0,0,0.0,0.0,0.0,268.0,2.13,3.44,5.52,161081085.0,0.01,0.02,0.0,1783786.0
1785745371.465921,redis,8647,0.0378,0.0,104,10633216,10633216,4,3334144,4419584,,2641920,0,217432,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,37102,26,2895375612,2895375246,,,,0,0,0.0,0.0,0.0,268.0,2.13,3.44,5.52,161081196.0,0.01,0.02,0.0,1783786.0
1785745372.4672732,redis,8647,0.0383,0.0,104,10633216,10633216,4,3334144,4419584,,2641920,0,217432,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,37112,26,2895375612,2895375246,,,,0,0,0.0,0.0,0.0,268.0,1.74,3.32,5.48,161081230.0,0.01,0.02,0.0,1783786.0
1785745373.4686637,redis,8647,0.0401,0.0,104,10633216,10633216,4,3334144,4419584,,2641920,0,217432,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,37122,26,2895375612,2895375246,,,,0,0,0.0,0.0,0.0,268.0,1.74,3.32,5.48,161081305.0,0.01,0.02,0.0,1783786.0
1785745374.470027,redis,8647,0.0417,0.0,104,10633216,10633216,4,3334144,4419584,,2641920,0,217432,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,37132,26,2895375730,2895375426,,,,0,0,0.0,0.0,0.0,268.0,1.43,3.21,5.44,161081731.0,0.01,0.01,0.0,1783786.0
1785745375.4714434,redis,8647,0.0449,0.0,104,10633216,10633216,4,3334144,4419584,,2641920,0,217432,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,37142,26,2895375730,2895375426,,,,0,0,0.0,0.0,0.0,268.0,1.43,3.21,5.44,161081993.0,0.01,0.01,0.0,1783786.0
1785745376.4727948,redis,8647,0.046,0.0,104,10633216,10633216,4,3334144,4419584,,2641920,0,217432,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,37152,26,2895375790,2895375426,,,,0,0,0.0,0.0,0.0,268.0,1.17,3.11,5.41,161082126.0,0.0,0.01,0.0,1786784.0
1785745377.4742067,redis,8647,0.0433,0.0,104,10633216,10633216,4,3334144,4419584,,2641920,0,217432,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,37162,26,2895375968,2895375606,,,,0,0,0.0,0.0,0.0,268.0,1.17,3.11,5.41,161082620.0,0.0,0.01,0.0,1786784.0
1785745378.4755883,redis,8647,0.0393,0.0,104,10633216,10633216,4,3334144,4419584,,2641920,0,217432,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,37172,26,2895376028,2895375606,,,,0,0,0.0,0.0,0.0,268.0,0.95,3.01,5.37,161083807.0,0.0,0.01,0.0,1786784.0
1785745379.4772947,redis,8647,0.0421,0.0,104,10633216,10633216,4,3334144,4419584,,2641920,0,217432,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,37182,26,2895376126,2895375704,,,,0,0,0.0,0.0,0.0,268.0,0.95,3.01,5.37,161083880.0,0.0,0.01,0.0,1786784.0
1785745380.478637,redis,8647,0.0489,0.0,104,10633216,10633216,4,3334144,4419584,,2641920,0,217432,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,37192,26,2895376290,2895375802,,,,0,0,0.0,0.0,0.0,268.0,0.78,2.91,5.33,161083913.0,0.0,0.01,0.0,1786784.0
1785745381.4799645,redis,8647,0.0471,0.0,104,10633216,10633216,4,3334144,4419584,,2641920,0,217432,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,37202,26,2895376506,2895376080,,,,0,0,0.0,0.0,0.0,268.0,0.78,2.91,5.33,161084005.0,0.0,0.01,0.0,1789075.0
1785745382.4813805,redis,8647,0.04,0.0,104,10633216,10633216,4,3334144,4419584,,2641920,0,217432,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,37212,26,2895376674,2895376178,,,,0,0,0.0,0.0,0.0,268.0,0.64,2.81,5.3,161084035.0,0.0,0.01,0.0,1789075.0
1785745383.4831529,redis,8647,0.0453,0.0,104,10633216,10633216,4,3334144,4419584,,2641920,0,217432,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,37222,26,2895376852,2895376268,,,,0,0,0.0,0.0,0.0,268.0,0.64,2.81,5.3,161085178.0,0.0,0.01,0.0,1789075.0
1785745384.4845738,redis,8647,0.0432,0.0,104,10633216,10633216,4,3334144,4419584,,2641920,0,217432,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,37232,26,2895376912,2895376400,,,,0,0,0.0,0.0,0.0,268.0,0.52,2.72,5.26,161085209.0,0.0,0.01,0.0,1789075.0
1785745385.4858847,redis,8647,0.0456,0.0,104,10633216,10633216,4,3334144,4419584,,2641920,0,217432,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,37242,26,2895376912,2895376400,,,,0,0,0.0,0.0,0.0,268.0,0.52,2.72,5.26,161085275.0,0.0,0.01,0.0,1789075.0
1785745386.487455,redis,8647,0.0413,0.0,104,10633216,10633216,4,3334144,4419584,,2641920,0,217432,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,37252,26,2895376912,2895376400,,,,0,0,0.0,0.0,0.0,268.0,0.43,2.63,5.22,161085314.0,0.0,0.01,0.0,1789075.0
1785745387.488798,redis,8647,0.0395,0.0,104,10633216,10633216,4,3334144,4419584,,2641920,0,217432,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,37262,26,2895377030,2895376490,,,,0,0,0.0,0.0,0.0,268.0,0.43,2.63,5.22,161085401.0,0.0,0.01,0.0,1789075.0
1785745388.4902017,redis,8647,0.0408,0.0,104,10633216,10633216,4,3334144,4419584,,2641920,0,217432,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,37272,26,2895377030,2895376580,,,,0,0,0.0,0.0,0.0,268.0,0.35,2.54,5.19,161085477.0,0.0,0.01,0.0,1790495.0
1785745389.4915774,redis,8647,0.0419,0.0,104,10633216,10633216,4,3334144,4419584,,2641920,0,217432,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,37282,26,2895377030,2895376580,,,,0,0,0.0,0.0,0.0,268.0,0.35,2.54,5.19,161085555.0,0.0,0.01,0.0,1790495.0
1785745390.4929328,redis,8647,0.0421,0.0,104,10633216,10633216,4,3334144,4419584,,2641920,0,217432,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,37292,26,2895377148,2895376670,,,,0,0,0.0,0.0,0.0,268.0,0.28,2.46,5.15,161085897.0,0.0,0.01,0.0,1790495.0
1785745391.494266,redis,8647,0.0426,0.0,104,10633216,10633216,4,3334144,4419584,,2641920,0,217432,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,37302,26,2895377148,2895376760,,,,0,0,0.0,0.0,0.0,268.0,0.28,2.46,5.15,161086128.0,0.0,0.01,0.0,1790495.0
1785745392.495662,redis,8647,0.0362,0.0,104,10633216,10633216,4,3334144,4419584,,2641920,0,217432,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,37312,26,2895377208,2895376760,,,,0,0,0.0,0.0,0.0,268.0,0.23,2.38,5.12,161086149.0,0.0,0.01,0.0,1790495.0
1785745393.497038,redis,8647,0.0362,0.0,104,10633216,10633216,4,3334144,4419584,,2641920,0,217432,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,37322,26,2895377326,2895376850,,,,0,0,0.0,0.0,0.0,268.0,0.23,2.38,5.12,161086216.0,0.0,0.01,0.0,1790495.0
1785745394.498654,redis,8647,0.0403,0.0,104,10633216,10633216,4,3334144,4419584,,2641920,0,217432,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,37332,26,2895377326,2895376940,,,,0,0,0.0,0.0,0.0,268.0,0.19,2.3,5.08,161086778.0,0.0,0.01,0.0,1793478.0
1785745395.5000176,redis,8647,0.0391,0.0,104,10633216,10633216,4,3334144,4419584,,2641920,0,217432,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,37342,26,2895377326,2895376940,,,,0,0,0.0,0.0,0.0,268.0,0.19,2.3,5.08,161086860.0,0.0,0.01,0.0,1793478.0
1785745396.501347,redis,8647,0.0379,0.0,104,10633216,10633216,4,3334144,4419584,,2641920,0,217432,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,37352,26,2895377326,2895376940,,,,0,0,0.0,0.0,0.0,268.0,0.15,2.23,5.05,161086902.0,0.0,0.01,0.0,1793478.0
1785745397.5026848,redis,8647,0.0459,0.0,104,10633216,10633216,4,3334144,4419584,,2641920,0,217432,10633216,2641920,7987200,5,,False,,,,2276,0,,,,,37362,26,2895377326,2895376940,,,,0,0,0.0,0.0,0.0,268.0,0.15,2.23,5.05,161086973.0,0.0,0.01,0.0,1793478.0
