timestamp_unix,target,pid,container_cpu_percent,process_cpu_percent,process_cpu_ticks,vmrss_bytes,vmhwm_bytes,effective_cpu_affinity,cgroup_memory_current_bytes,cgroup_memory_peak_bytes,cgroup_memory_limit_bytes,cgroup_memory_anon_bytes,cgroup_memory_file_bytes,cgroup_memory_slab_bytes,smaps_rollup_rss_bytes,smaps_rollup_pss_anon_bytes,smaps_rollup_pss_file_bytes,process_threads,process_fd_count,jvm_heap_available,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_heap_max_bytes,process_minor_faults,process_major_faults,process_read_bytes,process_write_bytes,process_read_syscalls,process_write_syscalls,voluntary_context_switches,nonvoluntary_context_switches,host_net_rx_bytes,host_net_tx_bytes,cgroup_io_read_bytes,cgroup_io_write_bytes,cgroup_memory_reclaim_events,cgroup_memory_oom_events,cgroup_memory_oom_kill_events,psi_memory_some_avg10,psi_memory_some_avg60,psi_memory_some_avg300,psi_memory_some_total,psi_cpu_some_avg10,psi_cpu_some_avg60,psi_cpu_some_avg300,psi_cpu_some_total,psi_io_some_avg10,psi_io_some_avg60,psi_io_some_avg300,psi_io_some_total
1785746503.9088163,hazelcast,14068,276.9455,0.0,714,266330112,266330112,4,248156160,248393728,,244416512,32768,1234480,266330112,244416512,21909504,79,,False,,,,205210,0,,,,,36,9,3954214018,3954301036,,,,0,0,0.0,0.0,0.0,1300.0,2.2,2.51,2.65,192387830.0,0.14,0.05,0.0,2892659.0
1785746504.9255488,hazelcast,14068,98.6939,98.9435,813,264032256,269295616,4,246235136,252502016,,242118656,32768,1283848,264060928,242147328,21909504,82,,False,,,,218659,0,,,,,36,9,3955586878,3955673970,,,,0,0,0.0,0.0,0.0,1300.0,2.16,2.5,2.64,192448286.0,0.12,0.04,0.0,2894793.0
1785746505.935456,hazelcast,14068,78.9996,78.9578,892,269033472,271163392,4,250884096,253923328,,247119872,32768,1289600,269471744,247558144,21909504,83,,False,,,,233218,0,,,,,36,9,3958326067,3958413173,,,,0,0,0.0,0.0,0.0,1300.0,2.16,2.5,2.64,192479063.0,0.12,0.04,0.0,2894793.0
1785746506.9474583,hazelcast,14068,253.874,253.5262,1146,287236096,303390720,4,269873152,286162944,,265707520,32768,1310904,287969280,266055680,21909504,84,,False,,,,311252,0,,,,,36,9,3960604286,3960691528,,,,0,0,0.0,0.0,0.0,1300.0,2.85,2.61,2.66,192617390.0,0.09,0.04,0.0,2894793.0
1785746507.9611259,hazelcast,14068,43.9277,43.9799,1190,295485440,303390720,4,277364736,286162944,,273571840,32768,1296080,295501824,273588224,21909504,82,,False,,,,317796,0,,,,,36,9,3963487184,3963574350,,,,0,0,0.0,0.0,0.0,1300.0,2.85,2.61,2.66,192652777.0,0.09,0.04,0.0,2894793.0
1785746508.9769776,hazelcast,14068,127.5352,127.9342,1318,304918528,311943168,4,287559680,294641664,,283025408,32768,1363584,305160192,283246592,21909504,87,,False,,,,354667,0,,,,,36,9,3965468113,3965555353,,,,0,0,0.0,0.0,0.0,1300.0,3.6,2.75,2.69,192788069.0,0.08,0.04,0.0,2894793.0
1785746509.9949346,hazelcast,14068,216.455,216.886,1535,315686912,315899904,4,296153088,297512960,,292188160,32768,1368672,315351040,292085760,23261184,87,,False,,,,411223,0,,,,,36,9,3967382956,3967468412,,,,0,0,0.0,0.0,0.0,1300.0,3.6,2.75,2.69,192997072.0,0.08,0.04,0.0,2899656.0
1785746511.0101411,hazelcast,14068,72.0861,71.9573,1607,319774720,326504448,4,300810240,308457472,,296509440,32768,1355736,319807488,296542208,23261184,86,,False,,,,429243,0,,,,,36,9,3969900541,3969985361,,,,0,0,0.0,0.0,0.0,1300.0,5.85,3.19,2.79,193076005.0,0.06,0.04,0.0,2899656.0
1785746512.0249562,hazelcast,14068,30.9459,29.9868,1637,328503296,328503296,4,309628928,309923840,,305246208,32768,1345432,328552448,305287168,23261184,86,,False,,,,431516,0,,,,,36,9,3972952398,3973037218,,,,0,0,0.0,0.0,0.0,1300.0,5.85,3.19,2.79,193118754.0,0.06,0.04,0.0,2899656.0
1785746513.039863,hazelcast,14068,29.7031,30.9865,1668,335945728,335945728,4,316870656,317390848,,312680448,32768,1335288,335945728,312680448,23261184,86,,False,,,,433999,0,,,,,36,9,3975468979,3975553799,,,,0,0,0.0,0.0,0.0,1300.0,5.51,3.21,2.79,193161322.0,0.05,0.04,0.0,2899656.0
