timestamp_unix,target,pid,container_cpu_percent,process_cpu_percent,process_cpu_ticks,vmrss_bytes,vmhwm_bytes,effective_cpu_affinity,cgroup_memory_current_bytes,cgroup_memory_peak_bytes,cgroup_memory_limit_bytes,cgroup_memory_anon_bytes,cgroup_memory_file_bytes,cgroup_memory_slab_bytes,smaps_rollup_rss_bytes,smaps_rollup_pss_anon_bytes,smaps_rollup_pss_file_bytes,process_threads,process_fd_count,jvm_heap_available,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_heap_max_bytes,process_minor_faults,process_major_faults,process_read_bytes,process_write_bytes,process_read_syscalls,process_write_syscalls,voluntary_context_switches,nonvoluntary_context_switches,host_net_rx_bytes,host_net_tx_bytes,cgroup_io_read_bytes,cgroup_io_write_bytes,cgroup_memory_reclaim_events,cgroup_memory_oom_events,cgroup_memory_oom_kill_events,psi_memory_some_avg10,psi_memory_some_avg60,psi_memory_some_avg300,psi_memory_some_total,psi_cpu_some_avg10,psi_cpu_some_avg60,psi_cpu_some_avg300,psi_cpu_some_total,psi_io_some_avg10,psi_io_some_avg60,psi_io_some_avg300,psi_io_some_total
1785746449.6709166,redis,13680,0.0,0.0,3,10776576,10776576,4,3555328,4370432,,2789376,0,252264,10776576,2789376,7983104,5,,False,,,,2311,0,,,,,72,36,3941494339,3941566933,,,,0,0,0.0,0.0,0.0,1300.0,0.16,2.08,2.47,190396366.0,0.0,0.02,0.0,2843239.0
1785746450.6729724,redis,13680,5.8581,6.9961,10,14221312,14221312,4,7364608,8069120,,6234112,0,370680,14221312,6234112,7983104,5,,False,,,,3190,0,,,,,1384,36,3945485061,3945557655,,,,0,0,0.0,0.0,0.0,1300.0,4.47,2.8,2.62,190831220.0,0.18,0.05,0.0,2843239.0
1785746451.6751509,redis,13680,5.1265,3.9977,14,15855616,15855616,4,9256960,9777152,,7868416,0,367960,15855616,7868416,7983104,5,,False,,,,3625,0,,,,,2593,36,3948777593,3948850249,,,,0,0,0.0,0.0,0.0,1300.0,4.47,2.8,2.62,191231163.0,0.18,0.05,0.0,2843239.0
1785746452.6772962,redis,13680,3.644,3.998,18,15896576,15896576,4,9056256,9777152,,7909376,0,367960,15896576,7909376,7983104,5,,False,,,,3635,0,,,,,3511,36,3951668693,3951741349,,,,0,0,0.0,0.0,0.0,1300.0,11.09,4.05,2.88,191667607.0,0.14,0.05,0.0,2843239.0
1785746453.679351,redis,13680,3.3479,3.998,22,16060416,16060416,4,8527872,10113024,,8073216,0,218320,16060416,8073216,7983104,5,,False,,,,3675,0,,,,,4413,36,3954205733,3954278389,,,,0,0,0.0,0.0,0.0,1300.0,11.09,4.05,2.88,192078763.0,0.14,0.05,0.0,2843239.0
1785746454.681224,redis,13680,0.0389,0.0,22,16060416,16060416,4,8790016,10113024,,8073216,0,218320,16060416,8073216,7983104,5,,False,,,,3675,0,,,,,4423,36,3954205733,3954278389,,,,0,0,0.0,0.0,0.0,1300.0,13.25,4.67,3.02,192078954.0,0.12,0.05,0.0,2843239.0
1785746455.682699,redis,13680,0.0427,0.0,22,16060416,16060416,4,8790016,10113024,,8073216,0,218320,16060416,8073216,7983104,5,,False,,,,3675,0,,,,,4433,36,3954205851,3954278479,,,,0,0,0.0,0.0,0.0,1300.0,13.25,4.67,3.02,192079140.0,0.12,0.05,0.0,2845083.0
1785746456.6841395,redis,13680,0.0443,0.0,22,16060416,16060416,4,8790016,10113024,,8073216,0,218320,16060416,8073216,7983104,5,,False,,,,3675,0,,,,,4443,36,3954205851,3954278569,,,,0,0,0.0,0.0,0.0,1300.0,10.85,4.52,3.0,192079167.0,0.09,0.04,0.0,2845083.0
1785746457.6856284,redis,13680,0.034,0.0,22,16060416,16060416,4,8790016,10113024,,8073216,0,218320,16060416,8073216,7983104,5,,False,,,,3675,0,,,,,4453,36,3954205851,3954278569,,,,0,0,0.0,0.0,0.0,1300.0,10.85,4.52,3.0,192079297.0,0.09,0.04,0.0,2845083.0
1785746458.6871004,redis,13680,0.0376,0.0,22,16060416,16060416,4,8790016,10113024,,8073216,0,218320,16060416,8073216,7983104,5,,False,,,,3675,0,,,,,4463,36,3954205969,3954278749,,,,0,0,0.0,0.0,0.0,1300.0,8.88,4.37,2.98,192079321.0,0.08,0.04,0.0,2845083.0
1785746459.6886494,redis,13680,0.0388,0.0,22,16060416,16060416,4,8790016,10113024,,8073216,0,218320,16060416,8073216,7983104,5,,False,,,,3675,0,,,,,4473,36,3954206067,3954278847,,,,0,0,0.0,0.0,0.0,1300.0,8.88,4.37,2.98,192079452.0,0.08,0.04,0.0,2845083.0
1785746460.6904356,redis,13680,0.0889,0.0,22,15421440,15859712,4,8151040,10113024,,7434240,0,218320,15421440,7434240,7983104,5,,False,,,,3675,0,,,,,4483,36,3954206165,3954278945,,,,0,0,0.0,0.0,0.0,1300.0,7.27,4.23,2.96,192079486.0,0.06,0.04,0.0,2845083.0
1785746461.6918607,redis,13680,0.0371,0.0,22,15421440,15859712,4,8151040,10113024,,7434240,0,218120,15421440,7434240,7983104,5,,False,,,,3675,0,,,,,4493,36,3954206263,3954279043,,,,0,0,0.0,0.0,0.0,1300.0,7.27,4.23,2.96,192079833.0,0.06,0.04,0.0,2845083.0
1785746462.6933408,redis,13680,0.0453,0.0,22,15421440,15859712,4,8151040,10113024,,7434240,0,218120,15421440,7434240,7983104,5,,False,,,,3675,0,,,,,4503,36,3954206479,3954279321,,,,0,0,0.0,0.0,0.0,1300.0,5.95,4.09,2.94,192079839.0,0.05,0.04,0.0,2845083.0
1785746463.694801,redis,13680,0.0436,0.0,22,15421440,15859712,4,8151040,10113024,,7434240,0,218120,15421440,7434240,7983104,5,,False,,,,3675,0,,,,,4513,36,3954206479,3954279321,,,,0,0,0.0,0.0,0.0,1300.0,5.95,4.09,2.94,192079923.0,0.05,0.04,0.0,2845083.0
1785746464.6962385,redis,13680,0.0365,0.0,22,15421440,15859712,4,8151040,10113024,,7434240,0,218120,15421440,7434240,7983104,5,,False,,,,3675,0,,,,,4523,36,3954206539,3954279363,,,,0,0,0.0,0.0,0.0,1300.0,4.87,3.95,2.92,192079939.0,0.04,0.04,0.0,2845083.0
1785746465.6979103,redis,13680,0.0361,0.0,22,15421440,15859712,4,8151040,10113024,,7434240,0,218120,15421440,7434240,7983104,5,,False,,,,3675,0,,,,,4533,36,3954206539,3954279363,,,,0,0,0.0,0.0,0.0,1300.0,4.87,3.95,2.92,192081035.0,0.04,0.04,0.0,2845083.0
1785746466.6993268,redis,13680,0.0412,0.0,22,15421440,15859712,4,8151040,10113024,,7434240,0,218120,15421440,7434240,7983104,5,,False,,,,3675,0,,,,,4543,36,3954206657,3954279543,,,,0,0,0.0,0.0,0.0,1300.0,3.99,3.82,2.9,192081135.0,0.03,0.04,0.0,2848171.0
1785746467.7008083,redis,13680,0.0486,0.0,22,15421440,15859712,4,8151040,10113024,,7434240,0,218120,15421440,7434240,7983104,5,,False,,,,3675,0,,,,,4553,36,3954206657,3954279543,,,,0,0,0.0,0.0,0.0,1300.0,3.99,3.82,2.9,192081259.0,0.03,0.04,0.0,2848171.0
1785746468.7025778,redis,13680,0.0438,0.0,22,15421440,15859712,4,8151040,10113024,,7434240,0,218120,15421440,7434240,7983104,5,,False,,,,3675,0,,,,,4563,36,3954206657,3954279543,,,,0,0,0.0,0.0,0.0,1300.0,3.27,3.7,2.88,192081278.0,0.02,0.03,0.0,2848171.0
1785746469.7039995,redis,13680,0.0383,0.0,22,15421440,15859712,4,8151040,10113024,,7434240,0,218120,15421440,7434240,7983104,5,,False,,,,3675,0,,,,,4573,36,3954206775,3954279723,,,,0,0,0.0,0.0,0.0,1300.0,3.27,3.7,2.88,192081405.0,0.02,0.03,0.0,2848171.0
1785746470.7057712,redis,13680,0.0559,0.0,22,15052800,15859712,4,7782400,10113024,,7065600,0,218120,15052800,7065600,7983104,5,,False,,,,3675,0,,,,,4583,36,3954206775,3954279723,,,,0,0,0.0,0.0,0.0,1300.0,2.67,3.58,2.86,192081423.0,0.02,0.03,0.0,2848171.0
1785746471.7072837,redis,13680,0.0412,0.0,22,15052800,15859712,4,7782400,10113024,,7065600,0,218120,15052800,7065600,7983104,5,,False,,,,3675,0,,,,,4593,36,3954206775,3954279723,,,,0,0,0.0,0.0,0.0,1300.0,2.67,3.58,2.86,192081637.0,0.02,0.03,0.0,2848171.0
