timestamp_unix,target,pid,container_cpu_percent,process_cpu_percent,process_cpu_ticks,vmrss_bytes,vmhwm_bytes,effective_cpu_affinity,cgroup_memory_current_bytes,cgroup_memory_peak_bytes,cgroup_memory_limit_bytes,cgroup_memory_anon_bytes,cgroup_memory_file_bytes,cgroup_memory_slab_bytes,smaps_rollup_rss_bytes,smaps_rollup_pss_anon_bytes,smaps_rollup_pss_file_bytes,process_threads,process_fd_count,jvm_heap_available,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_heap_max_bytes,process_minor_faults,process_major_faults,process_read_bytes,process_write_bytes,process_read_syscalls,process_write_syscalls,voluntary_context_switches,nonvoluntary_context_switches,host_net_rx_bytes,host_net_tx_bytes,cgroup_io_read_bytes,cgroup_io_write_bytes,cgroup_memory_reclaim_events,cgroup_memory_oom_events,cgroup_memory_oom_kill_events,psi_memory_some_avg10,psi_memory_some_avg60,psi_memory_some_avg300,psi_memory_some_total,psi_cpu_some_avg10,psi_cpu_some_avg60,psi_cpu_some_avg300,psi_cpu_some_total,psi_io_some_avg10,psi_io_some_avg60,psi_io_some_avg300,psi_io_some_total
1785747323.366951,hazelcast,18383,7.3791,0.0,709,263847936,266518528,4,245571584,248348672,,241823744,32768,1252696,263933952,241827840,22102016,80,,False,,,,203344,0,,,,,34,14,4120617862,4120800835,,,,0,0,0.0,0.0,0.0,1370.0,2.05,1.62,1.69,208214938.0,0.12,0.04,0.0,3594994.0
1785747324.3850663,hazelcast,18383,238.6392,237.7923,947,283709440,290762752,4,265908224,273268736,,261533696,32768,1359232,283455488,261349376,22102016,88,,False,,,,254343,0,,,,,34,14,4122515532,4122698505,,,,0,0,0.0,0.0,0.0,1370.0,2.05,1.62,1.69,208598932.0,0.12,0.04,0.0,3598710.0
1785747325.3994555,hazelcast,18383,128.2579,128.9317,1076,288518144,295182336,4,270237696,277262336,,266412032,32768,1336552,288518144,266412032,22102016,86,,False,,,,288456,0,,,,,34,14,4124968272,4125151381,,,,0,0,0.0,0.0,0.0,1370.0,6.57,2.45,1.87,208774395.0,0.09,0.04,0.0,3598710.0
1785747326.4130733,hazelcast,18383,1.201,0.9993,1077,288620544,295182336,4,270782464,277262336,,266514432,32768,1336552,288620544,266514432,22102016,86,,False,,,,288481,0,,,,,34,14,4124968272,4125151455,,,,0,0,0.0,0.0,0.0,1370.0,6.57,2.45,1.87,208775134.0,0.09,0.04,0.0,3598710.0
1785747327.4262729,hazelcast,18383,6.0511,5.9968,1083,289787904,295182336,4,271986688,277262336,,267681792,32768,1339312,289787904,267681792,22102016,86,,False,,,,289272,0,,,,,34,14,4124968590,4125151697,,,,0,0,0.0,0.0,0.0,1370.0,5.56,2.4,1.86,208776923.0,0.08,0.04,0.0,3598710.0
1785747328.4385831,hazelcast,18383,0.4746,0.9994,1084,289804288,295182336,4,271994880,277262336,,267698176,32768,1328544,289804288,267698176,22102016,86,,False,,,,289276,0,,,,,34,14,4124968650,4125151813,,,,0,0,0.0,0.0,0.0,1370.0,5.56,2.4,1.86,208778111.0,0.08,0.04,0.0,3598710.0
1785747329.452795,hazelcast,18383,64.7204,63.9355,1148,288944128,295182336,4,269828096,277262336,,265502720,32768,1388240,288993280,265551872,23437312,88,,False,,,,303169,0,,,,,34,14,4124973894,4125152988,,,,0,0,0.0,0.0,0.0,1370.0,4.55,2.32,1.85,208787510.0,0.06,0.04,0.0,3599430.0
1785747330.4663014,hazelcast,18383,31.1123,30.982,1179,289767424,297099264,4,270884864,278507520,,266264576,32768,1363040,289792000,266289152,23498752,87,,False,,,,314138,0,,,,,34,14,4124975291,4125156141,,,,0,0,0.0,0.0,0.0,1370.0,4.55,2.32,1.85,208796060.0,0.06,0.04,0.0,3599430.0
1785747331.4794087,hazelcast,18383,1.3187,1.9992,1181,289935360,297099264,4,270925824,278507520,,266432512,32768,1363040,289935360,266432512,23498752,87,,False,,,,314174,0,,,,,34,14,4124975291,4125156141,,,,0,0,0.0,0.0,0.0,1370.0,3.72,2.25,1.84,208798946.0,0.05,0.03,0.0,3599430.0
1785747332.492728,hazelcast,18383,3.6074,2.9984,1184,290123776,297099264,4,270925824,278507520,,266620928,32768,1360400,290131968,266629120,23498752,87,,False,,,,314553,0,,,,,34,14,4124975409,4125156321,,,,0,0,0.0,0.0,0.0,1370.0,3.72,2.25,1.84,208799706.0,0.05,0.03,0.0,3599430.0
