timestamp_unix,target,pid,container_cpu_percent,process_cpu_percent,process_cpu_ticks,vmrss_bytes,vmhwm_bytes,effective_cpu_affinity,cgroup_memory_current_bytes,cgroup_memory_peak_bytes,cgroup_memory_limit_bytes,cgroup_memory_anon_bytes,cgroup_memory_file_bytes,cgroup_memory_slab_bytes,smaps_rollup_rss_bytes,smaps_rollup_pss_anon_bytes,smaps_rollup_pss_file_bytes,process_threads,process_fd_count,jvm_heap_available,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_heap_max_bytes,process_minor_faults,process_major_faults,process_read_bytes,process_write_bytes,process_read_syscalls,process_write_syscalls,voluntary_context_switches,nonvoluntary_context_switches,host_net_rx_bytes,host_net_tx_bytes,cgroup_io_read_bytes,cgroup_io_write_bytes,cgroup_memory_reclaim_events,cgroup_memory_oom_events,cgroup_memory_oom_kill_events,psi_memory_some_avg10,psi_memory_some_avg60,psi_memory_some_avg300,psi_memory_some_total,psi_cpu_some_avg10,psi_cpu_some_avg60,psi_cpu_some_avg300,psi_cpu_some_total,psi_io_some_avg10,psi_io_some_avg60,psi_io_some_avg300,psi_io_some_total
1785746777.7846231,hydra,16153,,0.0,0,7647232,7647232,4,73338880,270565376,,18055168,41947136,12375864,7647232,872448,4622336,2,11,False,,,,677,0,0,0,52,2,1,3,4046707199,4046839719,,,,0,0,0.0,0.0,0.0,1300.0,0.11,1.65,2.31,199107444.0,0.0,0.0,0.0,3137502.0
1785746778.7864304,hydra,16153,,14.994,15,13910016,13910016,4,81440768,270565376,,25346048,41955328,12562160,13910016,7069696,4687872,2,21,False,,,,2191,0,0,0,52,3,1,3,4050751827,4050884347,,,,0,0,0.0,0.0,0.0,1300.0,2.81,2.09,2.4,199441871.0,0.0,0.0,0.0,3137502.0
1785746779.788279,hydra,16153,,11.996,27,18718720,18718720,4,76943360,270565376,,21561344,41959424,12397712,18718720,11878400,4708352,2,11,False,,,,3365,0,0,0,52,3,1,3,4054067803,4054200323,,,,0,0,0.0,0.0,0.0,1300.0,2.81,2.09,2.4,199704658.0,0.0,0.0,0.0,3137502.0
1785746780.7897477,hydra,16153,,0.0,27,18718720,18718720,4,76943360,270565376,,21569536,41963520,12397712,18718720,11878400,4708352,2,11,False,,,,3365,0,0,0,52,3,1,3,4054067803,4054200323,,,,0,0,0.0,0.0,0.0,1300.0,5.02,2.51,2.49,199704771.0,0.0,0.0,0.0,3137502.0
1785746781.7916365,hydra,16153,,0.0,27,18718720,18718720,4,76894208,270565376,,21577728,41963520,12393392,18718720,11878400,4708352,2,11,False,,,,3365,0,0,0,52,3,1,3,4054067921,4054200503,,,,0,0,0.0,0.0,0.0,1300.0,5.02,2.51,2.49,199704898.0,0.0,0.0,0.0,3137502.0
1785746782.793137,hydra,16153,,0.0,27,18718720,18718720,4,76894208,270565376,,21585920,41963520,12393392,18718720,11878400,4708352,2,11,False,,,,3365,0,0,0,52,3,1,3,4054067921,4054200503,,,,0,0,0.0,0.0,0.0,1300.0,4.11,2.43,2.47,199705007.0,0.0,0.0,0.0,3137502.0
1785746783.7946122,hydra,16153,,0.0,27,18718720,18718720,4,76894208,270565376,,21598208,41967616,12393392,18718720,11878400,4708352,2,11,False,,,,3365,0,0,0,52,3,1,3,4054067921,4054200503,,,,0,0,0.0,0.0,0.0,1300.0,4.11,2.43,2.47,199705160.0,0.0,0.0,0.0,3141921.0
1785746784.796063,hydra,16153,,0.0,27,18718720,18718720,4,76894208,270565376,,21598208,41967616,12393392,18718720,11878400,4708352,2,11,False,,,,3365,0,0,0,52,3,1,3,4054067921,4054200503,,,,0,0,0.0,0.0,0.0,1300.0,3.36,2.35,2.45,199705192.0,0.0,0.0,0.0,3141921.0
1785746785.7979567,hydra,16153,,0.0,27,18718720,18718720,4,76894208,270565376,,21602304,41971712,12393392,18718720,11878400,4708352,2,11,False,,,,3365,0,0,0,52,3,1,3,4054067981,4054200503,,,,0,0,0.0,0.0,0.0,1300.0,3.36,2.35,2.45,199705384.0,0.0,0.0,0.0,3141921.0
1785746786.7997887,hydra,16153,,0.0,27,18718720,18718720,4,76894208,270565376,,21610496,41971712,12393392,18718720,11878400,4708352,2,11,False,,,,3365,0,0,0,52,3,1,3,4054068099,4054200593,,,,0,0,0.0,0.0,0.0,1300.0,2.75,2.27,2.44,199705416.0,0.0,0.0,0.0,3141921.0
1785746787.801244,hydra,16153,,0.0,27,18718720,18718720,4,76894208,270565376,,21610496,41971712,12393392,18718720,11878400,4708352,2,11,False,,,,3365,0,0,0,52,3,1,3,4054068099,4054200683,,,,0,0,0.0,0.0,0.0,1300.0,2.75,2.27,2.44,199705775.0,0.0,0.0,0.0,3141921.0
1785746788.8027258,hydra,16153,,0.0,27,18718720,18718720,4,76894208,270565376,,21618688,41975808,12393392,18718720,11878400,4708352,2,11,False,,,,3365,0,0,0,52,3,1,3,4054068099,4054200683,,,,0,0,0.0,0.0,0.0,1300.0,2.25,2.19,2.42,199705854.0,0.0,0.0,0.0,3141921.0
1785746789.8046505,hydra,16153,,0.0,27,18718720,18718720,4,76894208,270565376,,21618688,41979904,12393392,18718720,11878400,4708352,2,11,False,,,,3365,0,0,0,52,3,1,3,4054068099,4054200683,,,,0,0,0.0,0.0,0.0,1300.0,2.25,2.19,2.42,199705931.0,0.0,0.0,0.0,3141921.0
1785746790.8061054,hydra,16153,,0.0,27,18718720,18718720,4,76894208,270565376,,21622784,41979904,12393392,18718720,11878400,4708352,2,11,False,,,,3365,0,0,0,52,3,1,3,4054068099,4054200683,,,,0,0,0.0,0.0,0.0,1300.0,1.84,2.12,2.4,199705974.0,0.0,0.0,0.0,3141921.0
1785746791.8080902,hydra,16153,,0.0,27,18718720,18718720,4,76894208,270565376,,21622784,41984000,12393392,18718720,11878400,4708352,2,11,False,,,,3365,0,0,0,52,3,1,3,4054068217,4054200773,,,,0,0,0.0,0.0,0.0,1300.0,1.84,2.12,2.4,199706069.0,0.0,0.0,0.0,3141921.0
1785746792.8095603,hydra,16153,,0.0,27,18718720,18718720,4,76894208,270565376,,21622784,41984000,12393392,18718720,11878400,4708352,2,11,False,,,,3365,0,0,0,52,3,1,3,4054068217,4054200863,,,,0,0,0.0,0.0,0.0,1300.0,1.51,2.05,2.39,199706098.0,0.0,0.0,0.0,3141921.0
1785746793.8110151,hydra,16153,,0.0,27,18718720,18718720,4,76894208,270565376,,21626880,41988096,12389248,18718720,11878400,4708352,2,11,False,,,,3365,0,0,0,52,3,1,3,4054068217,4054200863,,,,0,0,0.0,0.0,0.0,1300.0,1.51,2.05,2.39,199706199.0,0.0,0.0,0.0,3141921.0
1785746794.8130443,hydra,16153,,0.0,27,18718720,18718720,4,76894208,270565376,,21626880,41988096,12389248,18718720,11878400,4708352,2,11,False,,,,3365,0,0,0,52,3,1,3,4054068335,4054201043,,,,0,0,0.0,0.0,0.0,1300.0,1.23,1.99,2.37,199706237.0,0.0,0.0,0.0,3141921.0
1785746795.8144891,hydra,16153,,0.0,27,18718720,18718720,4,76967936,270565376,,21626880,41988096,12393712,18718720,11878400,4708352,2,11,False,,,,3365,0,0,0,52,3,1,3,4054068395,4054201043,,,,0,0,0.0,0.0,0.0,1300.0,1.23,1.99,2.37,199706523.0,0.0,0.0,0.0,3141921.0
1785746796.8159645,hydra,16153,,0.0,27,18718720,18718720,4,76967936,270565376,,21626880,41992192,12393712,18718720,11878400,4708352,2,11,False,,,,3365,0,0,0,52,3,1,3,4054068395,4054201043,,,,0,0,0.0,0.0,0.0,1300.0,1.01,1.92,2.35,199706552.0,0.0,0.0,0.0,3141921.0
1785746797.817458,hydra,16153,,0.0,27,18718720,18718720,4,76967936,270565376,,21626880,41992192,12393712,18718720,11878400,4708352,2,11,False,,,,3365,0,0,0,52,3,1,3,4054068395,4054201043,,,,0,0,0.0,0.0,0.0,1300.0,1.01,1.92,2.35,199706639.0,0.0,0.0,0.0,3141921.0
1785746798.8191617,hydra,16153,,0.0,27,18718720,18718720,4,76967936,270565376,,21626880,41996288,12393712,18718720,11878400,4708352,2,11,False,,,,3365,0,0,0,52,3,1,3,4054068395,4054201043,,,,0,0,0.0,0.0,0.0,1300.0,0.82,1.86,2.34,199706661.0,0.0,0.0,0.0,3141921.0
1785746799.821048,hydra,16153,,0.0,27,18718720,18718720,4,76967936,270565376,,21626880,41996288,12393712,18718720,11878400,4708352,2,11,False,,,,3365,0,0,0,52,3,1,3,4054068513,4054201133,,,,0,0,0.0,0.0,0.0,1300.0,0.82,1.86,2.34,199706978.0,0.0,0.0,0.0,3141921.0
1785746800.8230684,hydra,16153,,0.0,27,18718720,18718720,4,76967936,270565376,,21630976,41996288,12393712,18718720,11878400,4708352,2,11,False,,,,3365,0,0,0,52,3,1,3,4054068513,4054201223,,,,0,0,0.0,0.0,0.0,1300.0,0.67,1.8,2.32,199707090.0,0.0,0.0,0.0,3146774.0
1785746801.8245125,hydra,16153,,0.0,27,18718720,18718720,4,76967936,270565376,,21630976,42000384,12393712,18718720,11878400,4708352,2,11,False,,,,3365,0,0,0,52,3,1,3,4054068513,4054201223,,,,0,0,0.0,0.0,0.0,1300.0,0.67,1.8,2.32,199707487.0,0.0,0.0,0.0,3146774.0
