timestamp_unix,target,pid,container_cpu_percent,process_cpu_percent,process_cpu_ticks,vmrss_bytes,vmhwm_bytes,effective_cpu_affinity,cgroup_memory_current_bytes,cgroup_memory_peak_bytes,cgroup_memory_limit_bytes,cgroup_memory_anon_bytes,cgroup_memory_file_bytes,cgroup_memory_slab_bytes,smaps_rollup_rss_bytes,smaps_rollup_pss_anon_bytes,smaps_rollup_pss_file_bytes,process_threads,process_fd_count,jvm_heap_available,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_heap_max_bytes,process_minor_faults,process_major_faults,process_read_bytes,process_write_bytes,process_read_syscalls,process_write_syscalls,voluntary_context_switches,nonvoluntary_context_switches,host_net_rx_bytes,host_net_tx_bytes,cgroup_io_read_bytes,cgroup_io_write_bytes,cgroup_memory_reclaim_events,cgroup_memory_oom_events,cgroup_memory_oom_kill_events,psi_memory_some_avg10,psi_memory_some_avg60,psi_memory_some_avg300,psi_memory_some_total,psi_cpu_some_avg10,psi_cpu_some_avg60,psi_cpu_some_avg300,psi_cpu_some_total,psi_io_some_avg10,psi_io_some_avg60,psi_io_some_avg300,psi_io_some_total
1785746968.3764527,redis,16410,9.7343,0.0,3,10551296,10551296,4,3219456,4579328,,2732032,0,231072,10551296,2732032,7815168,5,,False,,,,2236,0,,,,,76,25,4072600548,4072733734,,,,0,0,0.0,0.0,0.0,1300.0,0.06,0.92,1.78,201775412.0,0.0,0.0,0.0,3216498.0
1785746969.3781006,redis,16410,4.1104,4.9983,8,12812288,12812288,4,5488640,5746688,,4993024,0,232304,12812288,4993024,7815168,5,,False,,,,2820,0,,,,,1171,25,4076047988,4076181146,,,,0,0,0.0,0.0,0.0,1300.0,1.5,1.15,1.82,202117286.0,0.0,0.0,0.0,3216498.0
1785746970.3796995,redis,16410,3.3009,2.999,11,14426112,14426112,4,7311360,7344128,,6606848,0,217144,14426112,6606848,7815168,5,,False,,,,3248,0,,,,,2042,25,4078777758,4078911006,,,,0,0,0.0,0.0,0.0,1300.0,1.5,1.15,1.82,202383394.0,0.0,0.0,0.0,3216498.0
1785746971.3813918,redis,16410,0.0419,0.0,11,14426112,14426112,4,7311360,7344128,,6606848,0,217144,14426112,6606848,7815168,5,,False,,,,3248,0,,,,,2052,25,4078777758,4078911006,,,,0,0,0.0,0.0,0.0,1300.0,5.39,1.87,1.96,202383463.0,0.0,0.0,0.0,3216498.0
1785746972.3831785,redis,16410,0.0447,0.0,11,14426112,14426112,4,7311360,7344128,,6606848,0,217144,14426112,6606848,7815168,5,,False,,,,3248,0,,,,,2062,25,4078777758,4078911006,,,,0,0,0.0,0.0,0.0,1300.0,5.39,1.87,1.96,202383547.0,0.0,0.0,0.0,3216498.0
1785746973.3850183,redis,16410,0.0374,0.0,11,14426112,14426112,4,7311360,7344128,,6606848,0,217144,14426112,6606848,7815168,5,,False,,,,3248,0,,,,,2072,25,4078777758,4078911006,,,,0,0,0.0,0.0,0.0,1300.0,4.41,1.8,1.95,202383780.0,0.0,0.0,0.0,3216498.0
1785746974.386595,redis,16410,0.0372,0.0,11,14426112,14426112,4,7311360,7344128,,6606848,0,217144,14426112,6606848,7815168,5,,False,,,,3248,0,,,,,2082,25,4078777876,4078911186,,,,0,0,0.0,0.0,0.0,1300.0,4.41,1.8,1.95,202383918.0,0.0,0.0,0.0,3218407.0
1785746975.388426,redis,16410,0.0431,0.0,11,14426112,14426112,4,7311360,7344128,,6606848,0,217144,14426112,6606848,7815168,5,,False,,,,3248,0,,,,,2092,25,4078777876,4078911186,,,,0,0,0.0,0.0,0.0,1300.0,3.61,1.75,1.94,202384020.0,0.0,0.0,0.0,3218407.0
1785746976.3898501,redis,16410,0.0396,0.0,11,14426112,14426112,4,7311360,7344128,,6606848,0,217144,14426112,6606848,7815168,5,,False,,,,3248,0,,,,,2102,25,4078777876,4078911186,,,,0,0,0.0,0.0,0.0,1300.0,3.61,1.75,1.94,202384139.0,0.0,0.0,0.0,3218407.0
1785746977.3912728,redis,16410,0.0434,0.0,11,14426112,14426112,4,7311360,7344128,,6606848,0,217144,14426112,6606848,7815168,5,,False,,,,3248,0,,,,,2112,25,4078777942,4078911186,,,,0,0,0.0,0.0,0.0,1300.0,2.96,1.69,1.92,202384230.0,0.0,0.0,0.0,3218407.0
1785746978.392745,redis,16410,0.0435,0.9996,12,14426112,14426112,4,7311360,7344128,,6606848,0,217144,14426112,6606848,7815168,5,,False,,,,3248,0,,,,,2122,25,4078778060,4078911276,,,,0,0,0.0,0.0,0.0,1300.0,2.96,1.69,1.92,202384351.0,0.0,0.0,0.0,3218407.0
1785746979.3944588,redis,16410,0.0451,0.0,12,14417920,14417920,4,7303168,7344128,,6598656,0,217144,14417920,6598656,7815168,5,,False,,,,3248,0,,,,,2132,25,4078778060,4078911366,,,,0,0,0.0,0.0,0.0,1300.0,2.42,1.63,1.91,202384937.0,0.0,0.0,0.0,3218407.0
1785746980.39597,redis,16410,0.0417,0.0,12,14417920,14417920,4,7303168,7344128,,6598656,0,217144,14417920,6598656,7815168,5,,False,,,,3248,0,,,,,2142,25,4078778060,4078911366,,,,0,0,0.0,0.0,0.0,1300.0,2.42,1.63,1.91,202385013.0,0.0,0.0,0.0,3218407.0
1785746981.3976579,redis,16410,0.0417,0.0,12,14417920,14417920,4,7303168,7344128,,6598656,0,216944,14417920,6598656,7815168,5,,False,,,,3248,0,,,,,2152,25,4078778134,4078911366,,,,0,0,0.0,0.0,0.0,1300.0,1.98,1.58,1.9,202385095.0,0.0,0.0,0.0,3218407.0
1785746982.3990664,redis,16410,0.0402,0.0,12,14417920,14417920,4,7303168,7344128,,6598656,0,216944,14417920,6598656,7815168,5,,False,,,,3248,0,,,,,2162,25,4078778342,4078911366,,,,0,0,0.0,0.0,0.0,1300.0,1.98,1.58,1.9,202385247.0,0.0,0.0,0.0,3218407.0
1785746983.400461,redis,16410,0.0467,0.0,12,14417920,14417920,4,7303168,7344128,,6598656,0,216944,14417920,6598656,7815168,5,,False,,,,3248,0,,,,,2172,25,4078778534,4078911456,,,,0,0,0.0,0.0,0.0,1300.0,1.62,1.53,1.88,202385378.0,0.0,0.0,0.0,3218407.0
1785746984.4019115,redis,16410,0.0347,0.0,12,14417920,14417920,4,7303168,7344128,,6598656,0,216944,14417920,6598656,7815168,5,,False,,,,3248,0,,,,,2182,25,4078778534,4078911546,,,,0,0,0.0,0.0,0.0,1300.0,1.62,1.53,1.88,202385510.0,0.0,0.0,0.0,3218407.0
1785746985.403567,redis,16410,0.0412,0.0,12,14417920,14417920,4,7041024,7344128,,6598656,0,216640,14417920,6598656,7815168,5,,False,,,,3248,0,,,,,2192,25,4078778594,4078911546,,,,0,0,0.0,0.0,0.0,1300.0,1.33,1.48,1.87,202385695.0,0.0,0.0,0.0,3218407.0
