timestamp_unix,target,pid,container_cpu_percent,process_cpu_percent,process_cpu_ticks,vmrss_bytes,vmhwm_bytes,effective_cpu_affinity,cgroup_memory_current_bytes,cgroup_memory_peak_bytes,cgroup_memory_limit_bytes,cgroup_memory_anon_bytes,cgroup_memory_file_bytes,cgroup_memory_slab_bytes,smaps_rollup_rss_bytes,smaps_rollup_pss_anon_bytes,smaps_rollup_pss_file_bytes,process_threads,process_fd_count,jvm_heap_available,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_heap_max_bytes,process_minor_faults,process_major_faults,process_read_bytes,process_write_bytes,process_read_syscalls,process_write_syscalls,voluntary_context_switches,nonvoluntary_context_switches,host_net_rx_bytes,host_net_tx_bytes,cgroup_io_read_bytes,cgroup_io_write_bytes,cgroup_memory_reclaim_events,cgroup_memory_oom_events,cgroup_memory_oom_kill_events,psi_memory_some_avg10,psi_memory_some_avg60,psi_memory_some_avg300,psi_memory_some_total,psi_cpu_some_avg10,psi_cpu_some_avg60,psi_cpu_some_avg300,psi_cpu_some_total,psi_io_some_avg10,psi_io_some_avg60,psi_io_some_avg300,psi_io_some_total
1785747734.6211474,hazelcast,19928,0.0,0.0,718,244858880,264040448,4,226193408,246231040,,222646272,32768,1243728,244858880,222646272,22208512,79,,False,,,,205411,0,,,,,35,21,4224176038,4224379751,,,,0,0,0.0,0.0,0.0,1370.0,2.24,2.14,2.34,219684441.0,0.12,0.04,0.0,3893705.0
1785747735.6410506,hazelcast,19928,237.8543,237.8683,956,280002560,280059904,4,262623232,262623232,,258228224,32768,1313040,280121344,257908736,22208512,84,,False,,,,254944,0,,,,,35,21,4228847874,4229051661,,,,0,0,0.0,0.0,0.0,1370.0,4.19,2.49,2.41,220100920.0,0.09,0.04,0.0,3893705.0
1785747736.6591275,hazelcast,19928,163.3345,162.8047,1119,293580800,296726528,4,275619840,279564288,,271372288,32768,1353208,293822464,271609856,22208512,87,,False,,,,303216,0,,,,,35,21,4233993371,4234197232,,,,0,0,0.0,0.0,0.0,1370.0,4.19,2.49,2.41,220298204.0,0.09,0.04,0.0,3893705.0
1785747737.6734836,hazelcast,19928,195.7569,195.8977,1315,307105792,308776960,4,288849920,291385344,,284893184,32768,1351224,307257344,285044736,22208512,87,,False,,,,366476,0,,,,,35,21,4240068039,4240271886,,,,0,0,0.0,0.0,0.0,1370.0,7.96,3.23,2.57,220524197.0,0.08,0.04,0.0,3893705.0
1785747738.6888068,hazelcast,19928,10.7213,10.9924,1326,312930304,312930304,4,294846464,295374848,,290717696,32768,1334592,312930304,290717696,22208512,85,,False,,,,369338,0,,,,,35,21,4241708093,4241911936,,,,0,0,0.0,0.0,0.0,1370.0,7.96,3.23,2.57,220541241.0,0.08,0.04,0.0,3893705.0
1785747739.7036433,hazelcast,19928,36.721,35.9786,1362,312807424,312807424,4,294424576,295374848,,290082816,32768,1360976,313602048,290693120,22904832,87,,False,,,,379281,0,,,,,35,21,4241708211,4241912026,,,,0,0,0.0,0.0,0.0,1370.0,7.06,3.22,2.57,220556835.0,0.06,0.03,0.0,3896245.0
1785747740.7185884,hazelcast,19928,69.2815,69.9466,1432,342999040,350285824,4,324018176,331481088,,319393792,32768,1353104,342999040,319393792,23601152,86,,False,,,,402368,0,,,,,35,21,4241714643,4241916198,,,,0,0,0.0,0.0,0.0,1370.0,7.06,3.22,2.57,220588013.0,0.06,0.03,0.0,3896245.0
1785747741.7332604,hazelcast,19928,1.6476,1.999,1434,343089152,350285824,4,323899392,331481088,,319483904,32768,1352480,343089152,319483904,23601152,86,,False,,,,402439,0,,,,,35,21,4241714643,4241916198,,,,0,0,0.0,0.0,0.0,1370.0,6.14,3.18,2.57,220588352.0,0.05,0.03,0.0,3896245.0
1785747742.7482214,hazelcast,19928,3.4405,2.9981,1437,343191552,350285824,4,323952640,331481088,,319586304,32768,1342872,343191552,319586304,23601152,86,,False,,,,402846,0,,,,,35,21,4241714761,4241916288,,,,0,0,0.0,0.0,0.0,1370.0,6.14,3.18,2.57,220588690.0,0.05,0.03,0.0,3896245.0
1785747743.7613826,hazelcast,19928,0.2298,0.0,1437,343191552,350285824,4,323952640,331481088,,319586304,32768,1341688,343191552,319586304,23601152,86,,False,,,,402846,0,,,,,35,21,4241714761,4241916378,,,,0,0,0.0,0.0,0.0,1370.0,5.03,3.07,2.55,220588861.0,0.04,0.03,0.0,3896245.0
1785747744.7765481,hazelcast,19928,0.4029,0.0,1437,343199744,350285824,4,323919872,331481088,,319594496,32768,1341688,343199744,319594496,23601152,86,,False,,,,402850,0,,,,,35,21,4241714761,4241916378,,,,0,0,0.0,0.0,0.0,1370.0,5.03,3.07,2.55,220589592.0,0.04,0.03,0.0,3896663.0
1785747745.7909927,hazelcast,19928,0.7941,1.9992,1439,343248896,350285824,4,324120576,331481088,,319643648,32768,1338352,343248896,319643648,23601152,86,,False,,,,402863,0,,,,,35,21,4241714761,4241916378,,,,0,0,0.0,0.0,0.0,1370.0,4.12,2.97,2.53,220589851.0,0.03,0.03,0.0,3896663.0
