timestamp_unix,target,pid,container_cpu_percent,process_cpu_percent,process_cpu_ticks,vmrss_bytes,vmhwm_bytes,effective_cpu_affinity,cgroup_memory_current_bytes,cgroup_memory_peak_bytes,cgroup_memory_limit_bytes,cgroup_memory_anon_bytes,cgroup_memory_file_bytes,cgroup_memory_slab_bytes,smaps_rollup_rss_bytes,smaps_rollup_pss_anon_bytes,smaps_rollup_pss_file_bytes,process_threads,process_fd_count,jvm_heap_available,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_heap_max_bytes,process_minor_faults,process_major_faults,process_read_bytes,process_write_bytes,process_read_syscalls,process_write_syscalls,voluntary_context_switches,nonvoluntary_context_switches,host_net_rx_bytes,host_net_tx_bytes,cgroup_io_read_bytes,cgroup_io_write_bytes,cgroup_memory_reclaim_events,cgroup_memory_oom_events,cgroup_memory_oom_kill_events,psi_memory_some_avg10,psi_memory_some_avg60,psi_memory_some_avg300,psi_memory_some_total,psi_cpu_some_avg10,psi_cpu_some_avg60,psi_cpu_some_avg300,psi_cpu_some_total,psi_io_some_avg10,psi_io_some_avg60,psi_io_some_avg300,psi_io_some_total
1785747679.6718805,hazelcast,19561,0.0,0.0,697,259567616,260661248,4,241270784,243392512,,237608960,32768,1246144,259604480,237645824,21954560,79,,False,,,,197903,0,,,,,36,15,4206590630,4206782002,,,,0,0,0.0,0.0,0.0,1370.0,1.98,2.21,2.32,218187286.0,0.12,0.04,0.0,3829388.0
1785747680.6899016,hazelcast,19561,291.2154,292.4194,990,292843520,299298816,4,275038208,282304512,,270884864,32768,1326640,293408768,271450112,21954560,85,,False,,,,265364,0,,,,,36,15,4210733911,4210925357,,,,0,0,0.0,0.0,0.0,1370.0,1.98,2.21,2.32,218709886.0,0.12,0.04,0.0,3838725.0
1785747681.7109487,hazelcast,19561,218.6621,217.6848,1208,298917888,301981696,4,281518080,285044736,,277016576,32768,1352664,299081728,277123072,21954560,88,,False,,,,328074,0,,,,,36,15,4215589833,4215781325,,,,0,0,0.0,0.0,0.0,1370.0,7.78,3.25,2.54,218982621.0,0.09,0.04,0.0,3838725.0
1785747682.7260075,hazelcast,19561,217.764,217.8812,1426,322940928,325361664,4,305364992,308764672,,301252608,32768,1355704,323416064,301457408,21954560,88,,False,,,,396353,0,,,,,36,15,4221769203,4221960785,,,,0,0,0.0,0.0,0.0,1370.0,7.78,3.25,2.54,219232751.0,0.09,0.04,0.0,3838725.0
1785747683.740966,hazelcast,19561,25.0781,24.9843,1451,330280960,333168640,4,313020416,315973632,,308322304,32768,1337584,330280960,308322304,21954560,86,,False,,,,404191,0,,,,,36,15,4224158833,4224350526,,,,0,0,0.0,0.0,0.0,1370.0,9.81,3.76,2.65,219254521.0,0.08,0.04,0.0,3838725.0
1785747684.7539384,hazelcast,19561,0.7407,0.9996,1452,330309632,333168640,4,312885248,315973632,,308350976,32768,1337584,330309632,308350976,21954560,86,,False,,,,404233,0,,,,,36,15,4224158907,4224350600,,,,0,0,0.0,0.0,0.0,1370.0,9.81,3.76,2.65,219254687.0,0.08,0.04,0.0,3838725.0
1785747685.7698202,hazelcast,19561,57.1426,56.9407,1509,342806528,344584192,4,324329472,326500352,,319938560,32768,1374832,342876160,319938560,22933504,88,,False,,,,421604,0,,,,,36,15,4224159357,4224351165,,,,0,0,0.0,0.0,0.0,1370.0,8.03,3.64,2.63,219285821.0,0.06,0.03,0.0,3839839.0
1785747686.7849262,hazelcast,19561,53.3062,52.9694,1562,347226112,354533376,4,328364032,336125952,,323911680,32768,1367912,347226112,323911680,23310336,87,,False,,,,438619,0,,,,,36,15,4224165517,4224354904,,,,0,0,0.0,0.0,0.0,1370.0,8.03,3.64,2.63,219307528.0,0.06,0.03,0.0,3839839.0
1785747687.8001027,hazelcast,19561,1.8641,1.9986,1564,347324416,354533376,4,328413184,336125952,,324009984,32768,1358088,347324416,324009984,23310336,87,,False,,,,438776,0,,,,,36,15,4224165517,4224354904,,,,0,0,0.0,0.0,0.0,1370.0,6.94,3.59,2.63,219308504.0,0.05,0.03,0.0,3839839.0
1785747688.8151803,hazelcast,19561,4.0532,4.9973,1569,347729920,354533376,4,328880128,336125952,,324415488,32768,1354400,347729920,324415488,23310336,87,,False,,,,439268,0,,,,,36,15,4224165517,4224354904,,,,0,0,0.0,0.0,0.0,1370.0,6.94,3.59,2.63,219309189.0,0.05,0.03,0.0,3839839.0
1785747689.8287914,hazelcast,19561,0.2609,0.0,1569,347738112,354533376,4,328835072,336125952,,324423680,32768,1353248,347738112,324423680,23310336,87,,False,,,,439270,0,,,,,36,15,4224165635,4224354994,,,,0,0,0.0,0.0,0.0,1370.0,5.68,3.47,2.61,219309567.0,0.04,0.03,0.0,3839839.0
1785747690.8422863,hazelcast,19561,0.3743,0.0,1569,347758592,354533376,4,329097216,336125952,,324444160,32768,1353248,347758592,324444160,23310336,87,,False,,,,439277,0,,,,,36,15,4224165635,4224355084,,,,0,0,0.0,0.0,0.0,1370.0,5.68,3.47,2.61,219309973.0,0.04,0.03,0.0,3840462.0
1785747691.8558195,hazelcast,19561,0.5751,0.9995,1570,347807744,354533376,4,329105408,336125952,,324493312,32768,1353248,347807744,324493312,23310336,87,,False,,,,439290,0,,,,,36,15,4224165635,4224355084,,,,0,0,0.0,0.0,0.0,1370.0,4.65,3.35,2.59,219310331.0,0.03,0.03,0.0,3840462.0
1785747692.8689892,hazelcast,19561,0.3265,0.0,1570,347815936,354533376,4,329105408,336125952,,324501504,32768,1353248,347815936,324501504,23310336,87,,False,,,,439292,0,,,,,36,15,4224165635,4224355084,,,,0,0,0.0,0.0,0.0,1370.0,4.65,3.35,2.59,219310588.0,0.03,0.03,0.0,3840462.0
