timestamp_unix,target,pid,container_cpu_percent,process_cpu_percent,process_cpu_ticks,vmrss_bytes,vmhwm_bytes,effective_cpu_affinity,cgroup_memory_current_bytes,cgroup_memory_peak_bytes,cgroup_memory_limit_bytes,cgroup_memory_anon_bytes,cgroup_memory_file_bytes,cgroup_memory_slab_bytes,smaps_rollup_rss_bytes,smaps_rollup_pss_anon_bytes,smaps_rollup_pss_file_bytes,process_threads,process_fd_count,jvm_heap_available,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_heap_max_bytes,process_minor_faults,process_major_faults,process_read_bytes,process_write_bytes,process_read_syscalls,process_write_syscalls,voluntary_context_switches,nonvoluntary_context_switches,host_net_rx_bytes,host_net_tx_bytes,cgroup_io_read_bytes,cgroup_io_write_bytes,cgroup_memory_reclaim_events,cgroup_memory_oom_events,cgroup_memory_oom_kill_events,psi_memory_some_avg10,psi_memory_some_avg60,psi_memory_some_avg300,psi_memory_some_total,psi_cpu_some_avg10,psi_cpu_some_avg60,psi_cpu_some_avg300,psi_cpu_some_total,psi_io_some_avg10,psi_io_some_avg60,psi_io_some_avg300,psi_io_some_total
1785747472.2858624,hydra,18784,,0.0,0,7692288,7692288,4,75759616,270565376,,18055168,44122112,12668680,7692288,872448,4615168,2,11,False,,,,681,0,0,0,52,2,1,2,4154318670,4154499411,,,,0,0,0.0,0.0,0.0,1370.0,0.12,1.74,1.87,211769948.0,0.0,0.0,0.0,3662272.0
1785747473.2877505,hydra,18784,,14.9942,15,13979648,13979648,4,83820544,270565376,,25362432,44130304,12846880,13979648,7094272,4680704,2,21,False,,,,2201,0,0,0,52,3,1,2,4158311534,4158492275,,,,0,0,0.0,0.0,0.0,1370.0,2.28,2.07,1.94,212096177.0,0.0,0.0,0.0,3662272.0
1785747474.2899547,hydra,18784,,13.993,29,17350656,17350656,4,87117824,270565376,,28561408,44134400,12865160,17350656,10465280,4687872,2,21,False,,,,3024,0,0,0,52,4,1,2,4161908314,4162089055,,,,0,0,0.0,0.0,0.0,1370.0,2.28,2.07,1.94,212402787.0,0.0,0.0,0.0,3662272.0
1785747475.291537,hydra,18784,,9.9967,39,17350656,17350656,4,86798336,270565376,,28659712,44138496,12865160,17350656,10465280,4687872,2,21,False,,,,3024,0,0,0,52,4,1,2,4164754152,4164934955,,,,0,0,0.0,0.0,0.0,1370.0,7.66,3.05,2.15,212744719.0,0.0,0.0,0.0,3662827.0
1785747476.2930188,hydra,18784,,10.9966,50,17350656,17350656,4,87277568,270565376,,28737536,44138496,12865160,17350656,10465280,4687872,2,21,False,,,,3024,0,0,0,52,4,1,2,4167606908,4167787711,,,,0,0,0.0,0.0,0.0,1370.0,7.66,3.05,2.15,213074082.0,0.0,0.0,0.0,3662827.0
1785747477.295427,hydra,18784,,4.9969,55,17350656,17350656,4,77672448,270565376,,20168704,44138496,12688832,17350656,10465280,4699136,2,11,False,,,,3024,0,0,0,52,4,1,2,4168990316,4169171119,,,,0,0,0.0,0.0,0.0,1370.0,11.16,3.84,2.32,213228031.0,0.0,0.0,0.0,3662827.0
1785747478.2972703,hydra,18784,,0.0,55,17350656,17350656,4,77672448,270565376,,20180992,44142592,12688832,17350656,10465280,4699136,2,11,False,,,,3024,0,0,0,52,4,1,2,4168990316,4169171119,,,,0,0,0.0,0.0,0.0,1370.0,11.16,3.84,2.32,213229042.0,0.0,0.0,0.0,3662827.0
1785747479.299273,hydra,18784,,0.0,55,17350656,17350656,4,77672448,270565376,,20180992,44142592,12688832,17350656,10465280,4699136,2,11,False,,,,3024,0,0,0,52,4,1,2,4168990316,4169171119,,,,0,0,0.0,0.0,0.0,1370.0,9.14,3.71,2.3,213230727.0,0.0,0.0,0.0,3662827.0
1785747480.3007345,hydra,18784,,0.0,55,17350656,17350656,4,77672448,270565376,,20189184,44146688,12688832,17350656,10465280,4699136,2,11,False,,,,3024,0,0,0,52,4,1,2,4168990500,4169171299,,,,0,0,0.0,0.0,0.0,1370.0,9.14,3.71,2.3,213232115.0,0.0,0.0,0.0,3662827.0
1785747481.3023734,hydra,18784,,0.0,55,17350656,17350656,4,77672448,270565376,,20197376,44146688,12688832,17350656,10465280,4699136,2,11,False,,,,3024,0,0,0,52,4,1,2,4168990500,4169171299,,,,0,0,0.0,0.0,0.0,1370.0,7.48,3.59,2.29,213232901.0,0.0,0.0,0.0,3662827.0
1785747482.3040104,hydra,18784,,0.0,55,17350656,17350656,4,77672448,270565376,,20201472,44146688,12688832,17350656,10465280,4699136,2,11,False,,,,3024,0,0,0,52,4,1,2,4168990500,4169171299,,,,0,0,0.0,0.0,0.0,1370.0,7.48,3.59,2.29,213233570.0,0.0,0.0,0.0,3662827.0
1785747483.3054256,hydra,18784,,0.0,55,17350656,17350656,4,77672448,270565376,,20209664,44150784,12688832,17350656,10465280,4699136,2,11,False,,,,3024,0,0,0,52,4,1,2,4168990618,4169171479,,,,0,0,0.0,0.0,0.0,1370.0,6.13,3.47,2.27,213233821.0,0.0,0.0,0.0,3662827.0
1785747484.307248,hydra,18784,,0.0,55,17350656,17350656,4,77934592,270565376,,20213760,44154880,12688832,17350656,10465280,4699136,2,11,False,,,,3024,0,0,0,52,4,1,2,4168990678,4169171479,,,,0,0,0.0,0.0,0.0,1370.0,6.13,3.47,2.27,213234555.0,0.0,0.0,0.0,3662827.0
1785747485.3091357,hydra,18784,,0.0,55,17350656,17350656,4,77934592,270565376,,20217856,44154880,12684608,17350656,10465280,4699136,2,11,False,,,,3024,0,0,0,52,4,1,2,4168990678,4169171479,,,,0,0,0.0,0.0,0.0,1370.0,5.02,3.36,2.26,213234589.0,0.0,0.0,0.0,3662827.0
1785747486.3106406,hydra,18784,,0.0,55,17350656,17350656,4,77934592,270565376,,20221952,44158976,12684608,17350656,10465280,4699136,2,11,False,,,,3024,0,0,0,52,4,1,2,4168990738,4169171479,,,,0,0,0.0,0.0,0.0,1370.0,5.02,3.36,2.26,213234681.0,0.0,0.0,0.0,3662827.0
1785747487.3125842,hydra,18784,,0.0,55,17350656,17350656,4,77934592,270565376,,20221952,44158976,12684608,17350656,10465280,4699136,2,11,False,,,,3024,0,0,0,52,4,1,2,4168990738,4169171479,,,,0,0,0.0,0.0,0.0,1370.0,4.11,3.25,2.24,213235656.0,0.0,0.0,0.0,3662827.0
