timestamp_unix,target,pid,container_cpu_percent,process_cpu_percent,process_cpu_ticks,vmrss_bytes,vmhwm_bytes,effective_cpu_affinity,cgroup_memory_current_bytes,cgroup_memory_peak_bytes,cgroup_memory_limit_bytes,cgroup_memory_anon_bytes,cgroup_memory_file_bytes,cgroup_memory_slab_bytes,smaps_rollup_rss_bytes,smaps_rollup_pss_anon_bytes,smaps_rollup_pss_file_bytes,process_threads,process_fd_count,jvm_heap_available,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_heap_max_bytes,process_minor_faults,process_major_faults,process_read_bytes,process_write_bytes,process_read_syscalls,process_write_syscalls,voluntary_context_switches,nonvoluntary_context_switches,host_net_rx_bytes,host_net_tx_bytes,cgroup_io_read_bytes,cgroup_io_write_bytes,cgroup_memory_reclaim_events,cgroup_memory_oom_events,cgroup_memory_oom_kill_events,psi_memory_some_avg10,psi_memory_some_avg60,psi_memory_some_avg300,psi_memory_some_total,psi_cpu_some_avg10,psi_cpu_some_avg60,psi_cpu_some_avg300,psi_cpu_some_total,psi_io_some_avg10,psi_io_some_avg60,psi_io_some_avg300,psi_io_some_total
1785747573.664948,redis,19140,0.0,0.0,4,10534912,10534912,4,3399680,4677632,,2646016,0,231992,10534912,2646016,7884800,5,,False,,,,2272,0,,,,,84,42,4181671547,4181848274,,,,0,0,0.0,0.0,0.0,1370.0,0.12,1.89,2.09,214839693.0,0.0,0.0,0.0,3744709.0
1785747574.6664596,redis,19140,3.6948,2.9988,7,10559488,10559488,4,3162112,4677632,,2670592,0,232792,10559488,2670592,7884800,5,,False,,,,2278,0,,,,,1173,42,4185093637,4185270454,,,,0,0,0.0,0.0,0.0,1370.0,0.12,1.89,2.09,215183930.0,0.0,0.0,0.0,3744709.0
1785747575.668269,redis,19140,3.4049,3.9981,11,10571776,10571776,4,3174400,4677632,,2682880,0,229032,10571776,2682880,7884800,5,,False,,,,2281,0,,,,,2174,42,4188189635,4188366452,,,,0,0,0.0,0.0,0.0,1370.0,4.81,2.68,2.26,215498591.0,0.18,0.03,0.0,3744709.0
1785747576.66973,redis,19140,2.5206,1.9994,13,10600448,10600448,4,3203072,4677632,,2711552,0,229032,10600448,2711552,7884800,5,,False,,,,2288,0,,,,,2964,42,4190629431,4190806248,,,,0,0,0.0,0.0,0.0,1370.0,4.81,2.68,2.26,215842473.0,0.18,0.03,0.0,3744709.0
1785747577.6720822,redis,19140,2.5365,1.9993,15,10600448,10600448,4,3203072,4677632,,2711552,0,229032,10600448,2711552,7884800,5,,False,,,,2288,0,,,,,3764,42,4193097229,4193274018,,,,0,0,0.0,0.0,0.0,1370.0,9.73,3.64,2.46,216182983.0,0.14,0.03,0.0,3744709.0
1785747578.6740453,redis,19140,1.0735,0.9995,16,10600448,10600448,4,3407872,4677632,,2711552,0,217632,10600448,2711552,7884800,5,,False,,,,2288,0,,,,,4089,42,4194055341,4194232220,,,,0,0,0.0,0.0,0.0,1370.0,9.73,3.64,2.46,216313510.0,0.14,0.03,0.0,3744709.0
1785747579.6758597,redis,19140,0.042,0.9995,17,10600448,10600448,4,3407872,4677632,,2711552,0,217632,10600448,2711552,7884800,5,,False,,,,2288,0,,,,,4099,42,4194055341,4194232220,,,,0,0,0.0,0.0,0.0,1370.0,10.87,4.04,2.55,216314295.0,0.12,0.02,0.0,3747736.0
1785747580.6776712,redis,19140,0.0435,0.0,17,10600448,10600448,4,3407872,4677632,,2711552,0,217632,10600448,2711552,7884800,5,,False,,,,2288,0,,,,,4109,42,4194055341,4194232220,,,,0,0,0.0,0.0,0.0,1370.0,10.87,4.04,2.55,216314333.0,0.12,0.02,0.0,3747736.0
1785747581.6791813,redis,19140,0.0398,0.0,17,10600448,10600448,4,3407872,4677632,,2711552,0,217632,10600448,2711552,7884800,5,,False,,,,2288,0,,,,,4119,42,4194055341,4194232220,,,,0,0,0.0,0.0,0.0,1370.0,8.9,3.91,2.54,216314351.0,0.09,0.02,0.0,3747736.0
1785747582.6808934,redis,19140,0.0427,0.0,17,10600448,10600448,4,3407872,4677632,,2711552,0,217632,10600448,2711552,7884800,5,,False,,,,2288,0,,,,,4129,42,4194055459,4194232310,,,,0,0,0.0,0.0,0.0,1370.0,8.9,3.91,2.54,216314377.0,0.09,0.02,0.0,3747736.0
