timestamp_unix,target,pid,container_cpu_percent,process_cpu_percent,process_cpu_ticks,vmrss_bytes,vmhwm_bytes,effective_cpu_affinity,cgroup_memory_current_bytes,cgroup_memory_peak_bytes,cgroup_memory_limit_bytes,cgroup_memory_anon_bytes,cgroup_memory_file_bytes,cgroup_memory_slab_bytes,smaps_rollup_rss_bytes,smaps_rollup_pss_anon_bytes,smaps_rollup_pss_file_bytes,process_threads,process_fd_count,jvm_heap_available,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_heap_max_bytes,process_minor_faults,process_major_faults,process_read_bytes,process_write_bytes,process_read_syscalls,process_write_syscalls,voluntary_context_switches,nonvoluntary_context_switches,host_net_rx_bytes,host_net_tx_bytes,cgroup_io_read_bytes,cgroup_io_write_bytes,cgroup_memory_reclaim_events,cgroup_memory_oom_events,cgroup_memory_oom_kill_events,psi_memory_some_avg10,psi_memory_some_avg60,psi_memory_some_avg300,psi_memory_some_total,psi_cpu_some_avg10,psi_cpu_some_avg60,psi_cpu_some_avg300,psi_cpu_some_total,psi_io_some_avg10,psi_io_some_avg60,psi_io_some_avg300,psi_io_some_total
1785747624.4105687,redis,19352,0.0,0.0,4,10600448,10600448,4,3620864,5029888,,2641920,0,234872,10616832,2658304,7954432,5,,False,,,,2332,0,,,,,53,20,4194098127,4194275365,,,,0,0,0.0,0.0,0.0,1370.0,0.13,1.94,2.19,216374957.0,0.0,0.01,0.0,3781656.0
1785747625.4121342,redis,19352,4.1308,3.9987,8,12984320,12984320,4,5521408,5779456,,5025792,0,228544,12984320,5025792,7954432,5,,False,,,,2942,0,,,,,1146,20,4197526525,4197703763,,,,0,0,0.0,0.0,0.0,1370.0,2.64,2.33,2.27,216720094.0,0.18,0.04,0.0,3781656.0
1785747626.4166484,redis,19352,3.601,2.997,11,13717504,13717504,4,6258688,7278592,,5758976,0,231064,13717504,5758976,7954432,5,,False,,,,3122,0,,,,,2147,20,4200642647,4200819885,,,,0,0,0.0,0.0,0.0,1370.0,2.64,2.33,2.27,217041703.0,0.18,0.04,0.0,3781656.0
1785747627.4183872,redis,19352,2.6344,2.999,14,13737984,13737984,4,6279168,7278592,,5779456,0,231064,13737984,5779456,7954432,5,,False,,,,3127,0,,,,,2941,20,4203091821,4203269121,,,,0,0,0.0,0.0,0.0,1370.0,8.14,3.34,2.48,217383123.0,0.14,0.04,0.0,3781656.0
1785747628.419828,redis,19352,2.588,1.9994,16,13737984,13737984,4,6279168,7278592,,5779456,0,231064,13737984,5779456,7954432,5,,False,,,,3127,0,,,,,3734,20,4205534669,4205711969,,,,0,0,0.0,0.0,0.0,1370.0,8.14,3.34,2.48,217721382.0,0.14,0.04,0.0,3781656.0
1785747629.4212139,redis,19352,1.1938,1.9994,18,13737984,13737984,4,6483968,7278592,,5779456,0,217144,13737984,5779456,7954432,5,,False,,,,3127,0,,,,,4088,20,4206582797,4206760097,,,,0,0,0.0,0.0,0.0,1370.0,11.74,4.14,2.66,217866830.0,0.12,0.04,0.0,3781656.0
1785747630.4226606,redis,19352,0.034,0.0,18,13737984,13737984,4,6483968,7278592,,5779456,0,217144,13737984,5779456,7954432,5,,False,,,,3127,0,,,,,4098,20,4206582797,4206760097,,,,0,0,0.0,0.0,0.0,1370.0,11.74,4.14,2.66,217867091.0,0.12,0.04,0.0,3793695.0
1785747631.4240603,redis,19352,0.0432,0.0,18,13737984,13737984,4,6483968,7278592,,5779456,0,217144,13737984,5779456,7954432,5,,False,,,,3127,0,,,,,4108,20,4206582915,4206760277,,,,0,0,0.0,0.0,0.0,1370.0,9.61,4.01,2.64,217867144.0,0.09,0.03,0.0,3793695.0
1785747632.4254217,redis,19352,0.0364,0.0,18,13737984,13737984,4,6483968,7278592,,5779456,0,217144,13737984,5779456,7954432,5,,False,,,,3127,0,,,,,4118,20,4206582975,4206760277,,,,0,0,0.0,0.0,0.0,1370.0,9.61,4.01,2.64,217867173.0,0.09,0.03,0.0,3793695.0
1785747633.4268188,redis,19352,0.042,0.0,18,13737984,13737984,4,6483968,7278592,,5779456,0,217144,13737984,5779456,7954432,5,,False,,,,3127,0,,,,,4128,20,4206582975,4206760277,,,,0,0,0.0,0.0,0.0,1370.0,7.87,3.88,2.62,217867196.0,0.08,0.03,0.0,3793695.0
