timestamp_unix,target,pid,container_cpu_percent,process_cpu_percent,process_cpu_ticks,vmrss_bytes,vmhwm_bytes,effective_cpu_affinity,cgroup_memory_current_bytes,cgroup_memory_peak_bytes,cgroup_memory_limit_bytes,cgroup_memory_anon_bytes,cgroup_memory_file_bytes,cgroup_memory_slab_bytes,smaps_rollup_rss_bytes,smaps_rollup_pss_anon_bytes,smaps_rollup_pss_file_bytes,process_threads,process_fd_count,jvm_heap_available,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_heap_max_bytes,process_minor_faults,process_major_faults,process_read_bytes,process_write_bytes,process_read_syscalls,process_write_syscalls,voluntary_context_switches,nonvoluntary_context_switches,host_net_rx_bytes,host_net_tx_bytes,cgroup_io_read_bytes,cgroup_io_write_bytes,cgroup_memory_reclaim_events,cgroup_memory_oom_events,cgroup_memory_oom_kill_events,psi_memory_some_avg10,psi_memory_some_avg60,psi_memory_some_avg300,psi_memory_some_total,psi_cpu_some_avg10,psi_cpu_some_avg60,psi_cpu_some_avg300,psi_cpu_some_total,psi_io_some_avg10,psi_io_some_avg60,psi_io_some_avg300,psi_io_some_total
1785748052.7441351,hazelcast,21394,0.0,0.0,552,243290112,249864192,4,224452608,231124992,,221765632,32768,895592,243290112,221765632,21520384,49,,False,,,,137691,0,,,,,31,28,4324496722,4324724649,,,,0,0,0.0,0.0,0.0,1370.0,32.29,8.69,3.97,233249657.0,0.19,0.08,0.01,4182276.0
1785748053.7564619,hazelcast,21394,100.743,99.9604,652,249466880,256421888,4,230797312,238108672,,227942400,32768,919336,249495552,227971072,21520384,50,,False,,,,150382,0,,,,,31,28,4325942234,4326170175,,,,0,0,0.0,0.0,0.0,1370.0,30.79,9.19,4.1,233919522.0,0.16,0.08,0.01,4182276.0
1785748054.7677639,hazelcast,21394,84.9054,84.945,737,252866560,256421888,4,234094592,238108672,,231346176,32768,910352,252395520,230871040,21520384,50,,False,,,,162187,0,,,,,31,28,4329366250,4329594265,,,,0,0,0.0,0.0,0.0,1370.0,30.79,9.19,4.1,234243011.0,0.16,0.08,0.01,4182276.0
1785748055.7798371,hazelcast,21394,93.0786,92.9662,830,262578176,262619136,4,243802112,244736000,,241053696,32768,926240,262623232,241098752,21520384,50,,False,,,,181812,0,,,,,31,28,4332851272,4333079361,,,,0,0,0.0,0.0,0.0,1370.0,32.28,10.17,4.34,234595827.0,0.13,0.07,0.01,4182276.0
1785748056.7933173,hazelcast,21394,78.3167,78.9624,909,275087360,276295680,4,256745472,258367488,,253562880,32768,933168,275177472,253652992,21520384,51,,False,,,,198894,0,,,,,31,28,4335739525,4335967538,,,,0,0,0.0,0.0,0.0,1370.0,32.28,10.17,4.34,234881098.0,0.13,0.07,0.01,4182787.0
1785748057.8060768,hazelcast,21394,100.9728,100.965,1010,290570240,293662720,4,271749120,275689472,,269045760,32768,936520,290701312,269176832,21520384,51,,False,,,,219274,0,,,,,31,28,4339593320,4339821379,,,,0,0,0.0,0.0,0.0,1370.0,32.22,10.88,4.53,235272666.0,0.1,0.07,0.01,4182787.0
1785748058.8199635,hazelcast,21394,100.624,99.9645,1110,311185408,311185408,4,292642816,292884480,,289501184,32768,936544,311582720,289861632,21716992,51,,False,,,,243606,0,,,,,31,28,4342591332,4342819463,,,,0,0,0.0,0.0,0.0,1370.0,32.22,10.88,4.53,235674928.0,0.1,0.07,0.01,4182787.0
1785748059.8348825,hazelcast,21394,69.9543,70.9499,1181,327016448,327016448,4,307208192,307290112,,304144384,32768,950680,327016448,304144384,22867968,52,,False,,,,255929,0,,,,,31,28,4343628264,4343853980,,,,0,0,0.0,0.0,0.0,1370.0,34.72,12.03,4.82,236127664.0,0.08,0.07,0.01,4182787.0
1785748060.8458076,hazelcast,21394,3.4601,1.9993,1183,326127616,327159808,4,306253824,307568640,,303255552,32768,950672,326127616,303255552,22867968,52,,False,,,,256136,0,,,,,31,28,4343628264,4343853980,,,,0,0,0.0,0.0,0.0,1370.0,34.72,12.03,4.82,236149172.0,0.08,0.07,0.01,4182787.0
1785748061.8563876,hazelcast,21394,0.2389,0.9997,1184,326139904,327159808,4,306249728,307568640,,303267840,32768,949832,326139904,303267840,22867968,52,,False,,,,256143,0,,,,,31,28,4343628264,4343853980,,,,0,0,0.0,0.0,0.0,1370.0,29.33,11.8,4.82,236149413.0,0.07,0.07,0.01,4185040.0
1785748062.8683357,hazelcast,21394,0.2094,0.0,1184,326160384,327159808,4,306249728,307568640,,303288320,32768,951816,326160384,303288320,22867968,52,,False,,,,256148,0,,,,,31,28,4343628382,4343854070,,,,0,0,0.0,0.0,0.0,1370.0,29.33,11.8,4.82,236149703.0,0.07,0.07,0.01,4185040.0
1785748063.8780088,hazelcast,21394,0.3152,0.0,1184,326180864,327159808,4,306249728,307568640,,303308800,32768,951816,326180864,303308800,22867968,52,,False,,,,256153,0,,,,,31,28,4343628382,4343854160,,,,0,0,0.0,0.0,0.0,1370.0,24.02,11.41,4.78,236151156.0,0.05,0.06,0.01,4185040.0
