timestamp_unix,target,pid,container_cpu_percent,process_cpu_percent,process_cpu_ticks,vmrss_bytes,vmhwm_bytes,effective_cpu_affinity,cgroup_memory_current_bytes,cgroup_memory_peak_bytes,cgroup_memory_limit_bytes,cgroup_memory_anon_bytes,cgroup_memory_file_bytes,cgroup_memory_slab_bytes,smaps_rollup_rss_bytes,smaps_rollup_pss_anon_bytes,smaps_rollup_pss_file_bytes,process_threads,process_fd_count,jvm_heap_available,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_heap_max_bytes,process_minor_faults,process_major_faults,process_read_bytes,process_write_bytes,process_read_syscalls,process_write_syscalls,voluntary_context_switches,nonvoluntary_context_switches,host_net_rx_bytes,host_net_tx_bytes,cgroup_io_read_bytes,cgroup_io_write_bytes,cgroup_memory_reclaim_events,cgroup_memory_oom_events,cgroup_memory_oom_kill_events,psi_memory_some_avg10,psi_memory_some_avg60,psi_memory_some_avg300,psi_memory_some_total,psi_cpu_some_avg10,psi_cpu_some_avg60,psi_cpu_some_avg300,psi_cpu_some_total,psi_io_some_avg10,psi_io_some_avg60,psi_io_some_avg300,psi_io_some_total
1785747838.7230923,hydra,20680,,0.0,0,7696384,7696384,4,77287424,270565376,,18079744,45223936,12810216,7696384,876544,4608000,2,11,False,,,,678,0,0,0,52,2,1,2,4259401871,4259615625,,,,0,0,0.0,0.0,0.0,1370.0,0.1,1.56,2.19,221961848.0,0.0,0.01,0.0,3964615.0
1785747839.7260287,hydra,20680,,21.9871,22,12615680,12615680,4,83705856,270565376,,24137728,45232128,12995656,12615680,5730304,4673536,2,21,False,,,,1864,0,0,0,52,3,1,2,4262864473,4263078281,,,,0,0,0.0,0.0,0.0,1370.0,1.53,1.77,2.23,222269967.0,0.0,0.01,0.0,3964615.0
1785747840.7288926,hydra,20680,,21.9712,44,17272832,17272832,4,89198592,270565376,,29126656,45232128,13004856,17276928,10391552,4673536,2,21,False,,,,3002,0,0,0,52,3,1,2,4266361423,4266575231,,,,0,0,0.0,0.0,0.0,1370.0,1.53,1.77,2.23,222575657.0,0.0,0.01,0.0,3964615.0
1785747841.7310355,hydra,20680,,17.99,62,18874368,18874368,4,89927680,270565376,,30236672,45240320,13011304,18874368,11988992,4678656,2,21,False,,,,3392,0,0,0,52,4,1,2,4269131539,4269345347,,,,0,0,0.0,0.0,0.0,1370.0,6.51,2.66,2.42,222862674.0,0.0,0.01,0.0,3964615.0
1785747842.7349226,hydra,20680,,15.9832,78,18874368,18874368,4,90218496,270565376,,30494720,45240320,13016280,18874368,11988992,4678656,2,21,False,,,,3392,0,0,0,52,4,1,2,4271796949,4272010819,,,,0,0,0.0,0.0,0.0,1370.0,6.51,2.66,2.42,223174611.0,0.0,0.01,0.0,3964615.0
1785747843.737877,hydra,20680,,17.9834,96,18874368,18874368,4,90480640,270565376,,30752768,45240320,13016280,18874368,11988992,4678656,2,21,False,,,,3392,0,0,0,52,4,1,2,4274467619,4274681415,,,,0,0,0.0,0.0,0.0,1370.0,10.94,3.59,2.61,223486848.0,0.0,0.01,0.0,3964615.0
1785747844.739476,hydra,20680,,6.9977,103,18874368,18874368,4,81027072,270565376,,21692416,45244416,12837616,18874368,11988992,4692992,2,11,False,,,,3392,0,0,0,52,4,1,2,4275671587,4275885383,,,,0,0,0.0,0.0,0.0,1370.0,10.94,3.59,2.61,223623324.0,0.0,0.01,0.0,3965272.0
1785747845.7414863,hydra,20680,,0.0,103,18874368,18874368,4,80777216,270565376,,21700608,45244416,12836400,18874368,11988992,4692992,2,11,False,,,,3392,0,0,0,52,4,1,2,4275671587,4275885383,,,,0,0,0.0,0.0,0.0,1370.0,11.32,3.89,2.68,223623337.0,0.0,0.01,0.0,3965272.0
1785747846.742965,hydra,20680,,0.0,103,18874368,18874368,4,80777216,270565376,,21700608,45248512,12836400,18874368,11988992,4692992,2,11,False,,,,3392,0,0,0,52,4,1,2,4275671587,4275885383,,,,0,0,0.0,0.0,0.0,1370.0,11.32,3.89,2.68,223623396.0,0.0,0.01,0.0,3965272.0
1785747847.7446203,hydra,20680,,0.0,103,18874368,18874368,4,80777216,270565376,,21712896,45248512,12836400,18874368,11988992,4692992,2,11,False,,,,3392,0,0,0,52,4,1,2,4275671705,4275885473,,,,0,0,0.0,0.0,0.0,1370.0,9.26,3.77,2.67,223623426.0,0.0,0.01,0.0,3965272.0
1785747848.746111,hydra,20680,,0.0,103,18874368,18874368,4,80777216,270565376,,21716992,45248512,12836400,18874368,11988992,4692992,2,11,False,,,,3392,0,0,0,52,4,1,2,4275671705,4275885563,,,,0,0,0.0,0.0,0.0,1370.0,9.26,3.77,2.67,223623951.0,0.0,0.01,0.0,3965272.0
1785747849.7475863,hydra,20680,,0.0,103,18874368,18874368,4,80777216,270565376,,21721088,45252608,12836400,18874368,11988992,4692992,2,11,False,,,,3392,0,0,0,52,4,1,2,4275671705,4275885563,,,,0,0,0.0,0.0,0.0,1370.0,7.59,3.64,2.65,223623970.0,0.0,0.01,0.0,3965272.0
1785747850.7490873,hydra,20680,,0.0,103,18874368,18874368,4,80777216,270565376,,21725184,45256704,12836400,18874368,11988992,4692992,2,11,False,,,,3392,0,0,0,52,4,1,2,4275671823,4275885653,,,,0,0,0.0,0.0,0.0,1370.0,7.59,3.64,2.65,223624014.0,0.0,0.01,0.0,3965272.0
1785747851.7506478,hydra,20680,,0.0,103,18874368,18874368,4,80777216,270565376,,21729280,45256704,12836400,18874368,11988992,4692992,2,11,False,,,,3392,0,0,0,52,4,1,2,4275671823,4275885743,,,,0,0,0.0,0.0,0.0,1370.0,6.21,3.52,2.63,223624036.0,0.0,0.01,0.0,3965272.0
1785747852.7524831,hydra,20680,,0.0,103,18874368,18874368,4,80777216,270565376,,21733376,45260800,12836400,18874368,11988992,4692992,2,11,False,,,,3392,0,0,0,52,4,1,2,4275671823,4275885743,,,,0,0,0.0,0.0,0.0,1370.0,6.21,3.52,2.63,223624082.0,0.0,0.01,0.0,3965272.0
1785747853.753966,hydra,20680,,0.0,103,18874368,18874368,4,80777216,270565376,,21733376,45260800,12836400,18874368,11988992,4692992,2,11,False,,,,3392,0,0,0,52,4,1,2,4275671823,4275885743,,,,0,0,0.0,0.0,0.0,1370.0,5.08,3.41,2.61,223624107.0,0.0,0.01,0.0,3965272.0
1785747854.7556589,hydra,20680,,0.0,103,18874368,18874368,4,80777216,270565376,,21733376,45264896,12836400,18874368,11988992,4692992,2,11,False,,,,3392,0,0,0,52,4,1,2,4275671823,4275885743,,,,0,0,0.0,0.0,0.0,1370.0,5.08,3.41,2.61,223624146.0,0.0,0.01,0.0,3965272.0
1785747855.7571151,hydra,20680,,0.0,103,18874368,18874368,4,80777216,270565376,,21741568,45264896,12836400,18874368,11988992,4692992,2,11,False,,,,3392,0,0,0,52,4,1,2,4275671941,4275885833,,,,0,0,0.0,0.0,0.0,1370.0,4.16,3.3,2.59,223624657.0,0.0,0.01,0.0,3965272.0
1785747856.7587748,hydra,20680,,0.0,103,18874368,18874368,4,80777216,270565376,,21741568,45264896,12836400,18874368,11988992,4692992,2,11,False,,,,3392,0,0,0,52,4,1,2,4275671941,4275885923,,,,0,0,0.0,0.0,0.0,1370.0,4.16,3.3,2.59,223625372.0,0.0,0.01,0.0,3965272.0
1785747857.7603602,hydra,20680,,0.0,103,18874368,18874368,4,80777216,270565376,,21741568,45268992,12836128,18874368,11988992,4692992,2,11,False,,,,3392,0,0,0,52,4,1,2,4275671941,4275885923,,,,0,0,0.0,0.0,0.0,1370.0,3.41,3.19,2.57,223625399.0,0.0,0.0,0.0,3965272.0
1785747858.7617576,hydra,20680,,0.0,103,18874368,18874368,4,80777216,270565376,,21741568,45268992,12832832,18874368,11988992,4692992,2,11,False,,,,3392,0,0,0,52,4,1,2,4275671941,4275885923,,,,0,0,0.0,0.0,0.0,1370.0,3.41,3.19,2.57,223625450.0,0.0,0.0,0.0,3965272.0
1785747859.7632968,hydra,20680,,0.0,103,18874368,18874368,4,80695296,270565376,,21741568,45273088,12832832,18874368,11988992,4692992,2,11,False,,,,3392,0,0,0,52,4,1,2,4275672059,4275886013,,,,0,0,0.0,0.0,0.0,1370.0,2.79,3.08,2.56,223625474.0,0.0,0.0,0.0,3965272.0
1785747860.764901,hydra,20680,,0.0,103,18874368,18874368,4,80695296,270565376,,21745664,45273088,12832832,18874368,11988992,4692992,2,11,False,,,,3392,0,0,0,52,4,1,2,4275672059,4275886103,,,,0,0,0.0,0.0,0.0,1370.0,2.79,3.08,2.56,223626797.0,0.0,0.0,0.0,3965272.0
1785747861.766312,hydra,20680,,0.0,103,18874368,18874368,4,80695296,270565376,,21745664,45273088,12832832,18874368,11988992,4692992,2,11,False,,,,3392,0,0,0,52,4,1,2,4275672059,4275886103,,,,0,0,0.0,0.0,0.0,1370.0,2.28,2.98,2.54,223626821.0,0.0,0.0,0.0,3965272.0
1785747862.7680428,hydra,20680,,0.0,103,18874368,18874368,4,80695296,270565376,,21745664,45277184,12832832,18874368,11988992,4692992,2,11,False,,,,3392,0,0,0,52,4,1,2,4275672059,4275886103,,,,0,0,0.0,0.0,0.0,1370.0,2.28,2.98,2.54,223626876.0,0.0,0.0,0.0,3965272.0
1785747863.769492,hydra,20680,,0.0,103,18874368,18874368,4,80695296,270565376,,21749760,45277184,12832832,18874368,11988992,4692992,2,11,False,,,,3392,0,0,0,52,4,1,2,4275672059,4275886103,,,,0,0,0.0,0.0,0.0,1370.0,1.87,2.88,2.52,223627772.0,0.0,0.0,0.0,3965272.0
1785747864.7711363,hydra,20680,,0.0,103,18874368,18874368,4,80695296,270565376,,21749760,45277184,12832832,18874368,11988992,4692992,2,11,False,,,,3392,0,0,0,52,4,1,2,4275672237,4275886283,,,,0,0,0.0,0.0,0.0,1370.0,1.87,2.88,2.52,223628001.0,0.0,0.0,0.0,3965272.0
1785747865.772789,hydra,20680,,0.0,103,18874368,18874368,4,80695296,270565376,,21749760,45285376,12832832,18874368,11988992,4692992,2,11,False,,,,3392,0,0,0,52,4,1,2,4275672237,4275886283,,,,0,0,0.0,0.0,0.0,1370.0,1.53,2.79,2.5,223628191.0,0.0,0.0,0.0,3968625.0
1785747866.7742398,hydra,20680,,0.0,103,18874368,18874368,4,80695296,270565376,,21749760,45285376,12832832,18874368,11988992,4692992,2,11,False,,,,3392,0,0,0,52,4,1,2,4275672237,4275886283,,,,0,0,0.0,0.0,0.0,1370.0,1.53,2.79,2.5,223628250.0,0.0,0.0,0.0,3968625.0
1785747867.7756746,hydra,20680,,0.0,103,18874368,18874368,4,80953344,270565376,,21749760,45289472,12832832,18874368,11988992,4692992,2,11,False,,,,3392,0,0,0,52,4,1,2,4275672237,4275886283,,,,0,0,0.0,0.0,0.0,1370.0,1.25,2.7,2.49,223628288.0,0.0,0.0,0.0,3968625.0
1785747868.7771826,hydra,20680,,0.0,103,18874368,18874368,4,80953344,270565376,,21749760,45289472,12832832,18874368,11988992,4692992,2,11,False,,,,3392,0,0,0,52,4,1,2,4275672237,4275886283,,,,0,0,0.0,0.0,0.0,1370.0,1.25,2.7,2.49,223628360.0,0.0,0.0,0.0,3968625.0
1785747869.7786224,hydra,20680,,0.0,103,18874368,18874368,4,80953344,270565376,,21749760,45289472,12832832,18874368,11988992,4692992,2,11,False,,,,3392,0,0,0,52,4,1,2,4275672355,4275886373,,,,0,0,0.0,0.0,0.0,1370.0,1.02,2.61,2.47,223628400.0,0.0,0.0,0.0,3968625.0
1785747870.780179,hydra,20680,,0.0,103,18874368,18874368,4,80953344,270565376,,21749760,45293568,12832832,18874368,11988992,4692992,2,11,False,,,,3392,0,0,0,52,4,1,2,4275672355,4275886463,,,,0,0,0.0,0.0,0.0,1370.0,1.02,2.61,2.47,223628541.0,0.0,0.0,0.0,3971339.0
1785747871.781729,hydra,20680,,0.0,103,18874368,18874368,4,80953344,270565376,,21749760,45293568,12832832,18874368,11988992,4692992,2,11,False,,,,3392,0,0,0,52,4,1,2,4275672355,4275886463,,,,0,0,0.0,0.0,0.0,1370.0,0.84,2.52,2.45,223628582.0,0.0,0.0,0.0,3971339.0
1785747872.7832186,hydra,20680,,0.0,103,18874368,18874368,4,80953344,270565376,,21749760,45297664,12832832,18874368,11988992,4692992,2,11,False,,,,3392,0,0,0,52,4,1,2,4275672355,4275886463,,,,0,0,0.0,0.0,0.0,1370.0,0.84,2.52,2.45,223628648.0,0.0,0.0,0.0,3971339.0
1785747873.7846882,hydra,20680,,0.0,103,18874368,18874368,4,80953344,270565376,,21749760,45297664,12832832,18874368,11988992,4692992,2,11,False,,,,3392,0,0,0,52,4,1,2,4275672473,4275886553,,,,0,0,0.0,0.0,0.0,1370.0,0.68,2.44,2.43,223629579.0,0.0,0.0,0.0,3971339.0
1785747874.786152,hydra,20680,,0.0,103,18874368,18874368,4,80953344,270565376,,21749760,45297664,12832832,18874368,11988992,4692992,2,11,False,,,,3392,0,0,0,52,4,1,2,4275672539,4275886643,,,,0,0,0.0,0.0,0.0,1370.0,0.68,2.44,2.43,223629651.0,0.0,0.0,0.0,3971339.0
1785747875.7876298,hydra,20680,,0.0,103,18874368,18874368,4,80953344,270565376,,21749760,45301760,12832832,18874368,11988992,4692992,2,11,False,,,,3392,0,0,0,52,4,1,2,4275672539,4275886643,,,,0,0,0.0,0.0,0.0,1370.0,0.56,2.36,2.42,223629668.0,0.0,0.0,0.0,3971339.0
1785747876.789204,hydra,20680,,0.0,103,18874368,18874368,4,80953344,270565376,,21753856,45301760,12832832,18874368,11988992,4692992,2,11,False,,,,3392,0,0,0,52,4,1,2,4275672539,4275886643,,,,0,0,0.0,0.0,0.0,1370.0,0.56,2.36,2.42,223629694.0,0.0,0.0,0.0,3971339.0
1785747877.790758,hydra,20680,,0.0,103,18874368,18874368,4,80953344,270565376,,21753856,45301760,12832832,18874368,11988992,4692992,2,11,False,,,,3392,0,0,0,52,4,1,2,4275672539,4275886643,,,,0,0,0.0,0.0,0.0,1370.0,0.46,2.28,2.4,223629702.0,0.0,0.0,0.0,3971339.0
1785747878.7922678,hydra,20680,,0.0,103,18874368,18874368,4,80953344,270565376,,21753856,45305856,12832832,18874368,11988992,4692992,2,11,False,,,,3392,0,0,0,52,4,1,2,4275672657,4275886733,,,,0,0,0.0,0.0,0.0,1370.0,0.46,2.28,2.4,223629728.0,0.0,0.0,0.0,3971339.0
1785747879.793756,hydra,20680,,0.0,103,18874368,18874368,4,80953344,270565376,,21753856,45305856,12832832,18874368,11988992,4692992,2,11,False,,,,3392,0,0,0,52,4,1,2,4275672657,4275886823,,,,0,0,0.0,0.0,0.0,1370.0,0.37,2.21,2.38,223630873.0,0.0,0.0,0.0,3971339.0
1785747880.7953403,hydra,20680,,0.0,103,18874368,18874368,4,80953344,270565376,,21753856,45309952,12832832,18874368,11988992,4692992,2,11,False,,,,3392,0,0,0,52,4,1,2,4275672657,4275886823,,,,0,0,0.0,0.0,0.0,1370.0,0.37,2.21,2.38,223631075.0,0.0,0.0,0.0,3971339.0
1785747881.7968094,hydra,20680,,0.0,103,18874368,18874368,4,80953344,270565376,,21753856,45314048,12832832,18874368,11988992,4692992,2,11,False,,,,3392,0,0,0,52,4,1,2,4275672775,4275886913,,,,0,0,0.0,0.0,0.0,1370.0,0.3,2.13,2.37,223631089.0,0.0,0.0,0.0,3971339.0
1785747882.7984753,hydra,20680,,0.0,103,18874368,18874368,4,80953344,270565376,,21753856,45314048,12832832,18874368,11988992,4692992,2,11,False,,,,3392,0,0,0,52,4,1,2,4275672841,4275887003,,,,0,0,0.0,0.0,0.0,1370.0,0.3,2.13,2.37,223631111.0,0.0,0.0,0.0,3971339.0
1785747883.7999046,hydra,20680,,0.0,103,18874368,18874368,4,80953344,270565376,,21753856,45318144,12832832,18874368,11988992,4692992,2,11,False,,,,3392,0,0,0,52,4,1,2,4275672841,4275887003,,,,0,0,0.0,0.0,0.0,1370.0,0.25,2.06,2.35,223631120.0,0.0,0.0,0.0,3971339.0
1785747884.8013947,hydra,20680,,0.0,103,18874368,18874368,4,80953344,270565376,,21753856,45318144,12832832,18874368,11988992,4692992,2,11,False,,,,3392,0,0,0,52,4,1,2,4275672841,4275887003,,,,0,0,0.0,0.0,0.0,1370.0,0.25,2.06,2.35,223631149.0,0.0,0.0,0.0,3971339.0
1785747885.8029442,hydra,20680,,0.0,103,18874368,18874368,4,80953344,270565376,,21753856,45322240,12832832,18874368,11988992,4692992,2,11,False,,,,3392,0,0,0,52,4,1,2,4275672915,4275887003,,,,0,0,0.0,0.0,0.0,1370.0,0.2,2.0,2.33,223631172.0,0.0,0.0,0.0,3971339.0
1785747886.8044326,hydra,20680,,0.0,103,18874368,18874368,4,80953344,270565376,,21753856,45322240,12832832,18874368,11988992,4692992,2,11,False,,,,3392,0,0,0,52,4,1,2,4275673033,4275887093,,,,0,0,0.0,0.0,0.0,1370.0,0.2,2.0,2.33,223631218.0,0.0,0.0,0.0,3971339.0
1785747887.8061738,hydra,20680,,0.0,103,18874368,18874368,4,80953344,270565376,,21753856,45322240,12832832,18874368,11988992,4692992,2,11,False,,,,3392,0,0,0,52,4,1,2,4275673033,4275887183,,,,0,0,0.0,0.0,0.0,1370.0,0.16,1.93,2.32,223631263.0,0.0,0.0,0.0,3971339.0
1785747888.807692,hydra,20680,,0.0,103,18874368,18874368,4,80953344,270565376,,21753856,45326336,12832832,18874368,11988992,4692992,2,11,False,,,,3392,0,0,0,52,4,1,2,4275673033,4275887183,,,,0,0,0.0,0.0,0.0,1370.0,0.16,1.93,2.32,223631488.0,0.0,0.0,0.0,3976321.0
