timestamp_unix,target,pid,container_cpu_percent,process_cpu_percent,process_cpu_ticks,vmrss_bytes,vmhwm_bytes,effective_cpu_affinity,cgroup_memory_current_bytes,cgroup_memory_peak_bytes,cgroup_memory_limit_bytes,cgroup_memory_anon_bytes,cgroup_memory_file_bytes,cgroup_memory_slab_bytes,smaps_rollup_rss_bytes,smaps_rollup_pss_anon_bytes,smaps_rollup_pss_file_bytes,process_threads,process_fd_count,jvm_heap_available,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_heap_max_bytes,process_minor_faults,process_major_faults,process_read_bytes,process_write_bytes,process_read_syscalls,process_write_syscalls,voluntary_context_switches,nonvoluntary_context_switches,host_net_rx_bytes,host_net_tx_bytes,cgroup_io_read_bytes,cgroup_io_write_bytes,cgroup_memory_reclaim_events,cgroup_memory_oom_events,cgroup_memory_oom_kill_events,psi_memory_some_avg10,psi_memory_some_avg60,psi_memory_some_avg300,psi_memory_some_total,psi_cpu_some_avg10,psi_cpu_some_avg60,psi_cpu_some_avg300,psi_cpu_some_total,psi_io_some_avg10,psi_io_some_avg60,psi_io_some_avg300,psi_io_some_total
1785747993.8609803,redis,21186,51.6555,0.0,4,10809344,10809344,4,3563520,4349952,,2703360,172032,242448,10809344,2703360,8101888,5,,False,,,,2241,0,,,,,300,21,4308329026,4308543447,,,,0,0,0.0,0.0,0.0,1370.0,0.13,2.09,2.49,227169753.0,0.0,0.01,0.0,4114543.0
1785747994.862607,redis,21186,23.3252,23.9918,28,12750848,12750848,4,7970816,7970816,,4644864,2756608,253072,12750848,4644864,8101888,6,,False,,,,2747,0,,,,,8108,21,4311848582,4312063003,,,,0,0,0.0,0.0,0.0,1370.0,0.13,2.09,2.49,227466399.0,0.0,0.01,0.0,4114543.0
1785747995.8641355,redis,21186,23.079,21.993,50,14422016,14422016,4,12296192,12300288,,6316032,5308416,261792,14422016,6316032,8101888,6,,False,,,,3189,0,,,,,15795,21,4315327070,4315541491,,,,0,0,0.0,0.0,0.0,1370.0,4.27,2.77,2.64,227772949.0,0.36,0.07,0.01,4114543.0
1785747996.8662086,redis,21186,17.2498,17.9908,68,14925824,14925824,4,13479936,14245888,,6819840,6094848,263240,14925824,6819840,8101888,6,,False,,,,3314,0,,,,,22092,21,4318075627,4318290048,,,,0,0,0.0,0.0,0.0,1370.0,4.27,2.77,2.64,228061204.0,0.36,0.07,0.01,4114543.0
1785747997.868438,redis,21186,15.7537,15.9903,84,14925824,14925824,4,13479936,14245888,,6819840,6094848,259880,14925824,6819840,8101888,6,,False,,,,3314,0,,,,,28328,21,4320729829,4320944222,,,,0,0,0.0,0.0,0.0,1370.0,8.75,3.63,2.82,228377595.0,0.29,0.07,0.01,4114543.0
1785747998.8700514,redis,21186,15.6505,14.9955,99,14925824,14925824,4,13479936,14245888,,6819840,6094848,259880,14925824,6819840,8101888,6,,False,,,,3314,0,,,,,34510,21,4323368809,4323583292,,,,0,0,0.0,0.0,0.0,1370.0,8.75,3.63,2.82,228694314.0,0.29,0.07,0.01,4115433.0
1785747999.8715677,redis,21186,6.6918,6.9977,106,14925824,14925824,4,13684736,14245888,,6819840,6094848,248480,14925824,6819840,8101888,6,,False,,,,3314,0,,,,,37140,21,4324488341,4324702824,,,,0,0,0.0,0.0,0.0,1370.0,12.6,4.49,3.0,228831859.0,0.24,0.07,0.01,4115433.0
1785748000.872979,redis,21186,0.0601,0.0,106,14925824,14925824,4,13684736,14245888,,6819840,6094848,248480,14925824,6819840,8101888,6,,False,,,,3314,0,,,,,37150,21,4324488341,4324702824,,,,0,0,0.0,0.0,0.0,1370.0,12.6,4.49,3.0,228832076.0,0.24,0.07,0.01,4115433.0
1785748001.874463,redis,21186,0.0456,0.0,106,14925824,14925824,4,13684736,14245888,,6819840,6094848,248480,14925824,6819840,8101888,6,,False,,,,3314,0,,,,,37160,21,4324488341,4324702824,,,,0,0,0.0,0.0,0.0,1370.0,10.32,4.35,2.98,228832123.0,0.19,0.06,0.01,4115433.0
1785748002.8759692,redis,21186,0.0492,0.0,106,14925824,14925824,4,13684736,14245888,,6819840,6094848,248480,14925824,6819840,8101888,6,,False,,,,3314,0,,,,,37170,21,4324488533,4324702914,,,,0,0,0.0,0.0,0.0,1370.0,10.32,4.35,2.98,228832361.0,0.19,0.06,0.01,4115433.0
