timestamp_unix,target,pid,container_cpu_percent,process_cpu_percent,process_cpu_ticks,vmrss_bytes,vmhwm_bytes,effective_cpu_affinity,cgroup_memory_current_bytes,cgroup_memory_peak_bytes,cgroup_memory_limit_bytes,cgroup_memory_anon_bytes,cgroup_memory_file_bytes,cgroup_memory_slab_bytes,smaps_rollup_rss_bytes,smaps_rollup_pss_anon_bytes,smaps_rollup_pss_file_bytes,process_threads,process_fd_count,jvm_heap_available,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_heap_max_bytes,process_minor_faults,process_major_faults,process_read_bytes,process_write_bytes,process_read_syscalls,process_write_syscalls,voluntary_context_switches,nonvoluntary_context_switches,host_net_rx_bytes,host_net_tx_bytes,cgroup_io_read_bytes,cgroup_io_write_bytes,cgroup_memory_reclaim_events,cgroup_memory_oom_events,cgroup_memory_oom_kill_events,psi_memory_some_avg10,psi_memory_some_avg60,psi_memory_some_avg300,psi_memory_some_total,psi_cpu_some_avg10,psi_cpu_some_avg60,psi_cpu_some_avg300,psi_cpu_some_total,psi_io_some_avg10,psi_io_some_avg60,psi_io_some_avg300,psi_io_some_total
1785747890.3299186,redis,20764,30.9432,0.0,4,10563584,10563584,4,3411968,4521984,,2658304,0,237448,10563584,2658304,7901184,5,,False,,,,2227,0,,,,,243,41,4275766391,4275980513,,,,0,0,0.0,0.0,0.0,1370.0,0.13,1.87,2.3,223679775.0,0.0,0.0,0.0,3992346.0
1785747891.33156,redis,20764,20.7852,20.9924,25,12378112,12378112,4,5226496,5226496,,4472832,0,235664,12378112,4472832,7901184,5,,False,,,,2696,0,,,,,8175,41,4279258601,4279472813,,,,0,0,0.0,0.0,0.0,1370.0,2.83,2.3,2.39,223985856.0,0.0,0.0,0.0,3992346.0
1785747892.3344421,redis,20764,20.5876,20.9792,46,14016512,14016512,4,6844416,6848512,,6111232,0,235664,14016512,6111232,7901184,5,,False,,,,3130,0,,,,,16014,41,4282722482,4282936634,,,,0,0,0.0,0.0,0.0,1370.0,2.83,2.3,2.39,224294580.0,0.0,0.0,0.0,3992346.0
1785747893.3367047,redis,20764,16.2929,15.9918,62,14553088,14553088,4,7405568,7925760,,6647808,0,232304,14553088,6647808,7901184,5,,False,,,,3263,0,,,,,22339,41,4285461296,4285675448,,,,0,0,0.0,0.0,0.0,1370.0,7.57,3.17,2.57,224586185.0,0.0,0.0,0.0,3992346.0
1785747894.3382976,redis,20764,15.9252,15.9947,78,14553088,14553088,4,7401472,7925760,,6647808,0,232304,14553088,6647808,7901184,5,,False,,,,3263,0,,,,,28520,41,4288117020,4288331112,,,,0,0,0.0,0.0,0.0,1370.0,7.57,3.17,2.57,224902527.0,0.0,0.0,0.0,3992346.0
1785747895.340965,redis,20764,15.8012,14.9913,93,14553088,14553088,4,7401472,7925760,,6647808,0,232304,14553088,6647808,7901184,5,,False,,,,3263,0,,,,,34718,41,4290755714,4290969778,,,,0,0,0.0,0.0,0.0,1370.0,11.81,4.08,2.77,225217412.0,0.0,0.0,0.0,3992416.0
1785747896.3430746,redis,20764,7.1576,7.9966,101,14553088,14553088,4,7356416,7925760,,6647808,0,217144,14553088,6647808,7901184,5,,False,,,,3263,0,,,,,37496,41,4291943470,4292157624,,,,0,0,0.0,0.0,0.0,1370.0,11.81,4.08,2.77,225354400.0,0.0,0.0,0.0,3992984.0
1785747897.3446155,redis,20764,0.0416,0.0,101,14553088,14553088,4,7356416,7925760,,6647808,0,217144,14553088,6647808,7901184,5,,False,,,,3263,0,,,,,37506,41,4291943470,4292157624,,,,0,0,0.0,0.0,0.0,1370.0,11.12,4.21,2.8,225354410.0,0.0,0.0,0.0,3992984.0
1785747898.3460317,redis,20764,0.0349,0.0,101,14553088,14553088,4,7356416,7925760,,6647808,0,217144,14553088,6647808,7901184,5,,False,,,,3263,0,,,,,37516,41,4291943470,4292157624,,,,0,0,0.0,0.0,0.0,1370.0,11.12,4.21,2.8,225354741.0,0.0,0.0,0.0,3992984.0
1785747899.347436,redis,20764,0.0425,0.0,101,14553088,14553088,4,7356416,7925760,,6647808,0,216944,14553088,6647808,7901184,5,,False,,,,3263,0,,,,,37526,41,4291943470,4292157624,,,,0,0,0.0,0.0,0.0,1370.0,9.1,4.07,2.78,225354772.0,0.0,0.0,0.0,3992984.0
1785747900.3488207,redis,20764,0.0396,0.0,101,14553088,14553088,4,7356416,7925760,,6647808,0,216944,14553088,6647808,7901184,5,,False,,,,3263,0,,,,,37536,41,4291943588,4292157804,,,,0,0,0.0,0.0,0.0,1370.0,9.1,4.07,2.78,225354874.0,0.0,0.0,0.0,3992984.0
