timestamp_unix,target,pid,container_cpu_percent,process_cpu_percent,process_cpu_ticks,vmrss_bytes,vmhwm_bytes,effective_cpu_affinity,cgroup_memory_current_bytes,cgroup_memory_peak_bytes,cgroup_memory_limit_bytes,cgroup_memory_anon_bytes,cgroup_memory_file_bytes,cgroup_memory_slab_bytes,smaps_rollup_rss_bytes,smaps_rollup_pss_anon_bytes,smaps_rollup_pss_file_bytes,process_threads,process_fd_count,jvm_heap_available,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_heap_max_bytes,process_minor_faults,process_major_faults,process_read_bytes,process_write_bytes,process_read_syscalls,process_write_syscalls,voluntary_context_switches,nonvoluntary_context_switches,host_net_rx_bytes,host_net_tx_bytes,cgroup_io_read_bytes,cgroup_io_write_bytes,cgroup_memory_reclaim_events,cgroup_memory_oom_events,cgroup_memory_oom_kill_events,psi_memory_some_avg10,psi_memory_some_avg60,psi_memory_some_avg300,psi_memory_some_total,psi_cpu_some_avg10,psi_cpu_some_avg60,psi_cpu_some_avg300,psi_cpu_some_total,psi_io_some_avg10,psi_io_some_avg60,psi_io_some_avg300,psi_io_some_total
1785748157.2298398,hydra,21876,,0.0,0,7782400,7782400,4,78028800,270565376,,18145280,46284800,12939208,7782400,876544,4679680,2,11,False,,,,682,0,0,0,52,2,1,2,4359911945,4360142448,,,,0,0,0.0,0.0,0.0,1370.0,0.15,3.7,3.95,237992813.0,0.0,0.0,0.0,4263816.0
1785748158.2316604,hydra,21876,,21.9916,22,12632064,12632064,4,85237760,270565376,,24129536,46292992,13122576,12632064,5726208,4679680,2,21,False,,,,1866,0,0,0,52,3,1,2,4363382727,4363613320,,,,0,0,0.0,0.0,0.0,1370.0,0.48,3.64,3.94,238312798.0,0.0,0.0,0.0,4263816.0
1785748159.2342982,hydra,21876,,20.9871,43,17305600,17305600,4,89956352,270565376,,29138944,46292992,13131176,17309696,10403840,4679680,2,21,False,,,,3008,0,0,0,52,3,1,2,4366853910,4367084503,,,,0,0,0.0,0.0,0.0,1370.0,0.48,3.64,3.94,238620788.0,0.0,0.0,0.0,4263816.0
1785748160.2374732,hydra,21876,,17.9751,61,18894848,18894848,4,91414528,270565376,,30244864,46301184,13144240,18894848,11988992,4665344,2,21,False,,,,3395,0,0,0,52,4,1,2,4369627995,4369858650,,,,0,0,0.0,0.0,0.0,1370.0,5.83,4.5,4.12,238917409.0,0.0,0.0,0.0,4263816.0
1785748161.2396924,hydra,21876,,15.9944,77,18894848,18894848,4,91414528,270565376,,30502912,46301184,13144240,18894848,11988992,4665344,2,21,False,,,,3395,0,0,0,52,4,1,2,4372290107,4372520762,,,,0,0,0.0,0.0,0.0,1370.0,5.83,4.5,4.12,239231267.0,0.0,0.0,0.0,4263816.0
1785748162.2412357,hydra,21876,,15.9944,93,18894848,18894848,4,92041216,270565376,,30765056,46301184,13144240,18894848,11988992,4665344,2,21,False,,,,3395,0,0,0,52,4,1,2,4374957719,4375188374,,,,0,0,0.0,0.0,0.0,1370.0,10.21,5.34,4.29,239544281.0,0.0,0.0,0.0,4263816.0
1785748163.2435927,hydra,21876,,7.9947,101,18894848,18894848,4,81784832,270565376,,21704704,46305280,12975224,18894848,11988992,4692992,2,11,False,,,,3395,0,0,0,52,4,1,2,4376181431,4376412086,,,,0,0,0.0,0.0,0.0,1370.0,10.21,5.34,4.29,239684346.0,0.0,0.0,0.0,4263816.0
1785748164.2451475,hydra,21876,,0.0,101,18894848,18894848,4,81784832,270565376,,21712896,46305280,12975224,18894848,11988992,4692992,2,11,False,,,,3395,0,0,0,52,4,1,2,4376181431,4376412086,,,,0,0,0.0,0.0,0.0,1370.0,11.8,5.78,4.39,239684427.0,0.0,0.0,0.0,4263816.0
1785748165.246948,hydra,21876,,0.0,101,18894848,18894848,4,81784832,270565376,,21712896,46309376,12975224,18894848,11988992,4692992,2,11,False,,,,3395,0,0,0,52,4,1,2,4376181549,4376412176,,,,0,0,0.0,0.0,0.0,1370.0,11.8,5.78,4.39,239684539.0,0.0,0.0,0.0,4263816.0
1785748166.2485535,hydra,21876,,0.0,101,18894848,18894848,4,81993728,270565376,,21716992,46309376,12973144,18894848,11988992,4692992,2,11,False,,,,3395,0,0,0,52,4,1,2,4376181549,4376412266,,,,0,0,0.0,0.0,0.0,1370.0,9.66,5.6,4.36,239684666.0,0.0,0.0,0.0,4263816.0
1785748167.2504535,hydra,21876,,0.0,101,18894848,18894848,4,81993728,270565376,,21721088,46309376,12973144,18894848,11988992,4692992,2,11,False,,,,3395,0,0,0,52,4,1,2,4376181549,4376412266,,,,0,0,0.0,0.0,0.0,1370.0,9.66,5.6,4.36,239684788.0,0.0,0.0,0.0,4263816.0
1785748168.252085,hydra,21876,,0.0,101,18894848,18894848,4,81993728,270565376,,21725184,46313472,12973144,18894848,11988992,4692992,2,11,False,,,,3395,0,0,0,52,4,1,2,4376181549,4376412266,,,,0,0,0.0,0.0,0.0,1370.0,7.91,5.41,4.33,239684945.0,0.0,0.0,0.0,4263816.0
1785748169.2540753,hydra,21876,,0.0,101,18894848,18894848,4,81821696,270565376,,21725184,46317568,12965568,18894848,11988992,4692992,2,11,False,,,,3395,0,0,0,52,4,1,2,4376181667,4376412446,,,,0,0,0.0,0.0,0.0,1370.0,7.91,5.41,4.33,239685028.0,0.0,0.0,0.0,4263816.0
1785748170.2558897,hydra,21876,,0.0,101,18894848,18894848,4,81825792,270565376,,21733376,46317568,12965568,18894848,11988992,4692992,2,11,False,,,,3395,0,0,0,52,4,1,2,4376181667,4376412446,,,,0,0,0.0,0.0,0.0,1370.0,6.48,5.23,4.3,239685083.0,0.0,0.0,0.0,4263816.0
1785748171.257378,hydra,21876,,0.0,101,18894848,18894848,4,81825792,270565376,,21733376,46321664,12965568,18894848,11988992,4692992,2,11,False,,,,3395,0,0,0,52,4,1,2,4376181667,4376412446,,,,0,0,0.0,0.0,0.0,1370.0,6.48,5.23,4.3,239685963.0,0.0,0.0,0.0,4263816.0
1785748172.2588315,hydra,21876,,0.0,101,18894848,18894848,4,81825792,270565376,,21733376,46321664,12965568,18894848,11988992,4692992,2,11,False,,,,3395,0,0,0,52,4,1,2,4376181667,4376412446,,,,0,0,0.0,0.0,0.0,1370.0,5.3,5.06,4.27,239686012.0,0.0,0.0,0.0,4263816.0
1785748173.2603545,hydra,21876,,0.0,101,18894848,18894848,4,81825792,270565376,,21741568,46325760,12961352,18894848,11988992,4692992,2,11,False,,,,3395,0,0,0,52,4,1,2,4376181667,4376412446,,,,0,0,0.0,0.0,0.0,1370.0,5.3,5.06,4.27,239686839.0,0.0,0.0,0.0,4263816.0
1785748174.2619503,hydra,21876,,0.0,101,18894848,18894848,4,81846272,270565376,,21741568,46325760,12961352,18894848,11988992,4692992,2,11,False,,,,3395,0,0,0,52,4,1,2,4376181785,4376412626,,,,0,0,0.0,0.0,0.0,1370.0,4.34,4.9,4.25,239686970.0,0.0,0.0,0.0,4263816.0
1785748175.263463,hydra,21876,,0.0,101,18894848,18894848,4,81846272,270565376,,21741568,46325760,12961352,18894848,11988992,4692992,2,11,False,,,,3395,0,0,0,52,4,1,2,4376181785,4376412626,,,,0,0,0.0,0.0,0.0,1370.0,4.34,4.9,4.25,239687053.0,0.0,0.0,0.0,4263816.0
1785748176.2649586,hydra,21876,,0.0,101,18894848,18894848,4,81846272,270565376,,21741568,46329856,12961352,18894848,11988992,4692992,2,11,False,,,,3395,0,0,0,52,4,1,2,4376181785,4376412626,,,,0,0,0.0,0.0,0.0,1370.0,3.55,4.74,4.22,239687182.0,0.0,0.0,0.0,4263816.0
1785748177.2664316,hydra,21876,,0.0,101,18894848,18894848,4,81846272,270565376,,21741568,46329856,12961352,18894848,11988992,4692992,2,11,False,,,,3395,0,0,0,52,4,1,2,4376181851,4376412626,,,,0,0,0.0,0.0,0.0,1370.0,3.55,4.74,4.22,239687259.0,0.0,0.0,0.0,4263816.0
1785748178.2681935,hydra,21876,,0.0,101,18894848,18894848,4,81858560,270565376,,21745664,46333952,12961352,18894848,11988992,4692992,2,11,False,,,,3395,0,0,0,52,4,1,2,4376181969,4376412806,,,,0,0,0.0,0.0,0.0,1370.0,2.91,4.58,4.19,239690392.0,0.0,0.0,0.0,4263816.0
1785748179.2696705,hydra,21876,,0.0,101,18894848,18894848,4,81858560,270565376,,21745664,46333952,12961352,18894848,11988992,4692992,2,11,False,,,,3395,0,0,0,52,4,1,2,4376181969,4376412806,,,,0,0,0.0,0.0,0.0,1370.0,2.91,4.58,4.19,239690525.0,0.0,0.0,0.0,4263816.0
1785748180.271273,hydra,21876,,0.0,101,18894848,18894848,4,81858560,270565376,,21745664,46333952,12961352,18894848,11988992,4692992,2,11,False,,,,3395,0,0,0,52,4,1,2,4376181969,4376412806,,,,0,0,0.0,0.0,0.0,1370.0,2.38,4.43,4.16,239690589.0,0.0,0.0,0.0,4263816.0
1785748181.2731383,hydra,21876,,0.0,101,18894848,18894848,4,81858560,270565376,,21749760,46338048,12961352,18894848,11988992,4692992,2,11,False,,,,3395,0,0,0,52,4,1,2,4376181969,4376412806,,,,0,0,0.0,0.0,0.0,1370.0,2.38,4.43,4.16,239690695.0,0.0,0.0,0.0,4263816.0
1785748182.2746148,hydra,21876,,0.0,101,18894848,18894848,4,81866752,270565376,,21749760,46338048,12961352,18894848,11988992,4692992,2,11,False,,,,3395,0,0,0,52,4,1,2,4376182087,4376412986,,,,0,0,0.0,0.0,0.0,1370.0,1.95,4.28,4.13,239691790.0,0.0,0.0,0.0,4263816.0
1785748183.2761035,hydra,21876,,0.0,101,18894848,18894848,4,81866752,270565376,,21749760,46338048,12961352,18894848,11988992,4692992,2,11,False,,,,3395,0,0,0,52,4,1,2,4376182087,4376412986,,,,0,0,0.0,0.0,0.0,1370.0,1.95,4.28,4.13,239692019.0,0.0,0.0,0.0,4265660.0
1785748184.2776048,hydra,21876,,0.0,101,18894848,18894848,4,81866752,270565376,,21749760,46346240,12961352,18894848,11988992,4692992,2,11,False,,,,3395,0,0,0,52,4,1,2,4376182087,4376412986,,,,0,0,0.0,0.0,0.0,1370.0,1.59,4.14,4.1,239693080.0,0.0,0.0,0.0,4265660.0
1785748185.2791293,hydra,21876,,0.0,101,18894848,18894848,4,81866752,270565376,,21749760,46346240,12961352,18894848,11988992,4692992,2,11,False,,,,3395,0,0,0,52,4,1,2,4376182205,4376413166,,,,0,0,0.0,0.0,0.0,1370.0,1.59,4.14,4.1,239693342.0,0.0,0.0,0.0,4265660.0
1785748186.280735,hydra,21876,,0.0,101,18894848,18894848,4,81866752,270565376,,21749760,46350336,12961352,18894848,11988992,4692992,2,11,False,,,,3395,0,0,0,52,4,1,2,4376182205,4376413166,,,,0,0,0.0,0.0,0.0,1370.0,1.3,4.01,4.07,239693444.0,0.0,0.0,0.0,4265660.0
1785748187.2823985,hydra,21876,,0.0,101,18894848,18894848,4,81866752,270565376,,21749760,46350336,12961352,18894848,11988992,4692992,2,11,False,,,,3395,0,0,0,52,4,1,2,4376182205,4376413166,,,,0,0,0.0,0.0,0.0,1370.0,1.3,4.01,4.07,239693550.0,0.0,0.0,0.0,4265660.0
1785748188.2838435,hydra,21876,,0.0,101,18894848,18894848,4,81866752,270565376,,21749760,46350336,12961352,18894848,11988992,4692992,2,11,False,,,,3395,0,0,0,52,4,1,2,4376182205,4376413166,,,,0,0,0.0,0.0,0.0,1370.0,1.07,3.88,4.04,239694047.0,0.0,0.0,0.0,4265660.0
1785748189.2853243,hydra,21876,,0.0,101,18894848,18894848,4,81866752,270565376,,21749760,46354432,12961352,18894848,11988992,4692992,2,11,False,,,,3395,0,0,0,52,4,1,2,4376182205,4376413166,,,,0,0,0.0,0.0,0.0,1370.0,1.07,3.88,4.04,239694171.0,0.0,0.0,0.0,4265660.0
1785748190.286779,hydra,21876,,0.0,101,18894848,18894848,4,81866752,270565376,,21749760,46354432,12961352,18894848,11988992,4692992,2,11,False,,,,3395,0,0,0,52,4,1,2,4376182323,4376413346,,,,0,0,0.0,0.0,0.0,1370.0,0.87,3.75,4.02,239694432.0,0.0,0.0,0.0,4265660.0
1785748191.2885432,hydra,21876,,0.0,101,18894848,18894848,4,81866752,270565376,,21749760,46358528,12961352,18894848,11988992,4692992,2,11,False,,,,3395,0,0,0,52,4,1,2,4376182323,4376413346,,,,0,0,0.0,0.0,0.0,1370.0,0.87,3.75,4.02,239695617.0,0.0,0.0,0.0,4265660.0
