timestamp_unix,target,pid,container_cpu_percent,process_cpu_percent,process_cpu_ticks,vmrss_bytes,vmhwm_bytes,effective_cpu_affinity,cgroup_memory_current_bytes,cgroup_memory_peak_bytes,cgroup_memory_limit_bytes,cgroup_memory_anon_bytes,cgroup_memory_file_bytes,cgroup_memory_slab_bytes,smaps_rollup_rss_bytes,smaps_rollup_pss_anon_bytes,smaps_rollup_pss_file_bytes,process_threads,process_fd_count,jvm_heap_available,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_heap_max_bytes,process_minor_faults,process_major_faults,process_read_bytes,process_write_bytes,process_read_syscalls,process_write_syscalls,voluntary_context_switches,nonvoluntary_context_switches,host_net_rx_bytes,host_net_tx_bytes,cgroup_io_read_bytes,cgroup_io_write_bytes,cgroup_memory_reclaim_events,cgroup_memory_oom_events,cgroup_memory_oom_kill_events,psi_memory_some_avg10,psi_memory_some_avg60,psi_memory_some_avg300,psi_memory_some_total,psi_cpu_some_avg10,psi_cpu_some_avg60,psi_cpu_some_avg300,psi_cpu_some_total,psi_io_some_avg10,psi_io_some_avg60,psi_io_some_avg300,psi_io_some_total
1785748105.8254614,hydra,21673,,0.0,0,7733248,7733248,4,78225408,270565376,,18075648,46153728,12916472,7733248,872448,4719616,2,11,False,,,,676,0,0,0,52,2,1,1,4343631826,4343857477,,,,0,0,0.0,0.0,0.0,1370.0,0.36,5.67,4.14,236303598.0,0.0,0.02,0.0,4223938.0
1785748106.8273695,hydra,21673,,21.9896,22,12574720,12574720,4,84905984,270565376,,24125440,46161920,13109168,12578816,5718016,4719616,2,21,False,,,,1859,0,0,0,52,3,1,1,4347112951,4347338628,,,,0,0,0.0,0.0,0.0,1370.0,0.36,5.67,4.14,236611193.0,0.0,0.02,0.0,4223938.0
1785748107.8291106,hydra,21673,,21.9931,44,17240064,17240064,4,90042368,270565376,,29118464,46161920,13118496,17240064,10379264,4719616,2,21,False,,,,2997,0,0,0,52,3,1,1,4350596404,4350822171,,,,0,0,0.0,0.0,0.0,1370.0,4.46,6.24,4.27,236921166.0,0.0,0.02,0.0,4223938.0
1785748108.8313673,hydra,21673,,16.9911,61,18845696,18845696,4,90841088,270565376,,30248960,46170112,13111336,18845696,11984896,4720640,2,21,False,,,,3389,0,0,0,52,5,1,1,4353364844,4353590611,,,,0,0,0.0,0.0,0.0,1370.0,4.46,6.24,4.27,237212690.0,0.0,0.02,0.0,4223938.0
1785748109.833804,hydra,21673,,16.9907,78,18845696,18845696,4,91246592,270565376,,30502912,46170112,13119440,18845696,11984896,4720640,2,21,False,,,,3389,0,0,0,52,5,1,1,4356043572,4356269339,,,,0,0,0.0,0.0,0.0,1370.0,9.08,7.01,4.44,237523815.0,0.0,0.02,0.0,4223938.0
1785748110.8357084,hydra,21673,,15.9944,94,18845696,18845696,4,91758592,270565376,,30760960,46170112,13121640,18845696,11984896,4720640,2,21,False,,,,3389,0,0,0,52,5,1,1,4358718574,4358944313,,,,0,0,0.0,0.0,0.0,1370.0,9.08,7.01,4.44,237841957.0,0.0,0.02,0.0,4223938.0
1785748111.8375084,hydra,21673,,7.9973,102,18845696,18845696,4,81772544,270565376,,21704704,46174208,12946560,18845696,11984896,4733952,2,11,False,,,,3389,0,0,0,52,5,1,1,4359901482,4360127311,,,,0,0,0.0,0.0,0.0,1370.0,12.51,7.7,4.6,237976270.0,0.0,0.02,0.0,4224803.0
1785748112.8391576,hydra,21673,,0.0,102,18845696,18845696,4,81772544,270565376,,21712896,46174208,12946560,18845696,11984896,4733952,2,11,False,,,,3389,0,0,0,52,5,1,1,4359901556,4360127311,,,,0,0,0.0,0.0,0.0,1370.0,12.51,7.7,4.6,237976547.0,0.0,0.02,0.0,4224803.0
1785748113.8405943,hydra,21673,,0.0,102,18845696,18845696,4,81809408,270565376,,21712896,46178304,12944040,18845696,11984896,4733952,2,11,False,,,,3389,0,0,0,52,5,1,1,4359901556,4360127311,,,,0,0,0.0,0.0,0.0,1370.0,10.24,7.45,4.57,237977265.0,0.0,0.02,0.0,4224803.0
1785748114.8420987,hydra,21673,,0.0,102,18845696,18845696,4,81809408,270565376,,21721088,46178304,12944040,18845696,11984896,4733952,2,11,False,,,,3389,0,0,0,52,5,1,1,4359901556,4360127311,,,,0,0,0.0,0.0,0.0,1370.0,10.24,7.45,4.57,237978886.0,0.0,0.02,0.0,4224803.0
1785748115.8435943,hydra,21673,,0.0,102,18845696,18845696,4,81809408,270565376,,21725184,46178304,12944040,18845696,11984896,4733952,2,11,False,,,,3389,0,0,0,52,5,1,1,4359901674,4360127401,,,,0,0,0.0,0.0,0.0,1370.0,8.39,7.2,4.54,237978913.0,0.0,0.02,0.0,4224803.0
1785748116.8452659,hydra,21673,,0.0,102,18845696,18845696,4,81809408,270565376,,21725184,46182400,12944040,18845696,11984896,4733952,2,11,False,,,,3389,0,0,0,52,5,1,1,4359901674,4360127491,,,,0,0,0.0,0.0,0.0,1370.0,8.39,7.2,4.54,237978975.0,0.0,0.02,0.0,4224803.0
1785748117.8468344,hydra,21673,,0.0,102,18845696,18845696,4,81833984,270565376,,21729280,46186496,12944632,18845696,11984896,4733952,2,11,False,,,,3389,0,0,0,52,5,1,1,4359901674,4360127491,,,,0,0,0.0,0.0,0.0,1370.0,6.87,6.97,4.51,237979060.0,0.0,0.02,0.0,4224803.0
1785748118.8484259,hydra,21673,,0.0,102,18845696,18845696,4,81756160,270565376,,21741568,46186496,12942544,18845696,11984896,4741120,2,11,False,,,,3389,0,0,0,52,5,1,1,4359902236,4360128321,,,,0,0,0.0,0.0,0.0,1370.0,6.87,6.97,4.51,237980723.0,0.0,0.02,0.0,4234376.0
1785748119.8501577,hydra,21673,,0.0,102,18845696,18845696,4,81756160,270565376,,21741568,46190592,12942544,18845696,11984896,4741120,2,11,False,,,,3389,0,0,0,52,5,1,1,4359902236,4360128411,,,,0,0,0.0,0.0,0.0,1370.0,5.62,6.74,4.48,237980742.0,0.0,0.02,0.0,4234376.0
1785748120.8519897,hydra,21673,,0.0,102,18845696,18845696,4,81756160,270565376,,21745664,46190592,12942544,18845696,11984896,4741120,2,11,False,,,,3389,0,0,0,52,5,1,1,4359902236,4360128411,,,,0,0,0.0,0.0,0.0,1370.0,5.62,6.74,4.48,237980776.0,0.0,0.02,0.0,4234376.0
1785748121.8534915,hydra,21673,,0.0,102,18845696,18845696,4,81772544,270565376,,21745664,46194688,12942544,18845696,11984896,4741120,2,11,False,,,,3389,0,0,0,52,5,1,1,4359902236,4360128411,,,,0,0,0.0,0.0,0.0,1370.0,4.6,6.52,4.45,237980789.0,0.0,0.02,0.0,4234376.0
1785748122.8551216,hydra,21673,,0.0,102,18845696,18845696,4,81772544,270565376,,21749760,46194688,12942544,18845696,11984896,4741120,2,11,False,,,,3389,0,0,0,52,5,1,1,4359902236,4360128411,,,,0,0,0.0,0.0,0.0,1370.0,4.6,6.52,4.45,237980981.0,0.0,0.02,0.0,4234376.0
1785748123.8570209,hydra,21673,,0.0,102,18845696,18845696,4,81735680,270565376,,21753856,46194688,12942544,18845696,11984896,4741120,2,11,False,,,,3389,0,0,0,52,5,1,1,4359902414,4360128543,,,,0,0,0.0,0.0,0.0,1370.0,3.77,6.3,4.42,237981165.0,0.0,0.02,0.0,4238813.0
1785748124.858542,hydra,21673,,0.0,102,18845696,18845696,4,81747968,270565376,,21753856,46198784,12942544,18845696,11984896,4738048,2,11,False,,,,3389,0,0,0,52,5,1,1,4359904167,4360130024,,,,0,0,0.0,0.0,0.0,1370.0,3.77,6.3,4.42,237981401.0,0.0,0.02,0.0,4238813.0
1785748125.860306,hydra,21673,,0.0,102,18845696,18845696,4,81747968,270565376,,21753856,46198784,12942544,18845696,11984896,4738048,2,11,False,,,,3389,0,0,0,52,5,1,1,4359905507,4360132100,,,,0,0,0.0,0.0,0.0,1370.0,3.08,6.1,4.39,237984150.0,0.0,0.02,0.0,4254894.0
1785748126.8619564,hydra,21673,,0.0,102,18845696,18845696,4,81752064,270565376,,21753856,46202880,12942544,18845696,11984896,4741120,2,11,False,,,,3389,0,0,0,52,5,1,1,4359906185,4360136648,,,,0,0,0.0,0.0,0.0,1370.0,3.08,6.1,4.39,237985470.0,0.0,0.02,0.0,4254894.0
1785748127.863379,hydra,21673,,0.0,102,18845696,18845696,4,81752064,270565376,,21753856,46202880,12942544,18845696,11984896,4741120,2,11,False,,,,3389,0,0,0,52,5,1,1,4359906185,4360136648,,,,0,0,0.0,0.0,0.0,1370.0,2.52,5.9,4.35,237985493.0,0.0,0.01,0.0,4254894.0
1785748128.8649457,hydra,21673,,0.0,102,18845696,18845696,4,81752064,270565376,,21757952,46202880,12942544,18845696,11984896,4741120,2,11,False,,,,3389,0,0,0,52,5,1,1,4359906369,4360136738,,,,0,0,0.0,0.0,0.0,1370.0,2.52,5.9,4.35,237985596.0,0.0,0.01,0.0,4254894.0
1785748129.8664763,hydra,21673,,0.0,102,18845696,18845696,4,81760256,270565376,,21757952,46206976,12942544,18845696,11984896,4741120,2,11,False,,,,3389,0,0,0,52,5,1,1,4359906443,4360136828,,,,0,0,0.0,0.0,0.0,1370.0,2.07,5.7,4.32,237985661.0,0.0,0.01,0.0,4258077.0
1785748130.868012,hydra,21673,,0.0,102,18845696,18845696,4,81760256,270565376,,21762048,46206976,12942544,18845696,11984896,4741120,2,11,False,,,,3389,0,0,0,52,5,1,1,4359906503,4360136828,,,,0,0,0.0,0.0,0.0,1370.0,2.07,5.7,4.32,237985912.0,0.0,0.01,0.0,4258143.0
1785748131.8696766,hydra,21673,,0.0,102,18845696,18845696,4,81760256,270565376,,21762048,46206976,12942544,18845696,11984896,4741120,2,11,False,,,,3389,0,0,0,52,5,1,1,4359906621,4360136918,,,,0,0,0.0,0.0,0.0,1370.0,1.69,5.52,4.29,237985941.0,0.0,0.01,0.0,4258143.0
1785748132.87136,hydra,21673,,0.0,102,18845696,18845696,4,81760256,270565376,,21762048,46215168,12942544,18845696,11984896,4741120,2,11,False,,,,3389,0,0,0,52,5,1,1,4359906621,4360137008,,,,0,0,0.0,0.0,0.0,1370.0,1.69,5.52,4.29,237985982.0,0.0,0.01,0.0,4258143.0
1785748133.8732285,hydra,21673,,0.0,102,18845696,18845696,4,81772544,270565376,,21762048,46215168,12942544,18845696,11984896,4741120,2,11,False,,,,3389,0,0,0,52,5,1,1,4359906621,4360137008,,,,0,0,0.0,0.0,0.0,1370.0,1.38,5.34,4.27,237986617.0,0.0,0.01,0.0,4258143.0
1785748134.874736,hydra,21673,,0.0,102,18845696,18845696,4,81772544,270565376,,21762048,46219264,12942544,18845696,11984896,4741120,2,11,False,,,,3389,0,0,0,52,5,1,1,4359906805,4360137164,,,,0,0,0.0,0.0,0.0,1370.0,1.38,5.34,4.27,237986867.0,0.0,0.01,0.0,4258143.0
1785748135.8763227,hydra,21673,,0.0,102,18845696,18845696,4,81776640,270565376,,21762048,46219264,12942544,18845696,11984896,4733952,2,11,False,,,,3389,0,0,0,52,5,1,1,4359910506,4360140981,,,,0,0,0.0,0.0,0.0,1370.0,1.13,5.16,4.24,237990041.0,0.0,0.01,0.0,4258143.0
