experiment	target	case	status	detail
01-cold-start	hydra	cold-idle	complete	/dev/shm/hydracache-memory-investigations-20260804T070000Z/experiments/01-cold-start/hydra/cold-idle
01-cold-start	redis	cold-idle	complete	/dev/shm/hydracache-memory-investigations-20260804T070000Z/experiments/01-cold-start/redis/cold-idle
01-cold-start	hazelcast	cold-idle	complete	/dev/shm/hydracache-memory-investigations-20260804T070000Z/experiments/01-cold-start/hazelcast/cold-idle
02-keyspace	hydra	keys-1000	complete	/dev/shm/hydracache-memory-investigations-20260804T070000Z/experiments/02-keyspace/hydra/keys-1000
02-keyspace	hydra	keys-10000	complete	/dev/shm/hydracache-memory-investigations-20260804T070000Z/experiments/02-keyspace/hydra/keys-10000
02-keyspace	hydra	keys-50000	complete	/dev/shm/hydracache-memory-investigations-20260804T070000Z/experiments/02-keyspace/hydra/keys-50000
02-keyspace	redis	keys-1000	complete	/dev/shm/hydracache-memory-investigations-20260804T070000Z/experiments/02-keyspace/redis/keys-1000
02-keyspace	redis	keys-10000	complete	/dev/shm/hydracache-memory-investigations-20260804T070000Z/experiments/02-keyspace/redis/keys-10000
02-keyspace	redis	keys-50000	complete	/dev/shm/hydracache-memory-investigations-20260804T070000Z/experiments/02-keyspace/redis/keys-50000
02-keyspace	hazelcast	keys-1000	complete	/dev/shm/hydracache-memory-investigations-20260804T070000Z/experiments/02-keyspace/hazelcast/keys-1000
02-keyspace	hazelcast	keys-10000	complete	/dev/shm/hydracache-memory-investigations-20260804T070000Z/experiments/02-keyspace/hazelcast/keys-10000
02-keyspace	hazelcast	keys-50000	complete	/dev/shm/hydracache-memory-investigations-20260804T070000Z/experiments/02-keyspace/hazelcast/keys-50000
03-fixed-vs-random	hydra	fixed-keyrange	complete	/dev/shm/hydracache-memory-investigations-20260804T070000Z/experiments/03-fixed-vs-random/hydra/fixed-keyrange
