timestamp_unix,target,pid,container_cpu_percent,process_cpu_percent,process_cpu_ticks,vmrss_bytes,vmhwm_bytes,effective_cpu_affinity,cgroup_memory_current_bytes,cgroup_memory_peak_bytes,cgroup_memory_limit_bytes,cgroup_memory_anon_bytes,cgroup_memory_file_bytes,cgroup_memory_slab_bytes,smaps_rollup_rss_bytes,smaps_rollup_pss_anon_bytes,smaps_rollup_pss_file_bytes,process_threads,process_fd_count,jvm_heap_available,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_heap_max_bytes
1785715532.9596047,hazelcast,125646,0.0,0.0,687,258101248,261521408,0-15,239104000,243249152,,235528192,32768,1248312,258101248,235528192,22568960,80,,False,,,
1785715533.9698906,hazelcast,125646,0.0739,0.0,687,245747712,261521408,0-15,227495936,243249152,,223174656,32768,1245536,245747712,223174656,22568960,79,,False,,,
1785715534.9782612,hazelcast,125646,0.0716,0.0625,688,245850112,261521408,0-15,227500032,243249152,,223277056,32768,1241376,245850112,223277056,22568960,79,,False,,,
1785715535.9868908,hazelcast,125646,0.0619,0.0625,689,245940224,261521408,0-15,227651584,243249152,,223367168,32768,1241376,245940224,223367168,22568960,79,,False,,,
1785715536.9968631,hazelcast,125646,0.2565,0.2499,693,246755328,261521408,0-15,228405248,243249152,,224182272,32768,1246488,246755328,224182272,22568960,79,,False,,,
1785715538.0053906,hazelcast,125646,0.0404,0.125,695,246820864,261521408,0-15,228409344,243249152,,224247808,32768,1245184,246820864,224247808,22568960,79,,False,,,
1785715539.0189958,hazelcast,125646,4.3091,4.3099,764,256897024,263200768,0-15,237371392,244260864,,233209856,32768,1293864,257019904,233332736,23683072,81,,False,,,
1785715540.031009,hazelcast,125646,5.1364,5.1217,846,272130048,288022528,0-15,252366848,268996608,,248246272,32768,1298760,272130048,248246272,23879680,81,,False,,,
1785715541.0420723,hazelcast,125646,0.0358,0.0,846,272146432,288022528,0-15,252342272,268996608,,248262656,32768,1287800,272146432,248262656,23879680,80,,False,,,
1785715542.0534682,hazelcast,125646,0.1861,0.1874,849,272412672,288022528,0-15,252776448,268996608,,248528896,32768,1288720,272412672,248528896,23879680,80,,False,,,
1785715543.0625947,hazelcast,125646,0.0416,0.0625,850,272478208,288022528,0-15,252776448,268996608,,248594432,32768,1288720,272478208,248594432,23879680,80,,False,,,
1785715544.0713928,hazelcast,125646,0.0412,0.0,850,259645440,288022528,0-15,239886336,268996608,,235761664,32768,1288720,259645440,235761664,23879680,80,,False,,,
1785715545.0794303,hazelcast,125646,0.0214,0.0625,851,259674112,288022528,0-15,239886336,268996608,,235790336,32768,1288720,259694592,235810816,23879680,80,,False,,,
1785715546.0873775,hazelcast,125646,0.0301,0.0,851,259715072,288022528,0-15,239886336,268996608,,235831296,32768,1288720,259715072,235831296,23879680,80,,False,,,
1785715547.0976164,hazelcast,125646,0.1781,0.1874,854,259780608,288022528,0-15,239951872,268996608,,235896832,32768,1286440,259780608,235896832,23879680,80,,False,,,
1785715548.1073308,hazelcast,125646,0.0295,0.0625,855,259801088,288022528,0-15,239964160,268996608,,235917312,32768,1286440,259801088,235917312,23879680,80,,False,,,
1785715549.116379,hazelcast,125646,0.024,0.0625,856,259817472,288022528,0-15,239964160,268996608,,235933696,32768,1286440,259817472,235933696,23879680,80,,False,,,
1785715550.126126,hazelcast,125646,0.0267,0.0,856,259747840,288022528,0-15,239849472,268996608,,235864064,32768,1275160,259747840,235864064,23879680,79,,False,,,
1785715551.1350713,hazelcast,125646,0.0198,0.0,856,259768320,288022528,0-15,239861760,268996608,,235884544,32768,1275160,259768320,235884544,23879680,79,,False,,,
1785715552.145895,hazelcast,125646,0.1686,0.1249,858,259985408,288022528,0-15,240021504,268996608,,236101632,32768,1275656,259985408,236101632,23879680,79,,False,,,
1785715553.1542964,hazelcast,125646,0.0434,0.0625,859,260046848,288022528,0-15,240287744,268996608,,236163072,32768,1266080,260046848,236163072,23879680,79,,False,,,
1785715554.162312,hazelcast,125646,0.0188,0.0,859,260071424,288022528,0-15,240291840,268996608,,236187648,32768,1266080,260071424,236187648,23879680,79,,False,,,
1785715555.170516,hazelcast,125646,0.0364,0.0625,860,260120576,288022528,0-15,240295936,268996608,,236236800,32768,1266080,260120576,236236800,23879680,79,,False,,,
1785715556.179026,hazelcast,125646,0.0273,0.0,860,260157440,288022528,0-15,240295936,268996608,,236273664,32768,1266080,260157440,236273664,23879680,79,,False,,,
1785715557.1891813,hazelcast,125646,0.1574,0.1874,863,260272128,288022528,0-15,240304128,268996608,,236388352,32768,1266264,260272128,236388352,23879680,79,,False,,,
1785715558.1989582,hazelcast,125646,0.041,0.0625,864,260329472,288022528,0-15,240312320,268996608,,236445696,32768,1263160,260329472,236445696,23879680,79,,False,,,
1785715559.2102017,hazelcast,125646,0.2982,0.3123,869,261238784,288022528,0-15,241000448,268996608,,237355008,32768,1275344,261238784,237355008,23879680,80,,False,,,
1785715560.2187734,hazelcast,125646,0.0168,0.0,869,261251072,288022528,0-15,241266688,268996608,,237367296,32768,1275344,261251072,237367296,23879680,80,,False,,,
1785715561.2277482,hazelcast,125646,0.0374,0.0,869,261267456,288022528,0-15,241528832,268996608,,237383680,32768,1275344,261267456,237383680,23879680,80,,False,,,
1785715562.2368827,hazelcast,125646,0.1324,0.125,871,261296128,288022528,0-15,241717248,268996608,,237412352,32768,1275776,261296128,237412352,23879680,80,,False,,,
