timestamp_unix,target,pid,container_cpu_percent,process_cpu_percent,process_cpu_ticks,vmrss_bytes,vmhwm_bytes,effective_cpu_affinity,cgroup_memory_current_bytes,cgroup_memory_peak_bytes,cgroup_memory_limit_bytes,cgroup_memory_anon_bytes,cgroup_memory_file_bytes,cgroup_memory_slab_bytes,smaps_rollup_rss_bytes,smaps_rollup_pss_anon_bytes,smaps_rollup_pss_file_bytes,process_threads,process_fd_count,jvm_heap_available,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_heap_max_bytes
1785715679.7272055,hydra,129675,,0.0,0,7823360,7823360,4,15781888,33316864,,11034624,2547712,875824,7823360,876544,4840448,2,11,False,,,
1785715680.7286468,hydra,129675,,1.999,2,7966720,7966720,4,17129472,33316864,,12173312,2555904,983840,7966720,1019904,4840448,2,11,False,,,
1785715681.7300484,hydra,129675,,3.9979,6,8110080,8110080,4,17108992,33316864,,12337152,2555904,998984,8110080,1163264,4840448,2,11,False,,,
1785715682.7315092,hydra,129675,,1.9989,8,8253440,8253440,4,15716352,33316864,,11411456,2555904,1025224,8253440,1306624,4840448,2,11,False,,,
1785715683.732935,hydra,129675,,2.9985,11,8392704,8392704,4,16412672,33316864,,11796480,2555904,1112544,8392704,1445888,4837376,2,11,False,,,
1785715684.7344055,hydra,129675,,1.999,13,8617984,8617984,4,17166336,33316864,,12533760,2555904,1208056,8617984,1671168,4837376,2,11,False,,,
1785715685.7358446,hydra,129675,,2.9984,16,8663040,8663040,4,17567744,33316864,,12541952,2560000,1240984,8663040,1716224,4837376,2,11,False,,,
1785715686.7372544,hydra,129675,,1.9991,18,8802304,8802304,4,17371136,33316864,,12283904,2560000,1310552,8802304,1855488,4837376,2,11,False,,,
1785715687.7387614,hydra,129675,,3.9979,22,8941568,8941568,4,18055168,33316864,,12914688,2560000,1371280,8941568,1994752,4830208,2,11,False,,,
1785715688.7402947,hydra,129675,,1.999,24,9068544,9068544,4,17559552,33316864,,12406784,2560000,1420664,9068544,2121728,4835328,2,11,False,,,
1785715689.7418087,hydra,129675,,2.9985,27,9179136,9179136,4,18272256,33316864,,13213696,2555904,1486552,9179136,2232320,4827136,2,12,False,,,
1785715690.7433133,hydra,129675,,1.999,29,9302016,9302016,4,17575936,33316864,,12496896,2555904,1481736,9302016,2355200,4838400,2,11,False,,,
1785715691.7448478,hydra,129675,,2.9983,32,9420800,9420800,4,17600512,33316864,,12615680,2560000,1521640,9420800,2473984,4840448,2,11,False,,,
1785715692.746339,hydra,129675,,1.999,34,9539584,9539584,4,18321408,33316864,,13434880,2560000,1617120,9539584,2592768,4837376,2,11,False,,,
1785715693.7478402,hydra,129675,,1.9989,36,9662464,9662464,4,18702336,33316864,,13561856,2560000,1638576,9662464,2715648,4837376,2,11,False,,,
1785715694.7493362,hydra,129675,,2.9985,39,9777152,9777152,4,18186240,33316864,,12976128,2560000,1669208,9777152,2830336,4840448,2,11,False,,,
1785715695.750837,hydra,129675,,1.9989,41,9900032,9900032,4,19857408,33316864,,13987840,2560000,1747352,9900032,2953216,4840448,2,11,False,,,
